season,round,home,away,score,goal_diff,home_position,away_position,home_tier,away_tier,match_type
2009/10,4,B. Jerusalem,H. Petah Tikva,3:0,3,7,10,Middle,Middle,Middle vs Middle
2009/10,5,Bnei Sakhnin,Hapoel Haifa,0:3,3,10,3,Middle,Top,Middle vs Top
2009/10,5,Maccabi Netanya,Hapoel Tel Aviv,0:3,3,14,8,Bottom,Middle,Bottom vs Middle
2009/10,6,Hapoel Raanana,M. Tel Aviv,0:3,3,15,6,Bottom,Middle,Bottom vs Middle
2009/10,6,M. Petah Tikva,Maccabi Netanya,0:3,3,11,16,Bottom,Bottom,Bottom vs Bottom
2009/10,7,M. Ahi Nazareth,Hapoel Tel Aviv,0:4,4,8,6,Middle,Middle,Middle vs Middle
2009/10,9,M. Ahi Nazareth,H. Beer Sheva,1:4,3,11,7,Bottom,Middle,Bottom vs Middle
2009/10,9,Maccabi Netanya,B. Jerusalem,3:0,3,13,4,Bottom,Top,Bottom vs Top
2009/10,10,Maccabi Haifa,M. Ahi Nazareth,4:1,3,1,13,Top,Bottom,Bottom vs Top
2009/10,10,Hapoel Tel Aviv,H. Petah Tikva,7:1,6,2,12,Top,Bottom,Bottom vs Top
2009/10,13,H. Petah Tikva,Maccabi Haifa,0:4,4,15,1,Bottom,Top,Bottom vs Top
2009/10,13,Bnei Sakhnin,Maccabi Netanya,0:3,3,13,8,Bottom,Middle,Bottom vs Middle
2009/10,14,Hapoel Tel Aviv,Hapoel Raanana,5:0,5,2,13,Top,Bottom,Bottom vs Top
2009/10,15,H. Ramat Gan,Hapoel Tel Aviv,0:3,3,11,2,Bottom,Top,Bottom vs Top
2009/10,16,Hapoel Acre,Maccabi Haifa,0:3,3,10,1,Middle,Top,Middle vs Top
2009/10,16,H. Petah Tikva,M. Ahi Nazareth,3:0,3,16,15,Bottom,Bottom,Bottom vs Bottom
2009/10,16,H. Ramat Gan,M. Petah Tikva,0:3,3,11,14,Bottom,Bottom,Bottom vs Bottom
2009/10,17,Maccabi Haifa,Hapoel Raanana,3:0,3,1,13,Top,Bottom,Bottom vs Top
2009/10,18,Hapoel Tel Aviv,H. Beer Sheva,4:1,3,2,7,Top,Middle,Middle vs Top
2009/10,18,H. Ramat Gan,Maccabi Haifa,0:5,5,12,1,Bottom,Top,Bottom vs Top
2009/10,21,Maccabi Haifa,H. Beer Sheva,4:1,3,1,8,Top,Middle,Middle vs Top
2009/10,21,FC Ashdod,Hapoel Tel Aviv,0:4,4,5,2,Middle,Top,Middle vs Top
2009/10,22,H. Ramat Gan,M. Tel Aviv,1:4,3,12,3,Bottom,Top,Bottom vs Top
2009/10,22,Hapoel Tel Aviv,M. Ahi Nazareth,4:0,4,2,15,Top,Bottom,Bottom vs Top
2009/10,22,B. Jerusalem,Maccabi Haifa,0:3,3,5,1,Middle,Top,Middle vs Top
