season,round,home,away,score,goal_diff,home_position,away_position,home_tier,away_tier,match_type,home_goals,away_goals,winner_category
2011/12,1,Maccabi Netanya,Maccabi Haifa,1:4,3,13,1,Bottom,Top,Bottom vs Top,1,4,Top won (expected)
2011/12,6,H. Beer Sheva,M. Tel Aviv,1:4,3,15,1,Bottom,Top,Bottom vs Top,1,4,Top won (expected)
2011/12,10,H. Beer Sheva,Kiryat Shmona,0:3,3,15,3,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2011/12,21,Hapoel Haifa,Hapoel Tel Aviv,3:0,3,14,3,Bottom,Top,Bottom vs Top,3,0,Bottom won (upset!)
2011/12,24,B. Jerusalem,Bnei Sakhnin,0:3,3,12,4,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2012/13,7,Hapoel Tel Aviv,Maccabi Haifa,3:0,3,3,12,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2012/13,12,M. Tel Aviv,Bnei Sakhnin,4:0,4,3,12,Top,Bottom,Bottom vs Top,4,0,Top won (expected)
2012/13,16,M. Tel Aviv,Hapoel Haifa,6:2,4,1,14,Top,Bottom,Bottom vs Top,6,2,Top won (expected)
2012/13,19,H. Ramat Gan,Maccabi Haifa,0:3,3,12,3,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2012/13,20,M. Tel Aviv,Hapoel Acre,4:0,4,1,14,Top,Bottom,Bottom vs Top,4,0,Top won (expected)
2012/13,25,Bnei Sakhnin,M. Tel Aviv,0:3,3,11,1,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2013/14,11,H. Beer Sheva,M. Petah Tikva,3:0,3,2,12,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2013/14,19,Ramat haSharon,M. Tel Aviv,0:3,3,12,1,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2013/14,20,Hapoel Tel Aviv,Ramat haSharon,3:0,3,3,12,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2013/14,23,Ramat haSharon,H. Beer Sheva,0:4,4,13,2,Bottom,Top,Bottom vs Top,0,4,Top won (expected)
2014/15,1,Hapoel Raanana,H. Petah Tikva,4:0,4,1,14,Top,Bottom,Bottom vs Top,4,0,Top won (expected)
2014/15,1,M. Petah Tikva,M. Tel Aviv,0:3,3,13,3,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2014/15,5,Hapoel Acre,M. Tel Aviv,1:4,3,12,3,Bottom,Top,Bottom vs Top,1,4,Top won (expected)
2014/15,6,Bnei Sakhnin,Kiryat Shmona,1:4,3,13,1,Bottom,Top,Bottom vs Top,1,4,Top won (expected)
2014/15,10,M. Tel Aviv,Hapoel Haifa,3:0,3,3,13,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2014/15,12,H. Beer Sheva,Hapoel Haifa,4:0,4,3,12,Top,Bottom,Bottom vs Top,4,0,Top won (expected)
2014/15,18,M. Tel Aviv,Hapoel Acre,3:0,3,2,14,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2014/15,20,H. Beer Sheva,Hapoel Acre,3:0,3,3,14,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2015/16,1,Maccabi Haifa,Bnei Yehuda,0:3,3,14,1,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2015/16,11,Hapoel Haifa,M. Tel Aviv,0:3,3,11,2,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2015/16,18,H. Beer Sheva,Hapoel Acre,3:0,3,1,11,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2015/16,19,Hapoel Acre,M. Tel Aviv,0:3,3,13,2,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2016/17,4,Hapoel Raanana,M. Tel Aviv,0:3,3,12,2,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2016/17,5,M. Tel Aviv,Hapoel Tel Aviv,5:0,5,1,14,Top,Bottom,Bottom vs Top,5,0,Top won (expected)
2016/17,8,Maccabi Haifa,H. Ashkelon,5:0,5,4,11,Top,Bottom,Bottom vs Top,5,0,Top won (expected)
2016/17,9,H. Ashkelon,H. Beer Sheva,1:5,4,12,1,Bottom,Top,Bottom vs Top,1,5,Top won (expected)
2016/17,24,H. Beer Sheva,H. Kfar Saba,3:0,3,1,12,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2017/18,1,M. Tel Aviv,B. Jerusalem,0:3,3,13,1,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2017/18,7,Hapoel Haifa,Hapoel Acre,4:0,4,1,12,Top,Bottom,Bottom vs Top,4,0,Top won (expected)
2017/18,25,B. Jerusalem,Hapoel Acre,3:0,3,3,14,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2018/19,1,Hapoel Haifa,Maccabi Netanya,5:0,5,1,14,Top,Bottom,Bottom vs Top,5,0,Top won (expected)
2018/19,1,M. Petah Tikva,B. Jerusalem,4:1,3,2,13,Top,Bottom,Bottom vs Top,4,1,Top won (expected)
2018/19,5,FC Ashdod,Maccabi Netanya,1:4,3,4,14,Top,Bottom,Bottom vs Top,1,4,Bottom won (upset!)
2018/19,6,H. Beer Sheva,M. Petah Tikva,4:1,3,11,3,Bottom,Top,Bottom vs Top,4,1,Bottom won (upset!)
2018/19,8,B. Jerusalem,Bnei Yehuda,1:5,4,14,3,Bottom,Top,Bottom vs Top,1,5,Top won (expected)
2018/19,9,M. Tel Aviv,Bnei Sakhnin,3:0,3,1,12,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2018/19,12,M. Tel Aviv,FC Ashdod,4:0,4,1,12,Top,Bottom,Bottom vs Top,4,0,Top won (expected)
2018/19,15,Hapoel Hadera,B. Jerusalem,0:3,3,4,12,Top,Bottom,Bottom vs Top,0,3,Bottom won (upset!)
2019/20,4,H. Beer Sheva,Hapoel Tel Aviv,3:0,3,4,11,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2019/20,6,Ness Ziona,Maccabi Haifa,0:3,3,13,3,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2019/20,12,Hapoel Tel Aviv,M. Tel Aviv,0:3,3,11,1,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2019/20,16,M. Tel Aviv,H. Kfar Saba,4:0,4,1,11,Top,Bottom,Bottom vs Top,4,0,Top won (expected)
2019/20,19,Maccabi Haifa,Ness Ziona,4:0,4,2,13,Top,Bottom,Bottom vs Top,4,0,Top won (expected)
2019/20,23,H. Beer Sheva,Ness Ziona,3:0,3,4,14,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2019/20,24,M. Tel Aviv,Kiryat Shmona,3:0,3,1,12,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2020/21,1,Bnei Sakhnin,Bnei Yehuda,0:3,3,14,1,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2020/21,3,Bnei Sakhnin,Maccabi Haifa,0:3,3,14,2,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2020/21,13,Hapoel Tel Aviv,M. Tel Aviv,0:4,4,14,3,Bottom,Top,Bottom vs Top,0,4,Top won (expected)
2020/21,16,Maccabi Haifa,Bnei Sakhnin,3:0,3,1,12,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2021/22,8,Hapoel Tel Aviv,Bnei Sakhnin,0:3,3,2,11,Top,Bottom,Bottom vs Top,0,3,Bottom won (upset!)
2021/22,9,Maccabi Haifa,Kiryat Shmona,4:0,4,3,11,Top,Bottom,Bottom vs Top,4,0,Top won (expected)
2021/22,17,M. Petah Tikva,Maccabi Haifa,0:4,4,14,2,Bottom,Top,Bottom vs Top,0,4,Top won (expected)
2021/22,24,Hapoel Hadera,M. Petah Tikva,1:4,3,4,14,Top,Bottom,Bottom vs Top,1,4,Bottom won (upset!)
2022/23,1,Maccabi Netanya,B. Jerusalem,4:1,3,2,13,Top,Bottom,Bottom vs Top,4,1,Top won (expected)
2022/23,1,M. Tel Aviv,M. Bnei Reineh,5:0,5,1,14,Top,Bottom,Bottom vs Top,5,0,Top won (expected)
2022/23,5,M. Tel Aviv,B. Jerusalem,4:0,4,2,12,Top,Bottom,Bottom vs Top,4,0,Top won (expected)
2022/23,7,M. Tel Aviv,Hapoel Tel Aviv,3:0,3,3,12,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2022/23,9,M. Tel Aviv,Maccabi Netanya,3:0,3,1,11,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2023/24,1,H. Beer Sheva,Hapoel Hadera,3:0,3,2,13,Top,Bottom,Bottom vs Top,3,0,Top won (expected)
2023/24,1,M. Tel Aviv,FC Ashdod,4:1,3,1,12,Top,Bottom,Bottom vs Top,4,1,Top won (expected)
2023/24,2,Hapoel Hadera,M. Tel Aviv,0:3,3,13,1,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2023/24,6,Hapoel Hadera,M. Petah Tikva,3:0,3,11,3,Bottom,Top,Bottom vs Top,3,0,Bottom won (upset!)
2023/24,10,Maccabi Haifa,FC Ashdod,4:0,4,2,11,Top,Bottom,Bottom vs Top,4,0,Top won (expected)
2023/24,14,FC Ashdod,M. Tel Aviv,1:4,3,13,1,Bottom,Top,Bottom vs Top,1,4,Top won (expected)
2023/24,23,FC Ashdod,Maccabi Haifa,0:5,5,12,2,Bottom,Top,Bottom vs Top,0,5,Top won (expected)
2024/25,1,Maccabi Haifa,Ironi Tiberias,4:0,4,3,14,Top,Bottom,Bottom vs Top,4,0,Top won (expected)
2024/25,2,M. Petah Tikva,M. Tel Aviv,0:3,3,13,2,Bottom,Top,Bottom vs Top,0,3,Top won (expected)
2024/25,5,Kiryat Shmona,Maccabi Haifa,0:4,4,11,4,Bottom,Top,Bottom vs Top,0,4,Top won (expected)
2024/25,9,Hapoel Hadera,B. Jerusalem,0:4,4,13,4,Bottom,Top,Bottom vs Top,0,4,Top won (expected)
2024/25,17,M. Tel Aviv,FC Ashdod,5:1,4,2,13,Top,Bottom,Bottom vs Top,5,1,Top won (expected)
2024/25,23,H. Beer Sheva,Ironi Tiberias,4:0,4,1,12,Top,Bottom,Bottom vs Top,4,0,Top won (expected)
2025/26,1,Maccabi Haifa,M. Bnei Reineh,4:0,4,1,13,Top,Bottom,Bottom vs Top,4,0,Top won (expected)
2025/26,1,H. Petah Tikva,M. Tel Aviv,0:4,4,13,1,Bottom,Top,Bottom vs Top,0,4,Top won (expected)
2025/26,2,M. Tel Aviv,Maccabi Netanya,4:0,4,1,12,Top,Bottom,Bottom vs Top,4,0,Top won (expected)
2025/26,3,H. Jerusalem,H. Beer Sheva,1:5,4,13,1,Bottom,Top,Bottom vs Top,1,5,Top won (expected)
