season,round,home,away,score,goal_diff,home_position,away_position,home_tier,away_tier,match_type,home_goals,away_goals,winner_category
2012/13,26,M. Tel Aviv,B. Jerusalem,5:0,5,1,7,Top,Middle,Middle vs Top,5,0,Top won (expected)
2013/14,3,Maccabi Haifa,M. Tel Aviv,0:3,3,6,2,Middle,Top,Middle vs Top,0,3,Top won (expected)
2013/14,4,M. Tel Aviv,Kiryat Shmona,3:0,3,1,6,Top,Middle,Middle vs Top,3,0,Top won (expected)
2013/14,6,Bnei Sakhnin,FC Ashdod,3:0,3,4,6,Top,Middle,Middle vs Top,3,0,Top won (expected)
2013/14,9,Bnei Sakhnin,H. Beer Sheva,0:4,4,6,2,Middle,Top,Middle vs Top,0,4,Top won (expected)
2013/14,14,Bnei Sakhnin,Hapoel Tel Aviv,4:0,4,3,5,Top,Middle,Middle vs Top,4,0,Top won (expected)
2013/14,14,M. Tel Aviv,Hapoel Acre,5:0,5,1,9,Top,Middle,Middle vs Top,5,0,Top won (expected)
2014/15,2,Kiryat Shmona,Hapoel Tel Aviv,3:0,3,9,4,Middle,Top,Middle vs Top,3,0,Middle won (upset!)
2014/15,4,Kiryat Shmona,M. Petah Tikva,3:0,3,1,8,Top,Middle,Middle vs Top,3,0,Top won (expected)
2014/15,5,M. Petah Tikva,H. Beer Sheva,0:4,4,10,2,Middle,Top,Middle vs Top,0,4,Top won (expected)
2014/15,6,M. Tel Aviv,FC Ashdod,5:2,3,3,6,Top,Middle,Middle vs Top,5,2,Top won (expected)
2014/15,10,H. Beer Sheva,Maccabi Netanya,4:0,4,2,7,Top,Middle,Middle vs Top,4,0,Top won (expected)
2014/15,14,B. Jerusalem,H. Beer Sheva,0:3,3,7,3,Middle,Top,Middle vs Top,0,3,Top won (expected)
2014/15,17,M. Petah Tikva,Kiryat Shmona,3:0,3,7,1,Middle,Top,Middle vs Top,3,0,Middle won (upset!)
2015/16,6,H. Beer Sheva,M. Petah Tikva,5:2,3,7,1,Middle,Top,Middle vs Top,5,2,Middle won (upset!)
2015/16,12,H. Beer Sheva,H. Kfar Saba,3:0,3,2,8,Top,Middle,Middle vs Top,3,0,Top won (expected)
2015/16,12,M. Tel Aviv,Bnei Yehuda,4:0,4,1,7,Top,Middle,Middle vs Top,4,0,Top won (expected)
2015/16,16,M. Tel Aviv,Kiryat Shmona,5:0,5,2,8,Top,Middle,Middle vs Top,5,0,Top won (expected)
2015/16,23,B. Jerusalem,Maccabi Haifa,3:0,3,3,5,Top,Middle,Middle vs Top,3,0,Top won (expected)
2015/16,26,M. Tel Aviv,H. Kfar Saba,5:0,5,2,9,Top,Middle,Middle vs Top,5,0,Top won (expected)
2016/17,4,B. Jerusalem,H. Ashkelon,3:0,3,9,4,Middle,Top,Middle vs Top,3,0,Middle won (upset!)
2016/17,5,Bnei Yehuda,H. Beer Sheva,0:3,3,8,3,Middle,Top,Middle vs Top,0,3,Top won (expected)
2016/17,6,Bnei Sakhnin,M. Tel Aviv,0:3,3,10,1,Middle,Top,Middle vs Top,0,3,Top won (expected)
2016/17,7,Bnei Yehuda,M. Petah Tikva,1:4,3,9,3,Middle,Top,Middle vs Top,1,4,Top won (expected)
2016/17,10,H. Beer Sheva,Hapoel Haifa,5:1,4,1,9,Top,Middle,Middle vs Top,5,1,Top won (expected)
2016/17,12,H. Beer Sheva,FC Ashdod,5:0,5,1,10,Top,Middle,Middle vs Top,5,0,Top won (expected)
2016/17,17,M. Tel Aviv,Hapoel Raanana,4:1,3,2,9,Top,Middle,Middle vs Top,4,1,Top won (expected)
2016/17,18,Bnei Sakhnin,Kiryat Shmona,5:2,3,7,4,Middle,Top,Middle vs Top,5,2,Middle won (upset!)
2016/17,19,Kiryat Shmona,Maccabi Haifa,3:0,3,4,6,Top,Middle,Middle vs Top,3,0,Top won (expected)
2016/17,23,M. Tel Aviv,Kiryat Shmona,3:0,3,2,6,Top,Middle,Middle vs Top,3,0,Top won (expected)
2017/18,2,B. Jerusalem,FC Ashdod,4:1,3,1,10,Top,Middle,Middle vs Top,4,1,Top won (expected)
2017/18,6,Maccabi Netanya,M. Petah Tikva,4:0,4,4,10,Top,Middle,Middle vs Top,4,0,Top won (expected)
2017/18,17,M. Tel Aviv,Maccabi Netanya,3:0,3,4,5,Top,Middle,Middle vs Top,3,0,Top won (expected)
2017/18,23,H. Beer Sheva,M. Petah Tikva,3:0,3,2,7,Top,Middle,Middle vs Top,3,0,Top won (expected)
2017/18,25,Maccabi Haifa,Hapoel Haifa,0:3,3,10,4,Middle,Top,Middle vs Top,0,3,Top won (expected)
2018/19,16,Hapoel Hadera,M. Petah Tikva,3:0,3,4,8,Top,Middle,Middle vs Top,3,0,Top won (expected)
2018/19,17,M. Tel Aviv,Maccabi Netanya,4:1,3,1,5,Top,Middle,Middle vs Top,4,1,Top won (expected)
2018/19,23,M. Tel Aviv,Kiryat Shmona,3:0,3,1,8,Top,Middle,Middle vs Top,3,0,Top won (expected)
2018/19,23,M. Petah Tikva,Maccabi Netanya,1:4,3,10,4,Middle,Top,Middle vs Top,1,4,Top won (expected)
2019/20,5,B. Jerusalem,M. Tel Aviv,0:4,4,10,1,Middle,Top,Middle vs Top,0,4,Top won (expected)
2019/20,6,Hapoel Haifa,H. Beer Sheva,0:3,3,6,2,Middle,Top,Middle vs Top,0,3,Top won (expected)
2019/20,8,H. Kfar Saba,Maccabi Haifa,0:3,3,8,3,Middle,Top,Middle vs Top,0,3,Top won (expected)
2019/20,10,M. Tel Aviv,Hapoel Haifa,3:0,3,1,5,Top,Middle,Middle vs Top,3,0,Top won (expected)
2019/20,11,Hapoel Hadera,Maccabi Haifa,0:3,3,5,2,Middle,Top,Middle vs Top,0,3,Top won (expected)
2019/20,15,Maccabi Haifa,Hapoel Haifa,3:0,3,2,5,Top,Middle,Middle vs Top,3,0,Top won (expected)
2019/20,15,Bnei Yehuda,M. Tel Aviv,0:3,3,8,1,Middle,Top,Middle vs Top,0,3,Top won (expected)
2019/20,16,Hapoel Haifa,B. Jerusalem,1:4,3,5,3,Middle,Top,Middle vs Top,1,4,Top won (expected)
2019/20,19,Hapoel Hadera,M. Tel Aviv,0:3,3,5,1,Middle,Top,Middle vs Top,0,3,Top won (expected)
2019/20,22,Maccabi Haifa,Hapoel Tel Aviv,5:0,5,2,5,Top,Middle,Middle vs Top,5,0,Top won (expected)
2019/20,25,Hapoel Hadera,B. Jerusalem,1:4,3,6,3,Middle,Top,Middle vs Top,1,4,Top won (expected)
2019/20,25,M. Tel Aviv,Hapoel Tel Aviv,3:0,3,1,5,Top,Middle,Middle vs Top,3,0,Top won (expected)
2020/21,4,Maccabi Netanya,H. Kfar Saba,3:0,3,6,4,Middle,Top,Middle vs Top,3,0,Middle won (upset!)
2020/21,5,FC Ashdod,Maccabi Netanya,4:0,4,6,4,Middle,Top,Middle vs Top,4,0,Middle won (upset!)
2020/21,12,Maccabi Haifa,Bnei Yehuda,3:0,3,1,9,Top,Middle,Middle vs Top,3,0,Top won (expected)
2020/21,18,Maccabi Netanya,FC Ashdod,3:0,3,7,4,Middle,Top,Middle vs Top,3,0,Middle won (upset!)
2020/21,18,Maccabi Haifa,H. Kfar Saba,3:0,3,1,10,Top,Middle,Middle vs Top,3,0,Top won (expected)
2020/21,20,H. Beer Sheva,FC Ashdod,0:3,3,5,3,Middle,Top,Middle vs Top,0,3,Top won (expected)
2020/21,21,Kiryat Shmona,Maccabi Netanya,1:4,3,4,8,Top,Middle,Middle vs Top,1,4,Middle won (upset!)
2020/21,21,B. Jerusalem,Maccabi Haifa,0:3,3,7,1,Middle,Top,Middle vs Top,0,3,Top won (expected)
2020/21,24,M. Tel Aviv,B. Jerusalem,4:1,3,2,8,Top,Middle,Middle vs Top,4,1,Top won (expected)
2021/22,8,Hapoel Haifa,Hapoel Hadera,3:0,3,4,5,Top,Middle,Middle vs Top,3,0,Top won (expected)
2021/22,12,H. Nof HaGalil,Maccabi Haifa,0:4,4,9,2,Middle,Top,Middle vs Top,0,4,Top won (expected)
2021/22,13,M. Tel Aviv,Hapoel Hadera,3:0,3,4,5,Top,Middle,Middle vs Top,3,0,Top won (expected)
2021/22,16,H. Beer Sheva,Bnei Sakhnin,3:0,3,1,5,Top,Middle,Middle vs Top,3,0,Top won (expected)
2021/22,21,Maccabi Haifa,FC Ashdod,6:0,6,1,9,Top,Middle,Middle vs Top,6,0,Top won (expected)
2022/23,2,Maccabi Haifa,Maccabi Netanya,4:1,3,6,2,Middle,Top,Middle vs Top,4,1,Middle won (upset!)
2022/23,2,Hapoel Hadera,M. Tel Aviv,0:6,6,7,1,Middle,Top,Middle vs Top,0,6,Top won (expected)
2022/23,3,H. Jerusalem,FC Ashdod,3:0,3,9,3,Middle,Top,Middle vs Top,3,0,Middle won (upset!)
2022/23,11,M. Bnei Reineh,H. Beer Sheva,0:3,3,8,3,Middle,Top,Middle vs Top,0,3,Top won (expected)
2022/23,11,B. Jerusalem,Maccabi Haifa,1:4,3,10,1,Middle,Top,Middle vs Top,1,4,Top won (expected)
2022/23,12,H. Beer Sheva,Hapoel Hadera,3:0,3,3,5,Top,Middle,Middle vs Top,3,0,Top won (expected)
2022/23,13,Maccabi Haifa,Hapoel Tel Aviv,5:2,3,1,8,Top,Middle,Middle vs Top,5,2,Top won (expected)
2022/23,15,M. Tel Aviv,Hapoel Hadera,5:0,5,2,5,Top,Middle,Middle vs Top,5,0,Top won (expected)
2022/23,17,M. Tel Aviv,FC Ashdod,3:0,3,2,7,Top,Middle,Middle vs Top,3,0,Top won (expected)
2022/23,17,H. Beer Sheva,Hapoel Tel Aviv,6:0,6,3,10,Top,Middle,Middle vs Top,6,0,Top won (expected)
2022/23,25,Hapoel Hadera,H. Beer Sheva,0:3,3,10,2,Middle,Top,Middle vs Top,0,3,Top won (expected)
2022/23,25,Maccabi Haifa,Hapoel Haifa,4:1,3,1,8,Top,Middle,Middle vs Top,4,1,Top won (expected)
2023/24,4,Hapoel Tel Aviv,M. Tel Aviv,0:5,5,5,1,Middle,Top,Middle vs Top,0,5,Top won (expected)
2023/24,5,M. Petah Tikva,Bnei Sakhnin,5:1,4,3,8,Top,Middle,Middle vs Top,5,1,Top won (expected)
2023/24,8,M. Bnei Reineh,M. Petah Tikva,3:0,3,4,5,Top,Middle,Middle vs Top,3,0,Top won (expected)
2023/24,11,Hapoel Hadera,Maccabi Haifa,1:5,4,9,2,Middle,Top,Middle vs Top,1,5,Top won (expected)
2023/24,12,H. Beer Sheva,Hapoel Haifa,4:0,4,7,3,Middle,Top,Middle vs Top,4,0,Middle won (upset!)
2023/24,15,M. Petah Tikva,Hapoel Haifa,0:3,3,10,3,Middle,Top,Middle vs Top,0,3,Top won (expected)
2023/24,16,Hapoel Tel Aviv,H. Beer Sheva,0:4,4,7,4,Middle,Top,Middle vs Top,0,4,Top won (expected)
2023/24,16,Maccabi Haifa,M. Petah Tikva,5:0,5,2,10,Top,Middle,Middle vs Top,5,0,Top won (expected)
2023/24,17,Bnei Sakhnin,Maccabi Haifa,0:3,3,7,2,Middle,Top,Middle vs Top,0,3,Top won (expected)
2023/24,18,Maccabi Haifa,Maccabi Netanya,4:0,4,2,6,Top,Middle,Middle vs Top,4,0,Top won (expected)
2023/24,22,Maccabi Netanya,M. Tel Aviv,1:5,4,8,2,Middle,Top,Middle vs Top,1,5,Top won (expected)
2023/24,24,M. Tel Aviv,M. Petah Tikva,4:0,4,1,7,Top,Middle,Middle vs Top,4,0,Top won (expected)
2024/25,6,Maccabi Haifa,Bnei Sakhnin,3:0,3,4,6,Top,Middle,Middle vs Top,3,0,Top won (expected)
2024/25,7,M. Petah Tikva,H. Beer Sheva,2:5,3,10,4,Middle,Top,Middle vs Top,2,5,Top won (expected)
2024/25,9,Hapoel Haifa,Maccabi Haifa,1:4,3,5,2,Middle,Top,Middle vs Top,1,4,Top won (expected)
2024/25,10,Bnei Sakhnin,M. Tel Aviv,0:4,4,7,1,Middle,Top,Middle vs Top,0,4,Top won (expected)
2024/25,12,B. Jerusalem,M. Petah Tikva,5:0,5,4,10,Top,Middle,Middle vs Top,5,0,Top won (expected)
2024/25,14,H. Beer Sheva,Kiryat Shmona,5:1,4,1,6,Top,Middle,Middle vs Top,5,1,Top won (expected)
2024/25,16,Maccabi Netanya,B. Jerusalem,3:0,3,10,4,Middle,Top,Middle vs Top,3,0,Middle won (upset!)
2024/25,18,Maccabi Haifa,Kiryat Shmona,4:1,3,3,6,Top,Middle,Middle vs Top,4,1,Top won (expected)
2024/25,18,B. Jerusalem,M. Bnei Reineh,1:4,3,4,7,Top,Middle,Middle vs Top,1,4,Middle won (upset!)
2024/25,19,Kiryat Shmona,B. Jerusalem,0:3,3,8,4,Middle,Top,Middle vs Top,0,3,Top won (expected)
2024/25,19,Bnei Sakhnin,Maccabi Haifa,0:3,3,10,3,Middle,Top,Middle vs Top,0,3,Top won (expected)
2024/25,19,M. Tel Aviv,Maccabi Netanya,4:1,3,2,7,Top,Middle,Middle vs Top,4,1,Top won (expected)
2025/26,2,H. Beer Sheva,Ironi Tiberias,7:0,7,3,6,Top,Middle,Middle vs Top,7,0,Top won (expected)
2025/26,3,Ironi Tiberias,M. Tel Aviv,1:4,3,8,2,Middle,Top,Middle vs Top,1,4,Top won (expected)
2025/26,3,Maccabi Haifa,FC Ashdod,5:1,4,3,5,Top,Middle,Middle vs Top,5,1,Top won (expected)
2025/26,6,B. Jerusalem,H. Petah Tikva,5:2,3,4,6,Top,Middle,Middle vs Top,5,2,Top won (expected)
