season,season_year,week_start,weekly_matches,active_weekdays
2013/14,2013,2014-01-27,6,2
2013/14,2013,2014-02-03,7,3
2013/14,2013,2014-02-10,7,3
2013/14,2013,2014-02-17,7,3
2013/14,2013,2014-02-24,7,3
2013/14,2013,2014-03-03,7,3
2013/14,2013,2014-03-10,7,3
2013/14,2013,2014-03-17,1,1
2014/15,2014,2014-09-08,6,2
2014/15,2014,2014-09-15,7,3
2014/15,2014,2014-09-22,7,3
2014/15,2014,2014-09-29,1,1
2014/15,2014,2014-10-13,6,2
2014/15,2014,2014-10-20,7,3
2014/15,2014,2014-10-27,13,6
2014/15,2014,2014-11-03,8,3
2014/15,2014,2014-11-10,1,1
2014/15,2014,2014-11-17,6,2
2014/15,2014,2014-11-24,7,3
2014/15,2014,2014-12-01,13,6
2014/15,2014,2014-12-08,8,3
2014/15,2014,2014-12-15,7,3
2014/15,2014,2014-12-22,7,3
2014/15,2014,2014-12-29,7,3
2014/15,2014,2015-01-05,8,3
2014/15,2014,2015-01-12,5,2
2014/15,2014,2015-01-19,8,3
2014/15,2014,2015-01-26,6,3
2014/15,2014,2015-02-02,8,3
2014/15,2014,2015-02-09,7,3
2014/15,2014,2015-02-16,7,3
2014/15,2014,2015-02-23,7,3
2014/15,2014,2015-03-02,7,3
2014/15,2014,2015-03-09,7,3
2014/15,2014,2015-03-16,1,1
2015/16,2015,2015-08-17,6,2
2015/16,2015,2015-08-24,7,3
2015/16,2015,2015-08-31,1,1
2015/16,2015,2015-09-07,7,1
2015/16,2015,2015-09-14,6,2
2015/16,2015,2015-09-21,6,2
2015/16,2015,2015-09-28,8,2
2015/16,2015,2015-10-05,1,1
2015/16,2015,2015-10-12,6,2
2015/16,2015,2015-10-19,7,3
2015/16,2015,2015-10-26,7,3
2015/16,2015,2015-11-02,7,3
2015/16,2015,2015-11-09,1,1
2015/16,2015,2015-11-16,6,2
2015/16,2015,2015-11-23,7,3
2015/16,2015,2015-11-30,7,3
2015/16,2015,2015-12-07,7,3
2015/16,2015,2015-12-14,7,3
2015/16,2015,2015-12-21,7,3
2015/16,2015,2015-12-28,7,3
2015/16,2015,2016-01-04,8,3
2015/16,2015,2016-01-11,5,2
2015/16,2015,2016-01-18,9,3
2015/16,2015,2016-01-25,6,2
2015/16,2015,2016-02-01,7,3
2015/16,2015,2016-02-08,7,3
2015/16,2015,2016-02-15,7,3
2015/16,2015,2016-02-22,7,3
2015/16,2015,2016-02-29,7,3
2015/16,2015,2016-03-07,1,1
2016/17,2016,2016-08-15,6,2
2016/17,2016,2016-08-22,7,3
2016/17,2016,2016-08-29,1,1
2016/17,2016,2016-09-05,6,2
2016/17,2016,2016-09-12,7,3
2016/17,2016,2016-09-19,8,4
2016/17,2016,2016-09-26,6,2
2016/17,2016,2016-10-10,1,1
2016/17,2016,2016-10-17,5,1
2016/17,2016,2016-10-24,8,3
2016/17,2016,2016-10-31,7,3
2016/17,2016,2016-11-07,1,1
2016/17,2016,2016-11-14,6,2
2016/17,2016,2016-11-21,7,3
2016/17,2016,2016-11-28,7,3
2016/17,2016,2016-12-05,7,3
2016/17,2016,2016-12-12,7,3
