season,season_year,day_of_week_en,matches,day_of_week_he,total_matches,share_pct,matches_pct_change,share_pct_change,matches_rolling_mean_3
2019/20,2019,Tuesday,10,יום שלישי,182,5.4945054945054945,42.85714285714286,42.85714285714286,6.666666666666667
2020/21,2020,Tuesday,14,יום שלישי,182,7.6923076923076925,39.99999999999999,40.000000000000014,10.333333333333334
2021/22,2021,Tuesday,7,יום שלישי,182,3.8461538461538463,-50.0,-50.0,10.333333333333334
2022/23,2022,Tuesday,4,יום שלישי,182,2.197802197802198,-42.85714285714286,-42.85714285714285,8.333333333333334
2023/24,2023,Tuesday,19,יום שלישי,182,10.43956043956044,375.0,375.0,10.0
2024/25,2024,Tuesday,7,יום שלישי,182,3.8461538461538463,-63.1578947368421,-63.1578947368421,10.0
2025/26,2025,Tuesday,1,יום שלישי,74,1.3513513513513513,-85.71428571428572,-64.86486486486487,9.0
2006/07,2006,Wednesday,1,יום רביעי,198,0.5050505050505051,,,1.0
2010/11,2010,Wednesday,1,יום רביעי,240,0.4166666666666667,0.0,-17.500000000000004,1.0
2011/12,2011,Wednesday,15,יום רביעי,240,6.25,1400.0,1400.0,5.666666666666667
2012/13,2012,Wednesday,1,יום רביעי,182,0.5494505494505495,-93.33333333333333,-91.20879120879121,5.666666666666667
2014/15,2014,Wednesday,5,יום רביעי,182,2.7472527472527473,400.0,400.0,7.0
2016/17,2016,Wednesday,4,יום רביעי,182,2.197802197802198,-19.999999999999996,-19.999999999999996,3.3333333333333335
2017/18,2017,Wednesday,1,יום רביעי,182,0.5494505494505495,-75.0,-75.0,3.3333333333333335
2018/19,2018,Wednesday,6,יום רביעי,182,3.296703296703297,500.0,500.0,3.6666666666666665
2019/20,2019,Wednesday,14,יום רביעי,182,7.6923076923076925,133.33333333333334,133.33333333333331,7.0
2020/21,2020,Wednesday,23,יום רביעי,182,12.637362637362637,64.28571428571428,64.28571428571428,14.333333333333334
2021/22,2021,Wednesday,6,יום רביעי,182,3.296703296703297,-73.91304347826086,-73.91304347826086,14.333333333333334
2022/23,2022,Wednesday,7,יום רביעי,182,3.8461538461538463,16.666666666666675,16.66666666666665,12.0
2023/24,2023,Wednesday,24,יום רביעי,182,13.186813186813188,242.85714285714283,242.8571428571429,12.333333333333334
2024/25,2024,Wednesday,7,יום רביעי,182,3.8461538461538463,-70.83333333333333,-70.83333333333334,12.666666666666666
2006/07,2006,Thursday,1,יום חמישי,198,0.5050505050505051,,,1.0
2012/13,2012,Thursday,1,יום חמישי,182,0.5494505494505495,0.0,8.791208791208804,1.0
2014/15,2014,Thursday,4,יום חמישי,182,2.197802197802198,300.0,300.0,2.0
2016/17,2016,Thursday,1,יום חמישי,182,0.5494505494505495,-75.0,-75.0,2.0
2018/19,2018,Thursday,1,יום חמישי,182,0.5494505494505495,0.0,0.0,2.0
2020/21,2020,Thursday,15,יום חמישי,182,8.241758241758241,1400.0,1399.9999999999995,5.666666666666667
2021/22,2021,Thursday,1,יום חמישי,182,0.5494505494505495,-93.33333333333333,-93.33333333333333,5.666666666666667
2023/24,2023,Thursday,1,יום חמישי,182,0.5494505494505495,0.0,0.0,5.666666666666667
2024/25,2024,Thursday,3,יום חמישי,182,1.6483516483516485,200.0,200.0,1.6666666666666667
2006/07,2006,Friday,2,יום שישי,198,1.0101010101010102,,,2.0
2007/08,2007,Friday,1,יום שישי,198,0.5050505050505051,-50.0,-50.0,1.5
2008/09,2008,Friday,1,יום שישי,198,0.5050505050505051,0.0,0.0,1.3333333333333333
2024/25,2024,Friday,3,יום שישי,182,1.6483516483516485,200.0,226.37362637362637,1.6666666666666667
2006/07,2006,Saturday,152,שבת,198,76.76767676767676,,,152.0
2007/08,2007,Saturday,159,שבת,198,80.3030303030303,4.6052631578947345,4.6052631578947345,155.5
2008/09,2008,Saturday,158,שבת,198,79.7979797979798,-0.6289308176100628,-0.6289308176100405,156.33333333333334
2009/10,2009,Saturday,194,שבת,240,80.83333333333333,22.78481012658229,1.2974683544303645,170.33333333333334
2010/11,2010,Saturday,182,שבת,240,75.83333333333333,-6.185567010309279,-6.185567010309279,178.0
2011/12,2011,Saturday,160,שבת,240,66.66666666666666,-12.08791208791209,-12.08791208791209,178.66666666666666
2012/13,2012,Saturday,127,שבת,182,69.78021978021978,-20.625000000000004,4.670329670329676,156.33333333333334
2013/14,2013,Saturday,129,שבת,182,70.87912087912088,1.5748031496062964,1.5748031496062964,138.66666666666666
2014/15,2014,Saturday,116,שבת,182,63.73626373626373,-10.077519379844958,-10.077519379844968,124.0
2015/16,2015,Saturday,130,שבת,182,71.42857142857143,12.06896551724137,12.068965517241391,125.0
2016/17,2016,Saturday,103,שבת,182,56.59340659340659,-20.769230769230774,-20.769230769230774,116.33333333333333
2017/18,2017,Saturday,96,שבת,182,52.74725274725275,-6.796116504854366,-6.796116504854355,109.66666666666667
2018/19,2018,Saturday,98,שבת,182,53.84615384615385,2.083333333333326,2.083333333333326,99.0
2019/20,2019,Saturday,89,שבת,182,48.9010989010989,-9.183673469387754,-9.183673469387765,94.33333333333333
2020/21,2020,Saturday,68,שבת,182,37.362637362637365,-23.59550561797753,-23.59550561797752,85.0
2021/22,2021,Saturday,94,שבת,182,51.64835164835166,38.23529411764706,38.23529411764708,83.66666666666667
2022/23,2022,Saturday,110,שבת,182,60.43956043956044,17.021276595744684,17.02127659574466,90.66666666666667
2023/24,2023,Saturday,84,שבת,182,46.15384615384615,-23.636363636363633,-23.636363636363633,96.0
