home,day_of_week_en,home_matches,share_within_home_club_pct,day_of_week_he
Hapoel Acre,Sunday,12,10.909090909090908,יום ראשון
Hapoel Hadera,Monday,8,8.791208791208792,יום שני
Hapoel Hadera,Tuesday,5,5.4945054945054945,יום שלישי
Hapoel Hadera,Wednesday,5,5.4945054945054945,יום רביעי
Hapoel Hadera,Thursday,2,2.197802197802198,יום חמישי
Hapoel Hadera,Saturday,47,51.64835164835166,שבת
Hapoel Hadera,Sunday,24,26.373626373626376,יום ראשון
Hapoel Haifa,Monday,19,8.636363636363637,יום שני
Hapoel Haifa,Tuesday,8,3.6363636363636362,יום שלישי
Hapoel Haifa,Wednesday,6,2.727272727272727,יום רביעי
Hapoel Haifa,Thursday,2,0.9090909090909091,יום חמישי
Hapoel Haifa,Saturday,153,69.54545454545455,שבת
Hapoel Haifa,Sunday,32,14.545454545454545,יום ראשון
Hapoel Raanana,Monday,3,2.8301886792452833,יום שני
Hapoel Raanana,Wednesday,3,2.8301886792452833,יום רביעי
Hapoel Raanana,Saturday,78,73.58490566037736,שבת
Hapoel Raanana,Sunday,22,20.754716981132077,יום ראשון
Hapoel Tel Aviv,Monday,49,20.16460905349794,יום שני
Hapoel Tel Aviv,Tuesday,2,0.823045267489712,יום שלישי
Hapoel Tel Aviv,Wednesday,7,2.880658436213992,יום רביעי
Hapoel Tel Aviv,Saturday,140,57.61316872427984,שבת
Hapoel Tel Aviv,Sunday,45,18.51851851851852,יום ראשון
Ironi Tiberias,Monday,1,5.555555555555555,יום שני
Ironi Tiberias,Tuesday,1,5.555555555555555,יום שלישי
Ironi Tiberias,Saturday,15,83.33333333333334,שבת
Ironi Tiberias,Sunday,1,5.555555555555555,יום ראשון
Kiryat Shmona,Monday,22,9.777777777777779,יום שני
Kiryat Shmona,Tuesday,5,2.2222222222222223,יום שלישי
Kiryat Shmona,Wednesday,6,2.666666666666667,יום רביעי
Kiryat Shmona,Thursday,2,0.8888888888888888,יום חמישי
Kiryat Shmona,Friday,1,0.4444444444444444,יום שישי
Kiryat Shmona,Saturday,155,68.88888888888889,שבת
Kiryat Shmona,Sunday,34,15.11111111111111,יום ראשון
M. Ahi Nazareth,Saturday,14,93.33333333333333,שבת
M. Ahi Nazareth,Sunday,1,6.666666666666667,יום ראשון
M. Bnei Reineh,Monday,4,8.88888888888889,יום שני
M. Bnei Reineh,Tuesday,1,2.2222222222222223,יום שלישי
M. Bnei Reineh,Thursday,1,2.2222222222222223,יום חמישי
M. Bnei Reineh,Saturday,29,64.44444444444444,שבת
M. Bnei Reineh,Sunday,10,22.22222222222222,יום ראשון
M. Petah Tikva,Monday,18,8.0,יום שני
M. Petah Tikva,Tuesday,6,2.666666666666667,יום שלישי
M. Petah Tikva,Wednesday,8,3.5555555555555554,יום רביעי
M. Petah Tikva,Thursday,1,0.4444444444444444,יום חמישי
M. Petah Tikva,Saturday,161,71.55555555555554,שבת
M. Petah Tikva,Sunday,31,13.777777777777779,יום ראשון
M. Tel Aviv,Monday,52,19.402985074626866,יום שני
M. Tel Aviv,Tuesday,3,1.1194029850746268,יום שלישי
M. Tel Aviv,Wednesday,13,4.850746268656716,יום רביעי
M. Tel Aviv,Thursday,3,1.1194029850746268,יום חמישי
M. Tel Aviv,Saturday,130,48.507462686567166,שבת
M. Tel Aviv,Sunday,67,25.0,יום ראשון
Maccabi Haifa,Monday,67,24.814814814814813,יום שני
Maccabi Haifa,Tuesday,4,1.4814814814814816,יום שלישי
Maccabi Haifa,Wednesday,9,3.3333333333333335,יום רביעי
Maccabi Haifa,Thursday,2,0.7407407407407408,יום חמישי
Maccabi Haifa,Saturday,135,50.0,שבת
Maccabi Haifa,Sunday,53,19.62962962962963,יום ראשון
Maccabi Herzlya,Thursday,1,3.125,יום חמישי
Maccabi Herzlya,Friday,1,3.125,יום שישי
Maccabi Herzlya,Saturday,30,93.75,שבת
Maccabi Netanya,Monday,20,8.19672131147541,יום שני
Maccabi Netanya,Tuesday,8,3.278688524590164,יום שלישי
Maccabi Netanya,Wednesday,5,2.0491803278688523,יום רביעי
Maccabi Netanya,Thursday,1,0.4098360655737705,יום חמישי
Maccabi Netanya,Friday,1,0.4098360655737705,יום שישי
Maccabi Netanya,Saturday,174,71.31147540983606,שבת
Maccabi Netanya,Sunday,35,14.344262295081966,יום ראשון
Ness Ziona,Monday,1,3.8461538461538463,יום שני
Ness Ziona,Tuesday,1,3.8461538461538463,יום שלישי
Ness Ziona,Wednesday,3,11.538461538461538,יום רביעי
Ness Ziona,Saturday,14,53.84615384615385,שבת
Ness Ziona,Sunday,7,26.923076923076923,יום ראשון
Ramat haSharon,Wednesday,2,4.878048780487805,יום רביעי
Ramat haSharon,Saturday,36,87.8048780487805,שבת
Ramat haSharon,Sunday,3,7.317073170731707,יום ראשון
