season,stage,segment_label,team,prev_rank,new_rank
2009/10,regular,Regular: after round 3 vs after round 2,Maccabi Netanya,13,11
2009/10,regular,Regular: after round 4 vs after round 3,B. Jerusalem,7,4
2009/10,regular,Regular: after round 4 vs after round 3,Bnei Sakhnin,8,10
2009/10,regular,Regular: after round 4 vs after round 3,FC Ashdod,5,6
2009/10,regular,Regular: after round 4 vs after round 3,H. Beer Sheva,9,11
2009/10,regular,Regular: after round 4 vs after round 3,H. Petah Tikva,10,13
2009/10,regular,Regular: after round 4 vs after round 3,H. Ramat Gan,12,9
2009/10,regular,Regular: after round 4 vs after round 3,Hapoel Acre,14,16
2009/10,regular,Regular: after round 4 vs after round 3,Hapoel Haifa,4,3
2009/10,regular,Regular: after round 4 vs after round 3,Hapoel Tel Aviv,6,8
2009/10,regular,Regular: after round 4 vs after round 3,M. Ahi Nazareth,16,12
2009/10,regular,Regular: after round 4 vs after round 3,M. Petah Tikva,13,7
2009/10,regular,Regular: after round 4 vs after round 3,M. Tel Aviv,3,5
2009/10,regular,Regular: after round 4 vs after round 3,Maccabi Netanya,11,14
2009/10,regular,Regular: after round 5 vs after round 4,Bnei Sakhnin,10,12
2009/10,regular,Regular: after round 5 vs after round 4,Bnei Yehuda,2,3
2009/10,regular,Regular: after round 5 vs after round 4,FC Ashdod,6,7
2009/10,regular,Regular: after round 5 vs after round 4,H. Beer Sheva,11,8
2009/10,regular,Regular: after round 5 vs after round 4,Hapoel Acre,16,14
2009/10,regular,Regular: after round 5 vs after round 4,Hapoel Haifa,3,2
2009/10,regular,Regular: after round 5 vs after round 4,Hapoel Tel Aviv,8,5
2009/10,regular,Regular: after round 5 vs after round 4,M. Ahi Nazareth,12,10
2009/10,regular,Regular: after round 5 vs after round 4,M. Petah Tikva,7,11
2009/10,regular,Regular: after round 5 vs after round 4,M. Tel Aviv,5,6
2009/10,regular,Regular: after round 5 vs after round 4,Maccabi Netanya,14,16
2009/10,regular,Regular: after round 6 vs after round 5,Bnei Sakhnin,12,14
2009/10,regular,Regular: after round 6 vs after round 5,Bnei Yehuda,3,5
2009/10,regular,Regular: after round 6 vs after round 5,H. Beer Sheva,8,9
2009/10,regular,Regular: after round 6 vs after round 5,H. Petah Tikva,13,10
2009/10,regular,Regular: after round 6 vs after round 5,H. Ramat Gan,9,11
2009/10,regular,Regular: after round 6 vs after round 5,Hapoel Acre,14,15
2009/10,regular,Regular: after round 6 vs after round 5,Hapoel Raanana,15,16
2009/10,regular,Regular: after round 6 vs after round 5,Hapoel Tel Aviv,5,6
2009/10,regular,Regular: after round 6 vs after round 5,M. Ahi Nazareth,10,8
2009/10,regular,Regular: after round 6 vs after round 5,M. Petah Tikva,11,13
2009/10,regular,Regular: after round 6 vs after round 5,M. Tel Aviv,6,3
2009/10,regular,Regular: after round 6 vs after round 5,Maccabi Netanya,16,12
2009/10,regular,Regular: after round 7 vs after round 6,B. Jerusalem,4,6
2009/10,regular,Regular: after round 7 vs after round 6,Bnei Yehuda,5,3
2009/10,regular,Regular: after round 7 vs after round 6,H. Ramat Gan,11,12
2009/10,regular,Regular: after round 7 vs after round 6,Hapoel Haifa,2,5
2009/10,regular,Regular: after round 7 vs after round 6,Hapoel Tel Aviv,6,4
2009/10,regular,Regular: after round 7 vs after round 6,M. Tel Aviv,3,2
2009/10,regular,Regular: after round 7 vs after round 6,Maccabi Netanya,12,11
2009/10,regular,Regular: after round 8 vs after round 7,B. Jerusalem,6,4
2009/10,regular,Regular: after round 8 vs after round 7,FC Ashdod,7,8
2009/10,regular,Regular: after round 8 vs after round 7,H. Beer Sheva,9,7
2009/10,regular,Regular: after round 8 vs after round 7,H. Petah Tikva,10,12
2009/10,regular,Regular: after round 8 vs after round 7,H. Ramat Gan,12,9
2009/10,regular,Regular: after round 8 vs after round 7,Hapoel Acre,15,16
2009/10,regular,Regular: after round 8 vs after round 7,Hapoel Haifa,5,6
2009/10,regular,Regular: after round 8 vs after round 7,Hapoel Raanana,16,15
2009/10,regular,Regular: after round 8 vs after round 7,Hapoel Tel Aviv,4,2
2009/10,regular,Regular: after round 8 vs after round 7,M. Ahi Nazareth,8,11
2009/10,regular,Regular: after round 8 vs after round 7,M. Petah Tikva,13,10
2009/10,regular,Regular: after round 8 vs after round 7,M. Tel Aviv,2,5
2009/10,regular,Regular: after round 8 vs after round 7,Maccabi Netanya,11,13
2009/10,regular,Regular: after round 9 vs after round 8,B. Jerusalem,4,5
2009/10,regular,Regular: after round 9 vs after round 8,Bnei Sakhnin,14,15
2009/10,regular,Regular: after round 9 vs after round 8,FC Ashdod,8,10
2009/10,regular,Regular: after round 9 vs after round 8,H. Beer Sheva,7,6
2009/10,regular,Regular: after round 9 vs after round 8,H. Ramat Gan,9,8
2009/10,regular,Regular: after round 9 vs after round 8,Hapoel Acre,16,14
2009/10,regular,Regular: after round 9 vs after round 8,Hapoel Haifa,6,7
2009/10,regular,Regular: after round 9 vs after round 8,Hapoel Raanana,15,16
2009/10,regular,Regular: after round 9 vs after round 8,M. Ahi Nazareth,11,13
2009/10,regular,Regular: after round 9 vs after round 8,M. Petah Tikva,10,9
2009/10,regular,Regular: after round 9 vs after round 8,M. Tel Aviv,5,4
2009/10,regular,Regular: after round 9 vs after round 8,Maccabi Netanya,13,11
2009/10,regular,Regular: after round 10 vs after round 9,Bnei Sakhnin,15,13
2009/10,regular,Regular: after round 10 vs after round 9,FC Ashdod,10,7
2009/10,regular,Regular: after round 10 vs after round 9,H. Petah Tikva,12,15
2009/10,regular,Regular: after round 10 vs after round 9,H. Ramat Gan,8,10
2009/10,regular,Regular: after round 10 vs after round 9,Hapoel Acre,14,11
2009/10,regular,Regular: after round 10 vs after round 9,Hapoel Haifa,7,8
2009/10,regular,Regular: after round 10 vs after round 9,Hapoel Raanana,16,14
2009/10,regular,Regular: after round 10 vs after round 9,M. Ahi Nazareth,13,16
2009/10,regular,Regular: after round 10 vs after round 9,Maccabi Netanya,11,12
2009/10,regular,Regular: after round 11 vs after round 10,B. Jerusalem,5,6
2009/10,regular,Regular: after round 11 vs after round 10,Bnei Yehuda,3,4
2009/10,regular,Regular: after round 11 vs after round 10,FC Ashdod,7,5
2009/10,regular,Regular: after round 11 vs after round 10,H. Beer Sheva,6,7
2009/10,regular,Regular: after round 11 vs after round 10,H. Ramat Gan,10,11
2009/10,regular,Regular: after round 11 vs after round 10,Hapoel Acre,11,12
2009/10,regular,Regular: after round 11 vs after round 10,M. Petah Tikva,9,10
2009/10,regular,Regular: after round 11 vs after round 10,M. Tel Aviv,4,3
2009/10,regular,Regular: after round 11 vs after round 10,Maccabi Netanya,12,9
2009/10,regular,Regular: after round 12 vs after round 11,Bnei Yehuda,4,3
2009/10,regular,Regular: after round 12 vs after round 11,H. Ramat Gan,11,10
2009/10,regular,Regular: after round 12 vs after round 11,Hapoel Acre,12,11
2009/10,regular,Regular: after round 12 vs after round 11,Hapoel Haifa,8,9
2009/10,regular,Regular: after round 12 vs after round 11,M. Petah Tikva,10,12
2009/10,regular,Regular: after round 12 vs after round 11,M. Tel Aviv,3,4
2009/10,regular,Regular: after round 12 vs after round 11,Maccabi Netanya,9,8
2009/10,regular,Regular: after round 13 vs after round 12,B. Jerusalem,6,5
2009/10,regular,Regular: after round 13 vs after round 12,Bnei Sakhnin,13,14
2009/10,regular,Regular: after round 13 vs after round 12,FC Ashdod,5,7
2009/10,regular,Regular: after round 13 vs after round 12,H. Beer Sheva,7,6
2009/10,regular,Regular: after round 13 vs after round 12,Hapoel Raanana,14,13
2009/10,regular,Regular: after round 14 vs after round 13,Bnei Sakhnin,14,13
2009/10,regular,Regular: after round 14 vs after round 13,Bnei Yehuda,3,4
2009/10,regular,Regular: after round 14 vs after round 13,H. Beer Sheva,6,9
2009/10,regular,Regular: after round 14 vs after round 13,H. Petah Tikva,15,16
2009/10,regular,Regular: after round 14 vs after round 13,H. Ramat Gan,10,11
2009/10,regular,Regular: after round 14 vs after round 13,Hapoel Acre,11,10
2009/10,regular,Regular: after round 14 vs after round 13,Hapoel Haifa,9,8
2009/10,regular,Regular: after round 14 vs after round 13,Hapoel Raanana,13,14
2009/10,regular,Regular: after round 14 vs after round 13,M. Ahi Nazareth,16,15
2009/10,regular,Regular: after round 14 vs after round 13,M. Tel Aviv,4,3
2009/10,regular,Regular: after round 14 vs after round 13,Maccabi Netanya,8,6
2009/10,regular,Regular: after round 15 vs after round 14,FC Ashdod,7,8
2009/10,regular,Regular: after round 15 vs after round 14,H. Beer Sheva,9,6
2009/10,regular,Regular: after round 15 vs after round 14,Hapoel Haifa,8,9
2009/10,regular,Regular: after round 15 vs after round 14,Hapoel Raanana,14,12
2009/10,regular,Regular: after round 15 vs after round 14,M. Petah Tikva,12,14
2009/10,regular,Regular: after round 15 vs after round 14,Maccabi Netanya,6,7
2009/10,regular,Regular: after round 16 vs after round 15,Bnei Sakhnin,13,15
2009/10,regular,Regular: after round 16 vs after round 15,FC Ashdod,8,6
2009/10,regular,Regular: after round 16 vs after round 15,H. Beer Sheva,6,7
2009/10,regular,Regular: after round 16 vs after round 15,H. Petah Tikva,16,14
2009/10,regular,Regular: after round 16 vs after round 15,Hapoel Raanana,12,13
2009/10,regular,Regular: after round 16 vs after round 15,M. Ahi Nazareth,15,16
2009/10,regular,Regular: after round 16 vs after round 15,M. Petah Tikva,14,12
2009/10,regular,Regular: after round 16 vs after round 15,Maccabi Netanya,7,8
2009/10,regular,Regular: after round 17 vs after round 16,H. Ramat Gan,11,12
2009/10,regular,Regular: after round 17 vs after round 16,M. Petah Tikva,12,11
2009/10,regular,Regular: after round 18 vs after round 17,B. Jerusalem,5,6
2009/10,regular,Regular: after round 18 vs after round 17,FC Ashdod,6,5
2009/10,regular,Regular: after round 18 vs after round 17,H. Beer Sheva,7,8
2009/10,regular,Regular: after round 18 vs after round 17,H. Petah Tikva,14,13
