season,stage,segment_label,team,prev_rank,new_rank
2006/07,regular,Regular: after round 25 vs after round 24,M. Petah Tikva,4,5
2006/07,regular,Regular: after round 25 vs after round 24,M. Tel Aviv,3,2
2006/07,regular,Regular: after round 25 vs after round 24,Maccabi Netanya,5,4
2006/07,regular,Regular: after round 26 vs after round 25,FC Ashdod,6,7
2006/07,regular,Regular: after round 26 vs after round 25,Hakoah Amidar,10,11
2006/07,regular,Regular: after round 26 vs after round 25,Maccabi Haifa,7,6
2006/07,regular,Regular: after round 26 vs after round 25,Maccabi Herzlya,11,10
2006/07,regular,Regular: after round 27 vs after round 26,FC Ashdod,7,6
2006/07,regular,Regular: after round 27 vs after round 26,M. Petah Tikva,5,7
2006/07,regular,Regular: after round 27 vs after round 26,Maccabi Haifa,6,5
2006/07,regular,Regular: after round 28 vs after round 27,FC Ashdod,6,7
2006/07,regular,Regular: after round 28 vs after round 27,M. Petah Tikva,7,6
2006/07,regular,Regular: after round 30 vs after round 29,Hapoel Tel Aviv,3,4
2006/07,regular,Regular: after round 30 vs after round 29,Maccabi Netanya,4,3
2006/07,regular,Regular: after round 31 vs after round 30,M. Petah Tikva,6,5
2006/07,regular,Regular: after round 31 vs after round 30,Maccabi Haifa,5,6
2006/07,regular,Regular: after round 32 vs after round 31,M. Petah Tikva,5,6
2006/07,regular,Regular: after round 32 vs after round 31,Maccabi Haifa,6,5
2006/07,regular,Regular: after round 33 vs after round 32,M. Tel Aviv,2,3
2006/07,regular,Regular: after round 33 vs after round 32,Maccabi Netanya,3,2
2007/08,regular,Regular: after round 2 vs after round 1,Bnei Sakhnin,3,5
2007/08,regular,Regular: after round 2 vs after round 1,Bnei Yehuda,11,10
2007/08,regular,Regular: after round 2 vs after round 1,FC Ashdod,5,3
2007/08,regular,Regular: after round 2 vs after round 1,H. Kfar Saba,4,6
2007/08,regular,Regular: after round 2 vs after round 1,Hapoel Tel Aviv,7,9
2007/08,regular,Regular: after round 2 vs after round 1,M. Petah Tikva,9,7
2007/08,regular,Regular: after round 2 vs after round 1,M. Tel Aviv,6,8
2007/08,regular,Regular: after round 2 vs after round 1,Maccabi Haifa,10,11
2007/08,regular,Regular: after round 2 vs after round 1,Maccabi Netanya,8,4
2007/08,regular,Regular: after round 3 vs after round 2,Bnei Sakhnin,5,3
2007/08,regular,Regular: after round 3 vs after round 2,Bnei Yehuda,10,9
2007/08,regular,Regular: after round 3 vs after round 2,FC Ashdod,3,6
2007/08,regular,Regular: after round 3 vs after round 2,H. Kfar Saba,6,4
2007/08,regular,Regular: after round 3 vs after round 2,Hapoel Tel Aviv,9,8
2007/08,regular,Regular: after round 3 vs after round 2,M. Petah Tikva,7,5
2007/08,regular,Regular: after round 3 vs after round 2,M. Tel Aviv,8,10
2007/08,regular,Regular: after round 3 vs after round 2,Maccabi Netanya,4,7
2007/08,regular,Regular: after round 4 vs after round 3,Bnei Yehuda,9,7
2007/08,regular,Regular: after round 4 vs after round 3,FC Ashdod,6,8
2007/08,regular,Regular: after round 4 vs after round 3,Hapoel Tel Aviv,8,10
2007/08,regular,Regular: after round 4 vs after round 3,Kiryat Shmona,2,6
2007/08,regular,Regular: after round 4 vs after round 3,M. Petah Tikva,5,2
2007/08,regular,Regular: after round 4 vs after round 3,M. Tel Aviv,10,11
2007/08,regular,Regular: after round 4 vs after round 3,Maccabi Haifa,11,9
2007/08,regular,Regular: after round 4 vs after round 3,Maccabi Netanya,7,5
2007/08,regular,Regular: after round 5 vs after round 4,Bnei Sakhnin,3,7
2007/08,regular,Regular: after round 5 vs after round 4,Bnei Yehuda,7,5
2007/08,regular,Regular: after round 5 vs after round 4,FC Ashdod,8,9
2007/08,regular,Regular: after round 5 vs after round 4,H. Kfar Saba,4,6
2007/08,regular,Regular: after round 5 vs after round 4,Kiryat Shmona,6,3
2007/08,regular,Regular: after round 5 vs after round 4,M. Petah Tikva,2,4
2007/08,regular,Regular: after round 5 vs after round 4,M. Tel Aviv,11,12
2007/08,regular,Regular: after round 5 vs after round 4,Maccabi Haifa,9,8
2007/08,regular,Regular: after round 5 vs after round 4,Maccabi Herzlya,12,11
2007/08,regular,Regular: after round 5 vs after round 4,Maccabi Netanya,5,2
2007/08,regular,Regular: after round 6 vs after round 5,Bnei Sakhnin,7,3
2007/08,regular,Regular: after round 6 vs after round 5,Bnei Yehuda,5,8
2007/08,regular,Regular: after round 6 vs after round 5,H. Kfar Saba,6,7
2007/08,regular,Regular: after round 6 vs after round 5,Hapoel Tel Aviv,10,11
2007/08,regular,Regular: after round 6 vs after round 5,Kiryat Shmona,3,4
2007/08,regular,Regular: after round 6 vs after round 5,M. Petah Tikva,4,6
2007/08,regular,Regular: after round 6 vs after round 5,Maccabi Haifa,8,5
2007/08,regular,Regular: after round 6 vs after round 5,Maccabi Herzlya,11,10
2007/08,regular,Regular: after round 7 vs after round 6,Bnei Yehuda,8,9
2007/08,regular,Regular: after round 7 vs after round 6,FC Ashdod,9,6
2007/08,regular,Regular: after round 7 vs after round 6,H. Kfar Saba,7,8
2007/08,regular,Regular: after round 7 vs after round 6,Kiryat Shmona,4,5
2007/08,regular,Regular: after round 7 vs after round 6,M. Petah Tikva,6,4
2007/08,regular,Regular: after round 7 vs after round 6,Maccabi Haifa,5,7
2007/08,regular,Regular: after round 8 vs after round 7,Bnei Sakhnin,3,4
2007/08,regular,Regular: after round 8 vs after round 7,Bnei Yehuda,9,10
2007/08,regular,Regular: after round 8 vs after round 7,FC Ashdod,6,8
2007/08,regular,Regular: after round 8 vs after round 7,H. Kfar Saba,8,7
2007/08,regular,Regular: after round 8 vs after round 7,Hapoel Tel Aviv,11,12
2007/08,regular,Regular: after round 8 vs after round 7,M. Petah Tikva,4,3
2007/08,regular,Regular: after round 8 vs after round 7,M. Tel Aviv,12,11
2007/08,regular,Regular: after round 8 vs after round 7,Maccabi Haifa,7,6
2007/08,regular,Regular: after round 8 vs after round 7,Maccabi Herzlya,10,9
2007/08,regular,Regular: after round 9 vs after round 8,Bnei Sakhnin,4,2
2007/08,regular,Regular: after round 9 vs after round 8,FC Ashdod,8,9
2007/08,regular,Regular: after round 9 vs after round 8,Hapoel Tel Aviv,12,11
2007/08,regular,Regular: after round 9 vs after round 8,Kiryat Shmona,5,6
2007/08,regular,Regular: after round 9 vs after round 8,M. Petah Tikva,3,4
2007/08,regular,Regular: after round 9 vs after round 8,M. Tel Aviv,11,12
2007/08,regular,Regular: after round 9 vs after round 8,Maccabi Haifa,6,5
2007/08,regular,Regular: after round 9 vs after round 8,Maccabi Herzlya,9,8
2007/08,regular,Regular: after round 9 vs after round 8,Maccabi Netanya,2,3
2007/08,regular,Regular: after round 10 vs after round 9,Bnei Sakhnin,2,3
2007/08,regular,Regular: after round 10 vs after round 9,H. Kfar Saba,7,6
2007/08,regular,Regular: after round 10 vs after round 9,Hapoel Tel Aviv,11,12
2007/08,regular,Regular: after round 10 vs after round 9,Kiryat Shmona,6,7
2007/08,regular,Regular: after round 10 vs after round 9,M. Petah Tikva,4,2
2007/08,regular,Regular: after round 10 vs after round 9,M. Tel Aviv,12,11
2007/08,regular,Regular: after round 10 vs after round 9,Maccabi Netanya,3,4
2007/08,regular,Regular: after round 11 vs after round 10,H. Kfar Saba,6,7
2007/08,regular,Regular: after round 11 vs after round 10,Kiryat Shmona,7,6
2007/08,regular,Regular: after round 12 vs after round 11,Bnei Sakhnin,3,5
2007/08,regular,Regular: after round 12 vs after round 11,Bnei Yehuda,10,11
2007/08,regular,Regular: after round 12 vs after round 11,FC Ashdod,9,8
2007/08,regular,Regular: after round 12 vs after round 11,Kiryat Shmona,6,4
2007/08,regular,Regular: after round 12 vs after round 11,M. Petah Tikva,2,3
2007/08,regular,Regular: after round 12 vs after round 11,M. Tel Aviv,11,10
2007/08,regular,Regular: after round 12 vs after round 11,Maccabi Haifa,5,6
2007/08,regular,Regular: after round 12 vs after round 11,Maccabi Herzlya,8,9
2007/08,regular,Regular: after round 12 vs after round 11,Maccabi Netanya,4,2
2007/08,regular,Regular: after round 13 vs after round 12,Bnei Sakhnin,5,6
2007/08,regular,Regular: after round 13 vs after round 12,FC Ashdod,8,10
2007/08,regular,Regular: after round 13 vs after round 12,Kiryat Shmona,4,5
2007/08,regular,Regular: after round 13 vs after round 12,M. Petah Tikva,3,4
2007/08,regular,Regular: after round 13 vs after round 12,M. Tel Aviv,10,8
2007/08,regular,Regular: after round 13 vs after round 12,Maccabi Haifa,6,3
2007/08,regular,Regular: after round 14 vs after round 13,Bnei Yehuda,11,12
2007/08,regular,Regular: after round 14 vs after round 13,Hapoel Tel Aviv,12,11
2007/08,regular,Regular: after round 15 vs after round 14,Bnei Sakhnin,6,5
2007/08,regular,Regular: after round 15 vs after round 14,Kiryat Shmona,5,4
2007/08,regular,Regular: after round 15 vs after round 14,M. Petah Tikva,4,6
2007/08,regular,Regular: after round 15 vs after round 14,M. Tel Aviv,8,9
2007/08,regular,Regular: after round 15 vs after round 14,Maccabi Herzlya,9,8
2007/08,regular,Regular: after round 16 vs after round 15,FC Ashdod,10,11
2007/08,regular,Regular: after round 16 vs after round 15,Hapoel Tel Aviv,11,10
2007/08,regular,Regular: after round 16 vs after round 15,M. Tel Aviv,9,8
2007/08,regular,Regular: after round 16 vs after round 15,Maccabi Haifa,3,2
2007/08,regular,Regular: after round 16 vs after round 15,Maccabi Herzlya,8,9
2007/08,regular,Regular: after round 16 vs after round 15,Maccabi Netanya,2,3
2007/08,regular,Regular: after round 17 vs after round 16,Bnei Sakhnin,5,4
2007/08,regular,Regular: after round 17 vs after round 16,Bnei Yehuda,12,11
2007/08,regular,Regular: after round 17 vs after round 16,FC Ashdod,11,12
2007/08,regular,Regular: after round 17 vs after round 16,Kiryat Shmona,4,5
2007/08,regular,Regular: after round 17 vs after round 16,M. Tel Aviv,8,9
2007/08,regular,Regular: after round 17 vs after round 16,Maccabi Haifa,2,3
2007/08,regular,Regular: after round 17 vs after round 16,Maccabi Herzlya,9,8
2007/08,regular,Regular: after round 17 vs after round 16,Maccabi Netanya,3,2
2007/08,regular,Regular: after round 18 vs after round 17,Bnei Sakhnin,4,5
2007/08,regular,Regular: after round 18 vs after round 17,Bnei Yehuda,11,12
2007/08,regular,Regular: after round 18 vs after round 17,FC Ashdod,12,11
2007/08,regular,Regular: after round 18 vs after round 17,Kiryat Shmona,5,3
2007/08,regular,Regular: after round 18 vs after round 17,Maccabi Haifa,3,4
2007/08,regular,Regular: after round 19 vs after round 18,Bnei Sakhnin,5,4
2007/08,regular,Regular: after round 19 vs after round 18,Maccabi Haifa,4,5
2007/08,regular,Regular: after round 20 vs after round 19,Bnei Sakhnin,4,5
2007/08,regular,Regular: after round 20 vs after round 19,Kiryat Shmona,3,4
2007/08,regular,Regular: after round 20 vs after round 19,Maccabi Haifa,5,3
2007/08,regular,Regular: after round 21 vs after round 20,Bnei Sakhnin,5,3
2007/08,regular,Regular: after round 21 vs after round 20,Hapoel Tel Aviv,10,9
2007/08,regular,Regular: after round 21 vs after round 20,Kiryat Shmona,4,5
2007/08,regular,Regular: after round 21 vs after round 20,M. Tel Aviv,9,8
2007/08,regular,Regular: after round 21 vs after round 20,Maccabi Haifa,3,4
2007/08,regular,Regular: after round 21 vs after round 20,Maccabi Herzlya,8,10
2007/08,regular,Regular: after round 22 vs after round 21,Bnei Sakhnin,3,4
2007/08,regular,Regular: after round 22 vs after round 21,Kiryat Shmona,5,3
2007/08,regular,Regular: after round 22 vs after round 21,Maccabi Haifa,4,5
2007/08,regular,Regular: after round 23 vs after round 22,Hapoel Tel Aviv,9,10
2007/08,regular,Regular: after round 23 vs after round 22,Maccabi Herzlya,10,9
2007/08,regular,Regular: after round 25 vs after round 24,Bnei Sakhnin,4,5
2007/08,regular,Regular: after round 25 vs after round 24,Hapoel Tel Aviv,10,9
2007/08,regular,Regular: after round 25 vs after round 24,Kiryat Shmona,3,4
2007/08,regular,Regular: after round 25 vs after round 24,Maccabi Haifa,5,3
2007/08,regular,Regular: after round 25 vs after round 24,Maccabi Herzlya,9,10
2007/08,regular,Regular: after round 26 vs after round 25,Bnei Sakhnin,5,4
2007/08,regular,Regular: after round 26 vs after round 25,FC Ashdod,11,10
2007/08,regular,Regular: after round 26 vs after round 25,H. Kfar Saba,7,6
2007/08,regular,Regular: after round 26 vs after round 25,Kiryat Shmona,4,3
2007/08,regular,Regular: after round 26 vs after round 25,M. Petah Tikva,6,8
2007/08,regular,Regular: after round 26 vs after round 25,M. Tel Aviv,8,7
2007/08,regular,Regular: after round 26 vs after round 25,Maccabi Haifa,3,5
2007/08,regular,Regular: after round 26 vs after round 25,Maccabi Herzlya,10,11
2007/08,regular,Regular: after round 27 vs after round 26,FC Ashdod,10,11
2007/08,regular,Regular: after round 27 vs after round 26,H. Kfar Saba,6,8
2007/08,regular,Regular: after round 27 vs after round 26,Hapoel Tel Aviv,9,7
2007/08,regular,Regular: after round 27 vs after round 26,M. Petah Tikva,8,9
2007/08,regular,Regular: after round 27 vs after round 26,M. Tel Aviv,7,6
2007/08,regular,Regular: after round 27 vs after round 26,Maccabi Herzlya,11,10
2007/08,regular,Regular: after round 28 vs after round 27,H. Kfar Saba,8,9
2007/08,regular,Regular: after round 28 vs after round 27,M. Petah Tikva,9,8
2007/08,regular,Regular: after round 29 vs after round 28,FC Ashdod,11,10
2007/08,regular,Regular: after round 29 vs after round 28,H. Kfar Saba,9,8
2007/08,regular,Regular: after round 29 vs after round 28,M. Petah Tikva,8,9
2007/08,regular,Regular: after round 29 vs after round 28,Maccabi Herzlya,10,11
2007/08,regular,Regular: after round 30 vs after round 29,Bnei Yehuda,12,10
2007/08,regular,Regular: after round 30 vs after round 29,FC Ashdod,10,12
2007/08,regular,Regular: after round 30 vs after round 29,H. Kfar Saba,8,9
2007/08,regular,Regular: after round 30 vs after round 29,Hapoel Tel Aviv,7,6
2007/08,regular,Regular: after round 30 vs after round 29,M. Petah Tikva,9,8
2007/08,regular,Regular: after round 30 vs after round 29,M. Tel Aviv,6,7
2007/08,regular,Regular: after round 31 vs after round 30,Bnei Sakhnin,4,3
2007/08,regular,Regular: after round 31 vs after round 30,Bnei Yehuda,10,8
2007/08,regular,Regular: after round 31 vs after round 30,FC Ashdod,12,11
2007/08,regular,Regular: after round 31 vs after round 30,H. Kfar Saba,9,10
2007/08,regular,Regular: after round 31 vs after round 30,Hapoel Tel Aviv,6,7
2007/08,regular,Regular: after round 31 vs after round 30,Kiryat Shmona,3,4
2007/08,regular,Regular: after round 31 vs after round 30,M. Petah Tikva,8,9
2007/08,regular,Regular: after round 31 vs after round 30,M. Tel Aviv,7,6
2007/08,regular,Regular: after round 31 vs after round 30,Maccabi Herzlya,11,12
2007/08,regular,Regular: after round 32 vs after round 31,Bnei Sakhnin,3,4
2007/08,regular,Regular: after round 32 vs after round 31,Bnei Yehuda,8,9
2007/08,regular,Regular: after round 32 vs after round 31,FC Ashdod,11,8
2007/08,regular,Regular: after round 32 vs after round 31,H. Kfar Saba,10,11
2007/08,regular,Regular: after round 32 vs after round 31,Kiryat Shmona,4,3
2007/08,regular,Regular: after round 32 vs after round 31,M. Petah Tikva,9,10
2008/09,regular,Regular: after round 2 vs after round 1,B. Jerusalem,7,8
2008/09,regular,Regular: after round 2 vs after round 1,Bnei Sakhnin,8,10
2008/09,regular,Regular: after round 2 vs after round 1,Bnei Yehuda,11,9
2008/09,regular,Regular: after round 2 vs after round 1,FC Ashdod,12,5
2008/09,regular,Regular: after round 2 vs after round 1,H. Petah Tikva,9,11
2008/09,regular,Regular: after round 2 vs after round 1,Hakoah Amidar,3,6
2008/09,regular,Regular: after round 2 vs after round 1,Hapoel Tel Aviv,4,7
2008/09,regular,Regular: after round 2 vs after round 1,Kiryat Shmona,10,12
2008/09,regular,Regular: after round 2 vs after round 1,M. Petah Tikva,5,3
2008/09,regular,Regular: after round 2 vs after round 1,M. Tel Aviv,2,4
2008/09,regular,Regular: after round 2 vs after round 1,Maccabi Haifa,1,2
2008/09,regular,Regular: after round 2 vs after round 1,Maccabi Netanya,6,1
2008/09,regular,Regular: after round 3 vs after round 2,B. Jerusalem,8,3
2008/09,regular,Regular: after round 3 vs after round 2,Bnei Sakhnin,10,12
2008/09,regular,Regular: after round 3 vs after round 2,Bnei Yehuda,9,11
2008/09,regular,Regular: after round 3 vs after round 2,FC Ashdod,5,8
2008/09,regular,Regular: after round 3 vs after round 2,H. Petah Tikva,11,6
2008/09,regular,Regular: after round 3 vs after round 2,Hakoah Amidar,6,9
2008/09,regular,Regular: after round 3 vs after round 2,Kiryat Shmona,12,10
2008/09,regular,Regular: after round 3 vs after round 2,M. Petah Tikva,3,4
2008/09,regular,Regular: after round 3 vs after round 2,M. Tel Aviv,4,5
2008/09,regular,Regular: after round 4 vs after round 3,B. Jerusalem,3,5
2008/09,regular,Regular: after round 4 vs after round 3,FC Ashdod,8,9
2008/09,regular,Regular: after round 4 vs after round 3,H. Petah Tikva,6,8
2008/09,regular,Regular: after round 4 vs after round 3,Hakoah Amidar,9,10
2008/09,regular,Regular: after round 4 vs after round 3,Hapoel Tel Aviv,7,6
2008/09,regular,Regular: after round 4 vs after round 3,Kiryat Shmona,10,7
2008/09,regular,Regular: after round 4 vs after round 3,M. Tel Aviv,5,3
2008/09,regular,Regular: after round 5 vs after round 4,B. Jerusalem,5,7
2008/09,regular,Regular: after round 5 vs after round 4,Bnei Sakhnin,12,11
2008/09,regular,Regular: after round 5 vs after round 4,Bnei Yehuda,11,12
2008/09,regular,Regular: after round 5 vs after round 4,H. Petah Tikva,8,6
2008/09,regular,Regular: after round 5 vs after round 4,Hapoel Tel Aviv,6,8
2008/09,regular,Regular: after round 5 vs after round 4,Kiryat Shmona,7,5
2008/09,regular,Regular: after round 6 vs after round 5,Bnei Sakhnin,11,12
2008/09,regular,Regular: after round 6 vs after round 5,Bnei Yehuda,12,11
2008/09,regular,Regular: after round 6 vs after round 5,H. Petah Tikva,6,5
2008/09,regular,Regular: after round 6 vs after round 5,Kiryat Shmona,5,6
2008/09,regular,Regular: after round 6 vs after round 5,M. Petah Tikva,4,3
2008/09,regular,Regular: after round 6 vs after round 5,M. Tel Aviv,3,4
2008/09,regular,Regular: after round 6 vs after round 5,Maccabi Haifa,2,1
2008/09,regular,Regular: after round 6 vs after round 5,Maccabi Netanya,1,2
2008/09,regular,Regular: after round 7 vs after round 6,B. Jerusalem,7,4
2008/09,regular,Regular: after round 7 vs after round 6,Bnei Sakhnin,12,10
2008/09,regular,Regular: after round 7 vs after round 6,Bnei Yehuda,11,12
