season,round,leader,leader_points,second,second_points,gap
2010/11,17,Maccabi Haifa,40,Hapoel Tel Aviv,38,2
2010/11,18,Hapoel Tel Aviv,41,Maccabi Haifa,41,0
2010/11,19,Maccabi Haifa,44,Hapoel Tel Aviv,42,2
2010/11,20,Hapoel Tel Aviv,45,Maccabi Haifa,45,0
2010/11,21,Maccabi Haifa,48,Hapoel Tel Aviv,46,2
2010/11,22,Maccabi Haifa,51,Hapoel Tel Aviv,49,2
2010/11,23,Maccabi Haifa,54,Hapoel Tel Aviv,52,2
2010/11,24,Hapoel Tel Aviv,55,Maccabi Haifa,54,1
2010/11,25,Maccabi Haifa,57,Hapoel Tel Aviv,55,2
2010/11,26,Maccabi Haifa,60,Hapoel Tel Aviv,58,2
2010/11,27,Maccabi Haifa,63,Hapoel Tel Aviv,59,4
2010/11,28,Maccabi Haifa,66,Hapoel Tel Aviv,62,4
2010/11,29,Maccabi Haifa,69,Hapoel Tel Aviv,62,7
2010/11,30,Maccabi Haifa,70,Hapoel Tel Aviv,65,5
2011/12,1,Maccabi Haifa,3,H Rishon leZion,3,0
2011/12,2,M. Tel Aviv,6,H Rishon leZion,6,0
2011/12,3,M. Tel Aviv,9,Hapoel Acre,6,3
2011/12,4,M. Tel Aviv,12,Hapoel Tel Aviv,7,5
2011/12,5,M. Tel Aviv,12,Hapoel Tel Aviv,10,2
2011/12,6,M. Tel Aviv,15,Hapoel Tel Aviv,11,4
2011/12,7,M. Tel Aviv,16,Bnei Yehuda,13,3
2011/12,8,M. Tel Aviv,16,Hapoel Tel Aviv,14,2
2011/12,9,M. Tel Aviv,19,Maccabi Netanya,17,2
2011/12,10,M. Tel Aviv,20,Kiryat Shmona,19,1
2011/12,11,Hapoel Tel Aviv,20,M. Tel Aviv,20,0
2011/12,12,Kiryat Shmona,23,Hapoel Tel Aviv,21,2
2011/12,13,Kiryat Shmona,26,Hapoel Tel Aviv,24,2
2011/12,14,Kiryat Shmona,29,Hapoel Tel Aviv,27,2
2011/12,15,Kiryat Shmona,32,FC Ashdod,30,2
2011/12,16,Kiryat Shmona,35,FC Ashdod,31,4
2011/12,17,Kiryat Shmona,38,FC Ashdod,34,4
2011/12,18,Kiryat Shmona,41,FC Ashdod,35,6
2011/12,19,Kiryat Shmona,42,FC Ashdod,36,6
2011/12,20,Kiryat Shmona,45,FC Ashdod,39,6
2011/12,21,Kiryat Shmona,48,FC Ashdod,40,8
2011/12,22,Kiryat Shmona,51,FC Ashdod,40,11
2011/12,23,Kiryat Shmona,52,FC Ashdod,41,11
2011/12,24,Kiryat Shmona,55,FC Ashdod,42,13
2011/12,25,Kiryat Shmona,56,FC Ashdod,45,11
2011/12,26,Kiryat Shmona,59,FC Ashdod,45,14
2011/12,27,Kiryat Shmona,62,FC Ashdod,46,16
2011/12,28,Kiryat Shmona,62,FC Ashdod,46,16
2011/12,29,Kiryat Shmona,65,Hapoel Tel Aviv,48,17
2011/12,30,Kiryat Shmona,66,Hapoel Tel Aviv,49,17
2012/13,1,FC Ashdod,3,Kiryat Shmona,3,0
2012/13,2,FC Ashdod,6,Kiryat Shmona,6,0
2012/13,3,FC Ashdod,9,Hapoel Tel Aviv,9,0
2012/13,4,M. Tel Aviv,12,FC Ashdod,12,0
2012/13,5,FC Ashdod,15,M. Tel Aviv,12,3
2012/13,6,FC Ashdod,15,M. Tel Aviv,15,0
2012/13,7,FC Ashdod,18,M. Tel Aviv,18,0
2012/13,8,M. Tel Aviv,21,FC Ashdod,19,2
2012/13,9,M. Tel Aviv,21,FC Ashdod,19,2
2012/13,10,FC Ashdod,22,M. Tel Aviv,21,1
2012/13,11,FC Ashdod,25,Hapoel Tel Aviv,24,1
2012/13,12,M. Tel Aviv,27,Hapoel Tel Aviv,27,0
2012/13,13,M. Tel Aviv,28,Hapoel Tel Aviv,28,0
2012/13,14,Hapoel Tel Aviv,29,M. Tel Aviv,28,1
2012/13,15,M. Tel Aviv,31,Hapoel Tel Aviv,30,1
2012/13,16,M. Tel Aviv,34,Hapoel Tel Aviv,30,4
2012/13,17,M. Tel Aviv,35,Hapoel Tel Aviv,33,2
2012/13,18,M. Tel Aviv,38,Hapoel Tel Aviv,36,2
2012/13,19,M. Tel Aviv,38,Hapoel Tel Aviv,36,2
2012/13,20,M. Tel Aviv,41,Maccabi Haifa,36,5
2012/13,21,M. Tel Aviv,44,Maccabi Haifa,36,8
2012/13,22,M. Tel Aviv,47,Maccabi Haifa,39,8
2012/13,23,M. Tel Aviv,50,Maccabi Haifa,42,8
2012/13,24,M. Tel Aviv,53,Maccabi Haifa,45,8
2012/13,25,M. Tel Aviv,56,Maccabi Haifa,46,10
2012/13,26,M. Tel Aviv,59,Maccabi Haifa,49,10
2013/14,1,Maccabi Haifa,3,H. Beer Sheva,3,0
2013/14,2,H. Beer Sheva,6,M. Tel Aviv,6,0
2013/14,3,M. Tel Aviv,9,H. Beer Sheva,9,0
2013/14,4,M. Tel Aviv,12,H. Beer Sheva,12,0
2013/14,5,M. Tel Aviv,13,H. Beer Sheva,13,0
2013/14,6,M. Tel Aviv,16,H. Beer Sheva,13,3
2013/14,7,M. Tel Aviv,19,H. Beer Sheva,14,5
2013/14,8,M. Tel Aviv,19,H. Beer Sheva,17,2
2013/14,9,M. Tel Aviv,20,H. Beer Sheva,20,0
2013/14,10,M. Tel Aviv,23,H. Beer Sheva,21,2
2013/14,11,M. Tel Aviv,26,H. Beer Sheva,24,2
2013/14,12,M. Tel Aviv,29,H. Beer Sheva,27,2
2013/14,13,M. Tel Aviv,32,H. Beer Sheva,28,4
2013/14,14,M. Tel Aviv,35,H. Beer Sheva,31,4
2013/14,15,M. Tel Aviv,38,H. Beer Sheva,34,4
2013/14,16,M. Tel Aviv,41,H. Beer Sheva,35,6
2013/14,17,M. Tel Aviv,41,H. Beer Sheva,38,3
2013/14,18,M. Tel Aviv,44,H. Beer Sheva,41,3
2013/14,19,M. Tel Aviv,47,H. Beer Sheva,44,3
2013/14,20,M. Tel Aviv,50,H. Beer Sheva,47,3
2013/14,21,M. Tel Aviv,53,H. Beer Sheva,47,6
2013/14,22,M. Tel Aviv,56,H. Beer Sheva,50,6
2013/14,23,M. Tel Aviv,57,H. Beer Sheva,53,4
2013/14,24,M. Tel Aviv,60,H. Beer Sheva,56,4
2013/14,25,M. Tel Aviv,63,H. Beer Sheva,59,4
2013/14,26,M. Tel Aviv,66,H. Beer Sheva,59,7
2014/15,1,Hapoel Raanana,3,Maccabi Haifa,3,0
2014/15,2,M. Tel Aviv,4,Kiryat Shmona,4,0
2014/15,3,Kiryat Shmona,7,H. Beer Sheva,7,0
2014/15,4,Kiryat Shmona,10,H. Beer Sheva,8,2
2014/15,5,Kiryat Shmona,13,H. Beer Sheva,11,2
2014/15,6,Kiryat Shmona,16,H. Beer Sheva,14,2
2014/15,7,Kiryat Shmona,17,H. Beer Sheva,15,2
2014/15,8,Kiryat Shmona,20,H. Beer Sheva,18,2
2014/15,9,Kiryat Shmona,23,H. Beer Sheva,18,5
2014/15,10,Kiryat Shmona,24,H. Beer Sheva,21,3
2014/15,11,Kiryat Shmona,25,M. Tel Aviv,23,2
2014/15,12,Kiryat Shmona,28,H. Beer Sheva,25,3
2014/15,13,Kiryat Shmona,29,M. Tel Aviv,27,2
2014/15,14,Kiryat Shmona,32,M. Tel Aviv,30,2
2014/15,15,Kiryat Shmona,35,M. Tel Aviv,33,2
2014/15,16,Kiryat Shmona,38,M. Tel Aviv,34,4
2014/15,17,Kiryat Shmona,38,M. Tel Aviv,37,1
2014/15,18,Kiryat Shmona,41,M. Tel Aviv,40,1
2014/15,19,M. Tel Aviv,43,Kiryat Shmona,42,1
2014/15,20,M. Tel Aviv,46,Kiryat Shmona,42,4
2014/15,21,M. Tel Aviv,47,Kiryat Shmona,45,2
2014/15,22,M. Tel Aviv,48,Kiryat Shmona,46,2
2014/15,23,M. Tel Aviv,48,Kiryat Shmona,47,1
2014/15,24,M. Tel Aviv,51,Kiryat Shmona,47,4
2014/15,25,M. Tel Aviv,51,Kiryat Shmona,47,4
2014/15,26,M. Tel Aviv,54,H. Beer Sheva,49,5
2015/16,1,Bnei Yehuda,3,H. Beer Sheva,3,0
2015/16,2,M. Petah Tikva,6,M. Tel Aviv,6,0
2015/16,3,M. Petah Tikva,9,M. Tel Aviv,7,2
2015/16,4,M. Petah Tikva,12,H. Beer Sheva,7,5
2015/16,5,M. Petah Tikva,12,M. Tel Aviv,10,2
2015/16,6,M. Tel Aviv,13,M. Petah Tikva,12,1
2015/16,7,M. Tel Aviv,16,H. Beer Sheva,13,3
2015/16,8,H. Beer Sheva,16,M. Tel Aviv,16,0
2015/16,9,H. Beer Sheva,19,M. Tel Aviv,19,0
2015/16,10,H. Beer Sheva,22,M. Tel Aviv,22,0
2015/16,11,M. Tel Aviv,25,H. Beer Sheva,23,2
2015/16,12,M. Tel Aviv,28,H. Beer Sheva,26,2
2015/16,13,M. Tel Aviv,29,H. Beer Sheva,29,0
2015/16,14,M. Tel Aviv,32,H. Beer Sheva,32,0
2015/16,15,H. Beer Sheva,35,M. Tel Aviv,32,3
2015/16,16,H. Beer Sheva,38,M. Tel Aviv,35,3
2015/16,17,H. Beer Sheva,39,M. Tel Aviv,38,1
2015/16,18,H. Beer Sheva,42,M. Tel Aviv,41,1
2015/16,19,H. Beer Sheva,45,M. Tel Aviv,44,1
2015/16,20,H. Beer Sheva,48,M. Tel Aviv,47,1
2015/16,21,H. Beer Sheva,51,M. Tel Aviv,48,3
2015/16,22,H. Beer Sheva,54,M. Tel Aviv,49,5
2015/16,23,H. Beer Sheva,57,M. Tel Aviv,52,5
2015/16,24,H. Beer Sheva,60,M. Tel Aviv,55,5
2015/16,25,H. Beer Sheva,63,M. Tel Aviv,58,5
2015/16,26,H. Beer Sheva,64,M. Tel Aviv,61,3
2016/17,1,M. Tel Aviv,3,H. Ashkelon,3,0
2016/17,2,M. Tel Aviv,6,H. Ashkelon,4,2
2016/17,3,H. Beer Sheva,7,M. Tel Aviv,7,0
2016/17,4,M. Tel Aviv,10,M. Petah Tikva,10,0
2016/17,5,M. Tel Aviv,13,M. Petah Tikva,11,2
2016/17,6,M. Tel Aviv,16,H. Beer Sheva,13,3
2016/17,7,H. Beer Sheva,16,M. Tel Aviv,16,0
2016/17,8,H. Beer Sheva,19,M. Petah Tikva,17,2
2016/17,9,H. Beer Sheva,22,M. Petah Tikva,18,4
2016/17,10,H. Beer Sheva,25,M. Tel Aviv,20,5
2016/17,11,H. Beer Sheva,28,M. Tel Aviv,20,8
2016/17,12,H. Beer Sheva,31,M. Tel Aviv,21,10
2016/17,13,H. Beer Sheva,34,M. Tel Aviv,24,10
2016/17,14,H. Beer Sheva,34,M. Tel Aviv,25,9
2016/17,15,H. Beer Sheva,35,M. Tel Aviv,28,7
2016/17,16,H. Beer Sheva,36,M. Tel Aviv,28,8
2016/17,17,H. Beer Sheva,39,M. Tel Aviv,31,8
2016/17,18,H. Beer Sheva,42,M. Tel Aviv,34,8
2016/17,19,H. Beer Sheva,43,M. Tel Aviv,37,6
2016/17,20,H. Beer Sheva,46,M. Tel Aviv,38,8
2016/17,21,H. Beer Sheva,46,M. Tel Aviv,41,5
2016/17,22,H. Beer Sheva,49,M. Tel Aviv,44,5
2016/17,23,H. Beer Sheva,50,M. Tel Aviv,47,3
2016/17,24,H. Beer Sheva,53,M. Tel Aviv,50,3
2016/17,25,H. Beer Sheva,56,M. Tel Aviv,53,3
2016/17,26,H. Beer Sheva,59,M. Tel Aviv,56,3
2017/18,1,B. Jerusalem,3,Hapoel Haifa,3,0
2017/18,2,B. Jerusalem,6,Hapoel Haifa,6,0
2017/18,3,B. Jerusalem,9,Hapoel Haifa,9,0
2017/18,4,B. Jerusalem,10,Hapoel Haifa,10,0
2017/18,5,B. Jerusalem,11,Hapoel Haifa,11,0
2017/18,6,Hapoel Haifa,14,Maccabi Netanya,11,3
