round,home,score,away,season,season_year
129,Hapoel Hadera,0:2,FC Ashdod,2022/23,2022
130,Ness Ziona,0:0,Bnei Sakhnin,2022/23,2022
131,M. Bnei Reineh,0:2,B. Jerusalem,2022/23,2022
132,H. Beer Sheva,2:2,Maccabi Netanya,2022/23,2022
133,M. Tel Aviv,3:0,Maccabi Haifa,2022/23,2022
134,Maccabi Haifa,0:0,M. Bnei Reineh,2022/23,2022
135,FC Ashdod,1:1,Kiryat Shmona,2022/23,2022
136,Maccabi Netanya,3:0,Ness Ziona,2022/23,2022
137,B. Jerusalem,0:2,Hapoel Hadera,2022/23,2022
138,Hapoel Tel Aviv,0:0,M. Tel Aviv,2022/23,2022
139,Hapoel Haifa,0:1,H. Beer Sheva,2022/23,2022
140,Bnei Sakhnin,2:1,H. Jerusalem,2022/23,2022
141,Ness Ziona,0:1,H. Beer Sheva,2022/23,2022
142,M. Tel Aviv,1:1,Bnei Sakhnin,2022/23,2022
143,Hapoel Haifa,1:1,FC Ashdod,2022/23,2022
144,H. Jerusalem,0:2,Maccabi Netanya,2022/23,2022
145,Kiryat Shmona,0:3,B. Jerusalem,2022/23,2022
146,M. Bnei Reineh,1:1,Hapoel Tel Aviv,2022/23,2022
147,Hapoel Hadera,1:1,Maccabi Haifa,2022/23,2022
148,B. Jerusalem,2:1,FC Ashdod,2022/23,2022
149,H. Beer Sheva,0:0,H. Jerusalem,2022/23,2022
150,Ness Ziona,0:2,Hapoel Haifa,2022/23,2022
151,Bnei Sakhnin,1:1,M. Bnei Reineh,2022/23,2022
152,Maccabi Haifa,2:0,Kiryat Shmona,2022/23,2022
153,Hapoel Tel Aviv,0:0,Hapoel Hadera,2022/23,2022
154,Maccabi Netanya,2:1,M. Tel Aviv,2022/23,2022
155,Kiryat Shmona,0:1,Hapoel Tel Aviv,2022/23,2022
156,M. Bnei Reineh,1:2,Maccabi Netanya,2022/23,2022
157,Hapoel Hadera,1:3,Bnei Sakhnin,2022/23,2022
158,H. Jerusalem,1:0,Ness Ziona,2022/23,2022
159,FC Ashdod,3:1,Maccabi Haifa,2022/23,2022
160,Hapoel Haifa,0:0,B. Jerusalem,2022/23,2022
161,M. Tel Aviv,1:0,H. Beer Sheva,2022/23,2022
162,Hapoel Tel Aviv,1:2,FC Ashdod,2022/23,2022
163,Ness Ziona,0:2,M. Tel Aviv,2022/23,2022
164,Bnei Sakhnin,1:3,Kiryat Shmona,2022/23,2022
165,Maccabi Netanya,1:0,Hapoel Hadera,2022/23,2022
166,Maccabi Haifa,2:1,B. Jerusalem,2022/23,2022
167,H. Jerusalem,2:2,Hapoel Haifa,2022/23,2022
168,H. Beer Sheva,2:0,M. Bnei Reineh,2022/23,2022
169,Kiryat Shmona,2:2,Maccabi Netanya,2022/23,2022
170,Hapoel Hadera,0:3,H. Beer Sheva,2022/23,2022
171,FC Ashdod,1:1,Bnei Sakhnin,2022/23,2022
172,M. Bnei Reineh,3:2,Ness Ziona,2022/23,2022
173,M. Tel Aviv,1:2,H. Jerusalem,2022/23,2022
174,B. Jerusalem,1:3,Hapoel Tel Aviv,2022/23,2022
175,Maccabi Haifa,4:1,Hapoel Haifa,2022/23,2022
176,Hapoel Haifa,1:1,M. Tel Aviv,2022/23,2022
177,H. Jerusalem,0:1,M. Bnei Reineh,2022/23,2022
178,Ness Ziona,1:3,Hapoel Hadera,2022/23,2022
179,Maccabi Netanya,0:2,FC Ashdod,2022/23,2022
180,Bnei Sakhnin,2:0,B. Jerusalem,2022/23,2022
181,H. Beer Sheva,2:1,Kiryat Shmona,2022/23,2022
182,Hapoel Tel Aviv,0:1,Maccabi Haifa,2022/23,2022
