round,home,score,away
138,Maccabi Haifa,2:0,Hapoel Haifa
139,Maccabi Netanya,1:2,B. Jerusalem
140,Bnei Yehuda,1:0,Kiryat Shmona
141,Hapoel Haifa,2:2,H. Beer Sheva
142,FC Ashdod,0:0,Bnei Sakhnin
143,H. Kfar Saba,0:1,M. Tel Aviv
144,Hapoel Hadera,1:0,M. Petah Tikva
145,Kiryat Shmona,1:4,Maccabi Netanya
146,Hapoel Tel Aviv,0:0,Bnei Yehuda
147,B. Jerusalem,0:3,Maccabi Haifa
148,Bnei Sakhnin,0:1,Hapoel Haifa
149,H. Kfar Saba,0:1,Hapoel Hadera
150,Bnei Yehuda,0:1,M. Petah Tikva
151,Maccabi Netanya,0:1,Hapoel Tel Aviv
152,Maccabi Haifa,4:2,Kiryat Shmona
153,H. Beer Sheva,1:1,B. Jerusalem
154,M. Tel Aviv,3:1,FC Ashdod
155,Hapoel Hadera,0:0,Bnei Yehuda
156,M. Petah Tikva,1:1,Maccabi Netanya
157,Kiryat Shmona,2:2,H. Beer Sheva
158,Hapoel Tel Aviv,1:2,Maccabi Haifa
159,FC Ashdod,2:0,H. Kfar Saba
160,B. Jerusalem,2:3,Bnei Sakhnin
161,Hapoel Haifa,0:2,M. Tel Aviv
162,Maccabi Netanya,1:0,Bnei Yehuda
163,Maccabi Haifa,0:2,M. Petah Tikva
164,Bnei Sakhnin,0:2,Kiryat Shmona
165,H. Kfar Saba,0:0,Hapoel Haifa
166,H. Beer Sheva,0:1,Hapoel Tel Aviv
167,FC Ashdod,1:1,Hapoel Hadera
168,M. Tel Aviv,4:1,B. Jerusalem
169,Hapoel Tel Aviv,0:1,Bnei Sakhnin
170,Maccabi Netanya,0:1,Hapoel Hadera
171,Hapoel Haifa,2:2,FC Ashdod
172,Kiryat Shmona,0:2,M. Tel Aviv
173,M. Petah Tikva,0:0,H. Beer Sheva
174,B. Jerusalem,2:1,H. Kfar Saba
175,Bnei Yehuda,0:2,Maccabi Haifa
176,Maccabi Haifa,2:0,Maccabi Netanya
177,H. Beer Sheva,2:0,Bnei Yehuda
178,Bnei Sakhnin,1:0,M. Petah Tikva
179,FC Ashdod,2:0,B. Jerusalem
180,H. Kfar Saba,0:1,Kiryat Shmona
181,M. Tel Aviv,1:1,Hapoel Tel Aviv
182,Hapoel Hadera,3:1,Hapoel Haifa
