round,home,score,away
84,Hapoel Acre,0:1,Hapoel Tel Aviv
85,Hapoel Tel Aviv,0:1,M. Petah Tikva
86,Bnei Sakhnin,0:1,H. Beer Sheva
87,Maccabi Netanya,0:0,Hapoel Acre
88,Bnei Yehuda,1:3,Hapoel Raanana
89,H. Kfar Saba,0:0,M. Tel Aviv
90,B. Jerusalem,2:0,Kiryat Shmona
91,Hapoel Haifa,2:4,Maccabi Haifa
92,Bnei Yehuda,0:0,Maccabi Haifa
93,Hapoel Haifa,3:1,Hapoel Acre
94,H. Kfar Saba,0:0,Hapoel Raanana
95,Maccabi Netanya,0:0,M. Petah Tikva
96,Hapoel Tel Aviv,0:0,B. Jerusalem
97,H. Beer Sheva,2:1,Kiryat Shmona
98,Bnei Sakhnin,0:2,M. Tel Aviv
99,Hapoel Raanana,1:0,Bnei Sakhnin
100,M. Petah Tikva,1:1,Hapoel Haifa
101,Kiryat Shmona,3:0,Hapoel Tel Aviv
102,Hapoel Acre,0:1,Bnei Yehuda
103,B. Jerusalem,1:0,Maccabi Netanya
104,Maccabi Haifa,1:1,H. Kfar Saba
105,M. Tel Aviv,1:2,H. Beer Sheva
106,Bnei Sakhnin,1:2,Maccabi Haifa
107,H. Kfar Saba,0:1,Hapoel Acre
108,Bnei Yehuda,1:1,M. Petah Tikva
109,Maccabi Netanya,1:1,Hapoel Tel Aviv
110,Hapoel Haifa,1:1,B. Jerusalem
111,M. Tel Aviv,5:0,Kiryat Shmona
112,H. Beer Sheva,2:0,Hapoel Raanana
113,Hapoel Raanana,0:2,M. Tel Aviv
114,Kiryat Shmona,3:0,Maccabi Netanya
115,M. Petah Tikva,2:0,H. Kfar Saba
116,Hapoel Acre,2:2,Bnei Sakhnin
117,B. Jerusalem,1:0,Bnei Yehuda
118,Hapoel Tel Aviv,0:0,Hapoel Haifa
119,Maccabi Haifa,1:1,H. Beer Sheva
120,Bnei Yehuda,1:3,Hapoel Tel Aviv
121,Hapoel Raanana,1:1,Kiryat Shmona
122,Hapoel Haifa,2:0,Maccabi Netanya
123,Bnei Sakhnin,1:0,M. Petah Tikva
124,H. Beer Sheva,3:0,Hapoel Acre
125,H. Kfar Saba,1:0,B. Jerusalem
126,M. Tel Aviv,2:1,Maccabi Haifa
127,Hapoel Tel Aviv,0:1,H. Kfar Saba
128,Kiryat Shmona,1:1,Hapoel Haifa
129,Maccabi Netanya,0:2,Bnei Yehuda
130,M. Petah Tikva,0:1,H. Beer Sheva
131,Maccabi Haifa,2:0,Hapoel Raanana
132,Hapoel Acre,0:3,M. Tel Aviv
133,B. Jerusalem,1:0,Bnei Sakhnin
134,Bnei Yehuda,1:0,Hapoel Haifa
135,Bnei Sakhnin,1:0,Hapoel Tel Aviv
136,Hapoel Raanana,3:1,Hapoel Acre
137,H. Kfar Saba,1:0,Maccabi Netanya
138,M. Tel Aviv,3:1,M. Petah Tikva
139,Maccabi Haifa,0:1,Kiryat Shmona
140,H. Beer Sheva,2:1,B. Jerusalem
141,Maccabi Netanya,0:2,Bnei Sakhnin
142,Hapoel Haifa,1:1,H. Kfar Saba
143,Kiryat Shmona,1:1,Bnei Yehuda
144,Hapoel Tel Aviv,0:1,H. Beer Sheva
145,Hapoel Raanana,1:0,M. Petah Tikva
146,Hapoel Acre,1:1,Maccabi Haifa
147,B. Jerusalem,2:2,M. Tel Aviv
148,Maccabi Haifa,4:0,M. Petah Tikva
149,H. Kfar Saba,1:2,Bnei Yehuda
150,Bnei Sakhnin,0:0,Hapoel Haifa
151,Hapoel Acre,1:0,Kiryat Shmona
152,H. Beer Sheva,2:0,Maccabi Netanya
153,M. Tel Aviv,1:1,Hapoel Tel Aviv
154,Hapoel Raanana,0:2,B. Jerusalem
155,Bnei Yehuda,0:2,Bnei Sakhnin
156,Hapoel Haifa,1:2,H. Beer Sheva
157,Kiryat Shmona,0:2,H. Kfar Saba
158,M. Petah Tikva,1:2,Hapoel Acre
159,Hapoel Tel Aviv,2:1,Hapoel Raanana
160,Maccabi Netanya,1:3,M. Tel Aviv
161,B. Jerusalem,3:0,Maccabi Haifa
162,Hapoel Raanana,1:0,Maccabi Netanya
163,M. Tel Aviv,2:1,Hapoel Haifa
164,Bnei Sakhnin,2:0,H. Kfar Saba
165,M. Petah Tikva,0:0,Kiryat Shmona
166,Maccabi Haifa,0:0,Hapoel Tel Aviv
167,Hapoel Acre,1:3,B. Jerusalem
168,H. Beer Sheva,2:0,Bnei Yehuda
169,Hapoel Haifa,1:1,Hapoel Raanana
170,Maccabi Netanya,0:3,Maccabi Haifa
171,Bnei Sakhnin,3:0,Kiryat Shmona
172,Bnei Yehuda,0:1,M. Tel Aviv
173,B. Jerusalem,2:0,M. Petah Tikva
174,H. Kfar Saba,1:2,H. Beer Sheva
175,Hapoel Tel Aviv,0:2,Hapoel Acre
176,M. Petah Tikva,1:1,Hapoel Tel Aviv
177,Hapoel Raanana,0:2,Bnei Yehuda
178,Hapoel Acre,1:1,Maccabi Netanya
179,Kiryat Shmona,0:2,B. Jerusalem
180,M. Tel Aviv,5:0,H. Kfar Saba
181,Maccabi Haifa,3:2,Hapoel Haifa
182,H. Beer Sheva,2:2,Bnei Sakhnin
