round,home,score,away,season,season_year
178,FC Ashdod,1:1,Hapoel Acre,2011/12,2011
179,Bnei Sakhnin,2:2,Bnei Yehuda,2011/12,2011
180,Ramat haSharon,0:1,M. Petah Tikva,2011/12,2011
181,Maccabi Haifa,3:1,H. Beer Sheva,2011/12,2011
182,H Rishon leZion,2:0,B. Jerusalem,2011/12,2011
183,H. Petah Tikva,2:3,Hapoel Tel Aviv,2011/12,2011
184,M. Tel Aviv,1:1,Kiryat Shmona,2011/12,2011
185,Bnei Yehuda,1:1,Ramat haSharon,2011/12,2011
186,M. Petah Tikva,2:1,M. Tel Aviv,2011/12,2011
187,H. Beer Sheva,1:2,Maccabi Netanya,2011/12,2011
188,Hapoel Haifa,2:2,H. Petah Tikva,2011/12,2011
189,Hapoel Acre,2:2,H Rishon leZion,2011/12,2011
190,B. Jerusalem,0:3,Bnei Sakhnin,2011/12,2011
191,Hapoel Tel Aviv,0:0,FC Ashdod,2011/12,2011
192,Kiryat Shmona,1:0,Maccabi Haifa,2011/12,2011
193,H. Petah Tikva,3:1,Maccabi Netanya,2011/12,2011
194,FC Ashdod,3:2,Hapoel Haifa,2011/12,2011
195,Bnei Sakhnin,2:1,Hapoel Acre,2011/12,2011
196,H Rishon leZion,1:2,Hapoel Tel Aviv,2011/12,2011
197,M. Tel Aviv,0:1,Bnei Yehuda,2011/12,2011
198,Ramat haSharon,2:0,B. Jerusalem,2011/12,2011
199,Kiryat Shmona,1:1,H. Beer Sheva,2011/12,2011
200,Maccabi Haifa,4:1,M. Petah Tikva,2011/12,2011
201,Hapoel Tel Aviv,0:0,Bnei Sakhnin,2011/12,2011
202,Maccabi Netanya,1:0,FC Ashdod,2011/12,2011
203,Hapoel Haifa,3:2,H Rishon leZion,2011/12,2011
204,H. Beer Sheva,1:2,H. Petah Tikva,2011/12,2011
205,Hapoel Acre,2:0,Ramat haSharon,2011/12,2011
206,M. Petah Tikva,0:2,Kiryat Shmona,2011/12,2011
207,Bnei Yehuda,0:0,Maccabi Haifa,2011/12,2011
208,B. Jerusalem,0:0,M. Tel Aviv,2011/12,2011
209,M. Tel Aviv,2:0,Hapoel Acre,2011/12,2011
210,Kiryat Shmona,1:0,Bnei Yehuda,2011/12,2011
211,FC Ashdod,1:1,H. Petah Tikva,2011/12,2011
