round,home,score,away
44,Kiryat Shmona,0:0,Maccabi Netanya
45,FC Ashdod,0:1,Maccabi Herzlya
46,M. Petah Tikva,2:1,Hapoel Tel Aviv
47,M. Tel Aviv,3:1,Bnei Yehuda
48,Maccabi Haifa,0:0,B. Jerusalem
49,B. Jerusalem,0:0,Kiryat Shmona
50,Bnei Sakhnin,3:0,FC Ashdod
51,Bnei Yehuda,0:3,Maccabi Haifa
52,Maccabi Herzlya,1:1,M. Petah Tikva
53,Maccabi Netanya,2:3,H. Kfar Saba
54,Hapoel Tel Aviv,1:0,M. Tel Aviv
55,H. Kfar Saba,3:1,FC Ashdod
56,Kiryat Shmona,2:1,Bnei Yehuda
57,Maccabi Haifa,2:0,Hapoel Tel Aviv
58,M. Petah Tikva,2:0,Bnei Sakhnin
59,M. Tel Aviv,2:0,Maccabi Herzlya
60,Maccabi Netanya,0:1,B. Jerusalem
61,Bnei Yehuda,1:2,Maccabi Netanya
62,Maccabi Herzlya,0:1,Maccabi Haifa
63,FC Ashdod,1:3,M. Petah Tikva
64,B. Jerusalem,4:0,H. Kfar Saba
65,Bnei Sakhnin,3:2,M. Tel Aviv
66,Hapoel Tel Aviv,0:1,Kiryat Shmona
67,FC Ashdod,0:0,M. Tel Aviv
68,Maccabi Herzlya,1:3,Kiryat Shmona
69,H. Kfar Saba,0:0,M. Petah Tikva
70,Bnei Sakhnin,1:1,Maccabi Haifa
71,Hapoel Tel Aviv,0:1,Maccabi Netanya
72,Bnei Yehuda,0:3,B. Jerusalem
73,Kiryat Shmona,0:0,Bnei Sakhnin
74,Bnei Yehuda,0:2,H. Kfar Saba
75,Maccabi Netanya,0:0,Maccabi Herzlya
76,Maccabi Haifa,3:0,FC Ashdod
77,M. Tel Aviv,2:1,M. Petah Tikva
78,B. Jerusalem,1:0,Hapoel Tel Aviv
79,Bnei Sakhnin,0:0,Maccabi Netanya
80,H. Kfar Saba,0:3,M. Tel Aviv
81,Hapoel Tel Aviv,1:0,Bnei Yehuda
82,FC Ashdod,0:0,Kiryat Shmona
83,Maccabi Herzlya,1:1,B. Jerusalem
84,M. Petah Tikva,1:1,Maccabi Haifa
85,Hapoel Tel Aviv,1:2,H. Kfar Saba
86,Kiryat Shmona,2:1,M. Petah Tikva
87,Maccabi Netanya,3:0,FC Ashdod
88,Bnei Yehuda,0:1,Maccabi Herzlya
89,B. Jerusalem,0:1,Bnei Sakhnin
90,Maccabi Haifa,3:1,M. Tel Aviv
91,Bnei Sakhnin,0:0,Bnei Yehuda
92,Maccabi Herzlya,2:3,Hapoel Tel Aviv
93,M. Petah Tikva,0:0,Maccabi Netanya
94,M. Tel Aviv,2:2,Kiryat Shmona
95,H. Kfar Saba,0:3,Maccabi Haifa
96,FC Ashdod,1:2,B. Jerusalem
97,Hapoel Tel Aviv,0:1,Bnei Sakhnin
98,Kiryat Shmona,1:1,Maccabi Haifa
99,Maccabi Herzlya,0:0,H. Kfar Saba
100,B. Jerusalem,2:1,M. Petah Tikva
101,Bnei Yehuda,3:2,FC Ashdod
102,Maccabi Netanya,1:0,M. Tel Aviv
103,FC Ashdod,1:1,Hapoel Tel Aviv
104,Bnei Sakhnin,0:3,Maccabi Herzlya
105,H. Kfar Saba,2:3,Kiryat Shmona
106,M. Petah Tikva,1:0,Bnei Yehuda
107,Maccabi Haifa,0:2,Maccabi Netanya
108,M. Tel Aviv,0:0,B. Jerusalem
109,Bnei Yehuda,0:4,M. Tel Aviv
110,Bnei Sakhnin,1:1,H. Kfar Saba
111,Maccabi Netanya,0:0,Kiryat Shmona
112,Maccabi Herzlya,1:1,FC Ashdod
113,Hapoel Tel Aviv,2:1,M. Petah Tikva
114,B. Jerusalem,1:0,Maccabi Haifa
115,H. Kfar Saba,1:2,Maccabi Netanya
116,Maccabi Haifa,1:0,Bnei Yehuda
117,FC Ashdod,3:1,Bnei Sakhnin
118,M. Petah Tikva,1:1,Maccabi Herzlya
119,Kiryat Shmona,0:3,B. Jerusalem
120,M. Tel Aviv,1:3,Hapoel Tel Aviv
121,Bnei Yehuda,1:1,Kiryat Shmona
122,Bnei Sakhnin,1:0,M. Petah Tikva
123,Maccabi Herzlya,1:3,M. Tel Aviv
124,FC Ashdod,2:4,H. Kfar Saba
125,Hapoel Tel Aviv,2:0,Maccabi Haifa
126,B. Jerusalem,2:0,Maccabi Netanya
127,Kiryat Shmona,2:1,Hapoel Tel Aviv
128,Maccabi Haifa,1:1,Maccabi Herzlya
129,M. Petah Tikva,0:0,FC Ashdod
130,Maccabi Netanya,0:0,Bnei Yehuda
131,M. Tel Aviv,0:0,Bnei Sakhnin
132,H. Kfar Saba,1:1,B. Jerusalem
133,Kiryat Shmona,2:0,Bnei Yehuda
134,Bnei Sakhnin,1:1,Maccabi Netanya
135,H. Kfar Saba,3:3,Maccabi Herzlya
136,Maccabi Haifa,0:1,B. Jerusalem
137,M. Petah Tikva,0:3,FC Ashdod
138,M. Tel Aviv,2:1,Hapoel Tel Aviv
139,Kiryat Shmona,0:1,Bnei Sakhnin
140,Bnei Yehuda,2:3,Hapoel Tel Aviv
141,B. Jerusalem,4:0,M. Petah Tikva
142,FC Ashdod,3:1,H. Kfar Saba
143,Maccabi Herzlya,1:0,M. Tel Aviv
144,Maccabi Netanya,0:2,Maccabi Haifa
145,Bnei Sakhnin,1:3,Bnei Yehuda
146,Maccabi Haifa,2:1,Kiryat Shmona
147,Hapoel Tel Aviv,2:1,Maccabi Herzlya
148,H. Kfar Saba,0:4,B. Jerusalem
149,M. Petah Tikva,0:1,Maccabi Netanya
150,M. Tel Aviv,2:0,FC Ashdod
151,Bnei Sakhnin,1:0,Maccabi Haifa
152,Kiryat Shmona,1:0,M. Petah Tikva
153,Maccabi Netanya,1:1,H. Kfar Saba
154,Bnei Yehuda,2:0,Maccabi Herzlya
155,FC Ashdod,2:1,Hapoel Tel Aviv
156,B. Jerusalem,1:1,M. Tel Aviv
157,Maccabi Herzlya,2:0,FC Ashdod
158,H. Kfar Saba,1:3,Kiryat Shmona
159,Maccabi Haifa,0:1,Bnei Yehuda
160,M. Tel Aviv,0:0,Maccabi Netanya
161,M. Petah Tikva,0:4,Bnei Sakhnin
162,Hapoel Tel Aviv,3:1,B. Jerusalem
163,Kiryat Shmona,3:1,M. Tel Aviv
164,Maccabi Haifa,0:0,M. Petah Tikva
165,Bnei Sakhnin,2:0,H. Kfar Saba
166,Bnei Yehuda,2:0,FC Ashdod
167,Maccabi Netanya,3:0,Hapoel Tel Aviv
168,B. Jerusalem,3:1,Maccabi Herzlya
169,M. Tel Aviv,3:1,Bnei Sakhnin
170,H. Kfar Saba,1:0,Maccabi Haifa
171,Maccabi Herzlya,0:2,Maccabi Netanya
172,M. Petah Tikva,0:1,Bnei Yehuda
173,Hapoel Tel Aviv,2:0,Kiryat Shmona
174,FC Ashdod,1:0,B. Jerusalem
175,M. Petah Tikva,1:0,H. Kfar Saba
176,Bnei Sakhnin,0:1,Hapoel Tel Aviv
177,Kiryat Shmona,2:2,Maccabi Herzlya
178,Maccabi Netanya,1:0,FC Ashdod
179,B. Jerusalem,0:1,Bnei Yehuda
180,Maccabi Haifa,3:3,M. Tel Aviv
181,Bnei Yehuda,3:0,H. Kfar Saba
182,FC Ashdod,2:0,Kiryat Shmona
183,B. Jerusalem,3:0,Maccabi Netanya
184,Maccabi Herzlya,0:2,Bnei Sakhnin
185,M. Tel Aviv,2:1,M. Petah Tikva
186,Hapoel Tel Aviv,1:1,Maccabi Haifa
187,Bnei Sakhnin,1:2,FC Ashdod
188,H. Kfar Saba,2:3,M. Tel Aviv
189,Kiryat Shmona,3:2,B. Jerusalem
190,Maccabi Haifa,3:0,Maccabi Herzlya
191,M. Petah Tikva,1:2,Hapoel Tel Aviv
192,Maccabi Netanya,3:2,Bnei Yehuda
193,B. Jerusalem,1:2,Bnei Sakhnin
194,Bnei Yehuda,1:0,M. Tel Aviv
195,Hapoel Tel Aviv,0:1,H. Kfar Saba
196,Maccabi Herzlya,0:1,M. Petah Tikva
197,FC Ashdod,2:0,Maccabi Haifa
198,Maccabi Netanya,1:2,Kiryat Shmona
