round,home,score,away,season,season_year
90,Hapoel Haifa,2:4,M. Tel Aviv,2016/17,2016
91,B. Jerusalem,1:3,H. Beer Sheva,2016/17,2016
92,H. Kfar Saba,1:1,M. Tel Aviv,2016/17,2016
93,FC Ashdod,0:0,Kiryat Shmona,2016/17,2016
94,Bnei Sakhnin,1:1,Bnei Yehuda,2016/17,2016
95,B. Jerusalem,1:1,M. Petah Tikva,2016/17,2016
96,Hapoel Haifa,3:1,H. Ashkelon,2016/17,2016
97,Hapoel Raanana,1:0,H. Beer Sheva,2016/17,2016
98,Hapoel Tel Aviv,0:2,Maccabi Haifa,2016/17,2016
99,Bnei Yehuda,1:1,Hapoel Haifa,2016/17,2016
100,H. Ashkelon,0:0,H. Kfar Saba,2016/17,2016
101,M. Tel Aviv,1:0,FC Ashdod,2016/17,2016
102,Kiryat Shmona,2:0,B. Jerusalem,2016/17,2016
103,M. Petah Tikva,2:0,Hapoel Raanana,2016/17,2016
104,H. Beer Sheva,1:1,Hapoel Tel Aviv,2016/17,2016
105,Maccabi Haifa,1:2,Bnei Sakhnin,2016/17,2016
106,H. Kfar Saba,1:2,Hapoel Haifa,2016/17,2016
107,Hapoel Raanana,0:3,Kiryat Shmona,2016/17,2016
108,Maccabi Haifa,1:1,Bnei Yehuda,2016/17,2016
109,Hapoel Tel Aviv,0:1,M. Petah Tikva,2016/17,2016
110,FC Ashdod,1:0,H. Ashkelon,2016/17,2016
111,Bnei Sakhnin,0:0,H. Beer Sheva,2016/17,2016
112,B. Jerusalem,1:0,M. Tel Aviv,2016/17,2016
113,M. Petah Tikva,1:1,Bnei Sakhnin,2016/17,2016
114,H. Ashkelon,1:1,B. Jerusalem,2016/17,2016
115,H. Beer Sheva,2:0,Maccabi Haifa,2016/17,2016
116,Bnei Yehuda,1:1,H. Kfar Saba,2016/17,2016
117,M. Tel Aviv,4:1,Hapoel Raanana,2016/17,2016
118,Hapoel Haifa,0:1,FC Ashdod,2016/17,2016
119,Kiryat Shmona,2:1,Hapoel Tel Aviv,2016/17,2016
120,FC Ashdod,0:0,H. Kfar Saba,2016/17,2016
121,Hapoel Raanana,0:2,H. Ashkelon,2016/17,2016
122,Maccabi Haifa,0:2,M. Petah Tikva,2016/17,2016
123,H. Beer Sheva,2:1,Bnei Yehuda,2016/17,2016
124,B. Jerusalem,1:0,Hapoel Haifa,2016/17,2016
125,Bnei Sakhnin,5:2,Kiryat Shmona,2016/17,2016
126,Hapoel Tel Aviv,0:1,M. Tel Aviv,2016/17,2016
127,Kiryat Shmona,3:0,Maccabi Haifa,2016/17,2016
128,Hapoel Haifa,1:0,Hapoel Raanana,2016/17,2016
129,H. Ashkelon,0:1,Hapoel Tel Aviv,2016/17,2016
130,M. Petah Tikva,1:1,H. Beer Sheva,2016/17,2016
131,Bnei Yehuda,2:0,FC Ashdod,2016/17,2016
132,H. Kfar Saba,0:2,B. Jerusalem,2016/17,2016
133,M. Tel Aviv,2:1,Bnei Sakhnin,2016/17,2016
134,M. Petah Tikva,2:0,Bnei Yehuda,2016/17,2016
135,Hapoel Raanana,1:0,H. Kfar Saba,2016/17,2016
136,H. Beer Sheva,2:0,Kiryat Shmona,2016/17,2016
137,B. Jerusalem,1:1,FC Ashdod,2016/17,2016
138,Bnei Sakhnin,1:0,H. Ashkelon,2016/17,2016
139,Hapoel Tel Aviv,0:0,Hapoel Haifa,2016/17,2016
140,Maccabi Haifa,2:2,M. Tel Aviv,2016/17,2016
141,Kiryat Shmona,0:1,M. Petah Tikva,2016/17,2016
142,Hapoel Haifa,0:1,Bnei Sakhnin,2016/17,2016
143,Bnei Yehuda,1:1,B. Jerusalem,2016/17,2016
144,M. Tel Aviv,1:0,H. Beer Sheva,2016/17,2016
145,FC Ashdod,0:1,Hapoel Raanana,2016/17,2016
146,H. Kfar Saba,0:0,Hapoel Tel Aviv,2016/17,2016
147,H. Ashkelon,0:2,Maccabi Haifa,2016/17,2016
148,Maccabi Haifa,0:3,Hapoel Haifa,2016/17,2016
149,Kiryat Shmona,0:1,Bnei Yehuda,2016/17,2016
150,H. Beer Sheva,2:1,H. Ashkelon,2016/17,2016
151,Hapoel Raanana,0:4,B. Jerusalem,2016/17,2016
152,Bnei Sakhnin,1:0,H. Kfar Saba,2016/17,2016
153,Hapoel Tel Aviv,2:0,FC Ashdod,2016/17,2016
154,M. Petah Tikva,0:1,M. Tel Aviv,2016/17,2016
155,H. Kfar Saba,0:2,Maccabi Haifa,2016/17,2016
156,Bnei Yehuda,0:2,Hapoel Raanana,2016/17,2016
157,FC Ashdod,1:1,Bnei Sakhnin,2016/17,2016
158,M. Tel Aviv,3:0,Kiryat Shmona,2016/17,2016
159,H. Ashkelon,0:1,M. Petah Tikva,2016/17,2016
160,Hapoel Haifa,0:0,H. Beer Sheva,2016/17,2016
161,Hapoel Tel Aviv,1:2,B. Jerusalem,2016/17,2016
162,Hapoel Tel Aviv,0:0,Hapoel Raanana,2016/17,2016
163,H. Ashkelon,1:1,Kiryat Shmona,2016/17,2016
164,Maccabi Haifa,0:1,FC Ashdod,2016/17,2016
165,M. Tel Aviv,2:0,Bnei Yehuda,2016/17,2016
166,M. Petah Tikva,3:1,Hapoel Haifa,2016/17,2016
167,Bnei Sakhnin,0:2,B. Jerusalem,2016/17,2016
168,H. Beer Sheva,3:0,H. Kfar Saba,2016/17,2016
169,Hapoel Haifa,1:2,Kiryat Shmona,2016/17,2016
170,Hapoel Raanana,0:1,Bnei Sakhnin,2016/17,2016
171,Hapoel Tel Aviv,1:2,Bnei Yehuda,2016/17,2016
172,FC Ashdod,0:1,H. Beer Sheva,2016/17,2016
173,H. Kfar Saba,1:3,M. Petah Tikva,2016/17,2016
174,H. Ashkelon,1:2,M. Tel Aviv,2016/17,2016
175,B. Jerusalem,0:1,Maccabi Haifa,2016/17,2016
176,M. Petah Tikva,0:1,FC Ashdod,2016/17,2016
177,Kiryat Shmona,1:2,H. Kfar Saba,2016/17,2016
178,Maccabi Haifa,2:0,Hapoel Raanana,2016/17,2016
179,Bnei Sakhnin,0:0,Hapoel Tel Aviv,2016/17,2016
180,Bnei Yehuda,0:0,H. Ashkelon,2016/17,2016
181,M. Tel Aviv,1:0,Hapoel Haifa,2016/17,2016
182,H. Beer Sheva,2:1,B. Jerusalem,2016/17,2016
