season,season_year,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2006/07,2006,Hakoah Amidar,FC Ashdod,4,4,0,D,1,1
2006/07,2006,Maccabi Herzlya,Maccabi Haifa,0,2,-2,A,0,3
2006/07,2006,Bnei Yehuda,M. Petah Tikva,0,1,-1,A,0,3
2006/07,2006,H. Petah Tikva,H. Kfar Saba,2,2,0,D,1,1
2006/07,2006,B. Jerusalem,Maccabi Netanya,0,1,-1,A,0,3
2006/07,2006,Hapoel Tel Aviv,M. Tel Aviv,3,0,3,H,3,0
2007/08,2007,Kiryat Shmona,Maccabi Herzlya,3,0,3,H,3,0
2007/08,2007,Maccabi Haifa,Bnei Sakhnin,0,1,-1,A,0,3
2007/08,2007,M. Petah Tikva,H. Kfar Saba,0,1,-1,A,0,3
2007/08,2007,B. Jerusalem,Bnei Yehuda,3,0,3,H,3,0
2007/08,2007,Maccabi Netanya,Hapoel Tel Aviv,0,0,0,D,1,1
2007/08,2007,M. Tel Aviv,FC Ashdod,1,1,0,D,1,1
2007/08,2007,Bnei Sakhnin,Kiryat Shmona,0,0,0,D,1,1
2007/08,2007,H. Kfar Saba,Bnei Yehuda,0,0,0,D,1,1
2007/08,2007,FC Ashdod,Maccabi Haifa,1,0,1,H,3,0
2007/08,2007,Maccabi Herzlya,Maccabi Netanya,1,2,-1,A,0,3
2007/08,2007,M. Petah Tikva,M. Tel Aviv,3,2,1,H,3,0
2007/08,2007,Hapoel Tel Aviv,B. Jerusalem,1,2,-1,A,0,3
2007/08,2007,B. Jerusalem,Maccabi Herzlya,4,2,2,H,3,0
2007/08,2007,Bnei Yehuda,Hapoel Tel Aviv,1,1,0,D,1,1
2007/08,2007,Kiryat Shmona,FC Ashdod,2,1,1,H,3,0
2007/08,2007,Maccabi Netanya,Bnei Sakhnin,1,2,-1,A,0,3
2007/08,2007,Maccabi Haifa,M. Petah Tikva,0,1,-1,A,0,3
2007/08,2007,M. Tel Aviv,H. Kfar Saba,0,1,-1,A,0,3
2007/08,2007,H. Kfar Saba,Hapoel Tel Aviv,1,1,0,D,1,1
2007/08,2007,FC Ashdod,Maccabi Netanya,1,6,-5,A,0,3
2007/08,2007,Maccabi Herzlya,Bnei Yehuda,0,2,-2,A,0,3
2007/08,2007,M. Petah Tikva,Kiryat Shmona,3,1,2,H,3,0
2007/08,2007,M. Tel Aviv,Maccabi Haifa,0,3,-3,A,0,3
2007/08,2007,Bnei Sakhnin,B. Jerusalem,2,2,0,D,1,1
2007/08,2007,Bnei Yehuda,Bnei Sakhnin,3,0,3,H,3,0
2007/08,2007,Kiryat Shmona,M. Tel Aviv,1,0,1,H,3,0
2007/08,2007,Maccabi Haifa,H. Kfar Saba,2,1,1,H,3,0
2007/08,2007,Maccabi Netanya,M. Petah Tikva,1,0,1,H,3,0
2007/08,2007,B. Jerusalem,FC Ashdod,5,0,5,H,3,0
2007/08,2007,Hapoel Tel Aviv,Maccabi Herzlya,0,2,-2,A,0,3
2007/08,2007,Bnei Sakhnin,Hapoel Tel Aviv,1,0,1,H,3,0
2007/08,2007,H. Kfar Saba,Maccabi Herzlya,2,3,-1,A,0,3
2007/08,2007,FC Ashdod,Bnei Yehuda,3,0,3,H,3,0
2007/08,2007,Maccabi Haifa,Kiryat Shmona,1,0,1,H,3,0
2007/08,2007,M. Petah Tikva,B. Jerusalem,1,2,-1,A,0,3
