season,round,leader,leader_points,leader_gd,leader_gf,first_place_changed,prev_leader,change_count
2019/20,3,M. Tel Aviv,65,41,48,False,M. Tel Aviv,0
2019/20,4,M. Tel Aviv,65,39,48,False,M. Tel Aviv,0
2019/20,5,M. Tel Aviv,68,42,51,False,M. Tel Aviv,0
2019/20,6,M. Tel Aviv,68,42,51,False,M. Tel Aviv,0
2019/20,7,M. Tel Aviv,71,44,53,False,M. Tel Aviv,0
2019/20,8,Maccabi Haifa,73,44,73,True,M. Tel Aviv,1
2019/20,9,M. Tel Aviv,78,46,56,True,Maccabi Haifa,2
2019/20,10,M. Tel Aviv,87,53,63,False,M. Tel Aviv,2
2020/21,0,Maccabi Haifa,59,32,52,False,,0
2020/21,1,Maccabi Haifa,66,35,58,False,Maccabi Haifa,0
2020/21,2,Maccabi Haifa,71,39,65,False,Maccabi Haifa,0
2020/21,3,Maccabi Haifa,71,39,65,False,Maccabi Haifa,0
2020/21,4,Maccabi Haifa,74,42,68,False,Maccabi Haifa,0
2020/21,5,Maccabi Haifa,74,42,68,False,Maccabi Haifa,0
2020/21,6,Maccabi Haifa,75,42,69,False,Maccabi Haifa,0
2020/21,7,Maccabi Haifa,78,43,71,False,Maccabi Haifa,0
2020/21,8,Maccabi Haifa,78,43,71,False,Maccabi Haifa,0
2020/21,9,Maccabi Haifa,79,43,72,False,Maccabi Haifa,0
2020/21,10,Maccabi Haifa,79,43,72,False,Maccabi Haifa,0
2021/22,0,Maccabi Haifa,59,43,62,False,,0
2021/22,1,Maccabi Haifa,65,47,69,False,Maccabi Haifa,0
2021/22,2,Maccabi Haifa,71,50,73,False,Maccabi Haifa,0
2021/22,3,Maccabi Haifa,71,50,73,False,Maccabi Haifa,0
2021/22,4,Maccabi Haifa,72,50,74,False,Maccabi Haifa,0
2021/22,5,Maccabi Haifa,72,50,74,False,Maccabi Haifa,0
2021/22,6,Maccabi Haifa,72,47,74,False,Maccabi Haifa,0
2021/22,7,Maccabi Haifa,75,49,76,False,Maccabi Haifa,0
2021/22,8,Maccabi Haifa,75,49,76,False,Maccabi Haifa,0
2021/22,9,Maccabi Haifa,78,52,79,False,Maccabi Haifa,0
2021/22,10,Maccabi Haifa,78,52,79,False,Maccabi Haifa,0
2022/23,0,Maccabi Haifa,62,27,51,False,,0
2022/23,1,Maccabi Haifa,71,35,60,False,Maccabi Haifa,0
2022/23,2,Maccabi Haifa,77,38,67,False,Maccabi Haifa,0
2022/23,3,Maccabi Haifa,77,38,67,False,Maccabi Haifa,0
2022/23,4,Maccabi Haifa,78,38,68,False,Maccabi Haifa,0
2022/23,5,Maccabi Haifa,78,38,68,False,Maccabi Haifa,0
2022/23,6,Maccabi Haifa,78,37,69,False,Maccabi Haifa,0
2022/23,7,Maccabi Haifa,81,41,74,False,Maccabi Haifa,0
2022/23,8,Maccabi Haifa,81,41,74,False,Maccabi Haifa,0
2022/23,9,Maccabi Haifa,84,42,76,False,Maccabi Haifa,0
2022/23,10,Maccabi Haifa,84,42,76,False,Maccabi Haifa,0
2023/24,0,M. Tel Aviv,62,35,55,False,,0
2023/24,1,M. Tel Aviv,69,42,63,False,M. Tel Aviv,0
2023/24,2,M. Tel Aviv,78,47,68,False,M. Tel Aviv,0
2023/24,3,M. Tel Aviv,78,47,68,False,M. Tel Aviv,0
2023/24,4,M. Tel Aviv,78,46,68,False,M. Tel Aviv,0
2023/24,5,M. Tel Aviv,78,46,68,False,M. Tel Aviv,0
2023/24,6,M. Tel Aviv,81,49,71,False,M. Tel Aviv,0
2023/24,7,M. Tel Aviv,84,50,74,False,M. Tel Aviv,0
2023/24,8,M. Tel Aviv,84,50,74,False,M. Tel Aviv,0
2023/24,9,M. Tel Aviv,85,50,75,False,M. Tel Aviv,0
2023/24,10,M. Tel Aviv,85,50,75,False,M. Tel Aviv,0
2024/25,0,H. Beer Sheva,60,34,52,False,,0
2024/25,1,M. Tel Aviv,62,34,63,True,H. Beer Sheva,1
2024/25,2,M. Tel Aviv,71,42,73,False,M. Tel Aviv,1
2024/25,3,M. Tel Aviv,71,42,73,False,M. Tel Aviv,1
2024/25,4,H. Beer Sheva,76,47,71,True,M. Tel Aviv,2
2024/25,5,H. Beer Sheva,76,47,71,False,H. Beer Sheva,2
2024/25,6,H. Beer Sheva,77,47,72,False,H. Beer Sheva,2
2024/25,7,H. Beer Sheva,77,47,72,False,H. Beer Sheva,2
2024/25,8,H. Beer Sheva,80,48,74,False,H. Beer Sheva,2
2024/25,9,M. Tel Aviv,80,50,86,True,H. Beer Sheva,3
2024/25,10,M. Tel Aviv,80,50,86,False,M. Tel Aviv,3
