round,home,score,away,season,season_year
19,Hapoel Tel Aviv,2:1,H. Beer Sheva,2025/26,2025
20,H. Jerusalem,2:1,H. Petah Tikva,2025/26,2025
20,Maccabi Netanya,4:1,Maccabi Haifa,2025/26,2025
20,Ironi Tiberias,1:1,Bnei Sakhnin,2025/26,2025
20,Hapoel Haifa,0:1,M. Bnei Reineh,2025/26,2025
20,H. Beer Sheva,3:2,Kiryat Shmona,2025/26,2025
20,FC Ashdod,1:1,B. Jerusalem,2025/26,2025
20,M. Tel Aviv,1:2,Hapoel Tel Aviv,2025/26,2025
21,Hapoel Tel Aviv,2:0,Maccabi Netanya,2025/26,2025
21,M. Bnei Reineh,0:2,H. Beer Sheva,2025/26,2025
21,Bnei Sakhnin,0:0,H. Jerusalem,2025/26,2025
21,B. Jerusalem,2:2,Hapoel Haifa,2025/26,2025
21,Maccabi Haifa,3:2,Ironi Tiberias,2025/26,2025
21,H. Petah Tikva,2:0,FC Ashdod,2025/26,2025
21,Kiryat Shmona,1:4,M. Tel Aviv,2025/26,2025
22,Ironi Tiberias,0:2,Hapoel Tel Aviv,2025/26,2025
22,H. Jerusalem,1:1,Maccabi Haifa,2025/26,2025
22,Bnei Sakhnin,1:2,H. Petah Tikva,2025/26,2025
22,Hapoel Haifa,0:2,FC Ashdod,2025/26,2025
22,Maccabi Netanya,1:1,Kiryat Shmona,2025/26,2025
22,M. Tel Aviv,4:0,M. Bnei Reineh,2025/26,2025
22,H. Beer Sheva,2:1,B. Jerusalem,2025/26,2025
23,Hapoel Tel Aviv,3:1,H. Jerusalem,2025/26,2025
23,H. Petah Tikva,0:1,Hapoel Haifa,2025/26,2025
23,Kiryat Shmona,2:2,Ironi Tiberias,2025/26,2025
23,M. Bnei Reineh,0:4,Maccabi Netanya,2025/26,2025
23,FC Ashdod,1:2,H. Beer Sheva,2025/26,2025
23,Maccabi Haifa,4:0,Bnei Sakhnin,2025/26,2025
23,B. Jerusalem,0:0,M. Tel Aviv,2025/26,2025
24,M. Tel Aviv,3:2,FC Ashdod,2025/26,2025
24,Maccabi Haifa,0:1,H. Petah Tikva,2025/26,2025
24,H. Jerusalem,0:1,Kiryat Shmona,2025/26,2025
24,Bnei Sakhnin,0:0,Hapoel Tel Aviv,2025/26,2025
24,Ironi Tiberias,2:1,M. Bnei Reineh,2025/26,2025
24,H. Beer Sheva,1:1,Hapoel Haifa,2025/26,2025
24,Maccabi Netanya,2:8,B. Jerusalem,2025/26,2025
25,M. Bnei Reineh,0:0,H. Jerusalem,2025/26,2025
25,Kiryat Shmona,2:0,Bnei Sakhnin,2025/26,2025
25,H. Beer Sheva,1:1,H. Petah Tikva,2025/26,2025
25,B. Jerusalem,3:2,Ironi Tiberias,2025/26,2025
25,FC Ashdod,2:3,Maccabi Netanya,2025/26,2025
25,Hapoel Haifa,1:4,M. Tel Aviv,2025/26,2025
25,Hapoel Tel Aviv,2:0,Maccabi Haifa,2025/26,2025
26,H. Petah Tikva,0:0,Hapoel Tel Aviv,2025/26,2025
26,Bnei Sakhnin,2:0,M. Bnei Reineh,2025/26,2025
26,Ironi Tiberias,0:0,FC Ashdod,2025/26,2025
26,Maccabi Netanya,0:0,Hapoel Haifa,2025/26,2025
26,Maccabi Haifa,4:1,Kiryat Shmona,2025/26,2025
26,H. Jerusalem,0:2,B. Jerusalem,2025/26,2025
26,M. Tel Aviv,1:3,H. Beer Sheva,2025/26,2025
