round,home,score,away,season,season_year
62,B. Jerusalem,3:1,Hapoel Haifa,2009/10,2009
63,Hapoel Tel Aviv,1:0,M. Tel Aviv,2009/10,2009
64,H. Beer Sheva,1:0,FC Ashdod,2009/10,2009
65,M. Tel Aviv,1:1,M. Petah Tikva,2009/10,2009
66,M. Ahi Nazareth,1:4,H. Beer Sheva,2009/10,2009
67,H. Petah Tikva,0:0,H. Ramat Gan,2009/10,2009
68,Bnei Yehuda,2:1,Hapoel Raanana,2009/10,2009
69,Hapoel Haifa,2:4,Hapoel Acre,2009/10,2009
70,Maccabi Netanya,3:0,B. Jerusalem,2009/10,2009
71,Bnei Sakhnin,1:2,Hapoel Tel Aviv,2009/10,2009
72,FC Ashdod,0:1,Maccabi Haifa,2009/10,2009
73,Maccabi Haifa,4:1,M. Ahi Nazareth,2009/10,2009
74,Hapoel Tel Aviv,7:1,H. Petah Tikva,2009/10,2009
75,H. Ramat Gan,0:2,Bnei Yehuda,2009/10,2009
76,M. Petah Tikva,1:2,Bnei Sakhnin,2009/10,2009
77,Maccabi Netanya,0:1,FC Ashdod,2009/10,2009
78,B. Jerusalem,1:1,Hapoel Acre,2009/10,2009
79,Hapoel Raanana,2:1,Hapoel Haifa,2009/10,2009
80,H. Beer Sheva,1:3,M. Tel Aviv,2009/10,2009
81,Bnei Sakhnin,1:1,H. Beer Sheva,2009/10,2009
82,M. Ahi Nazareth,1:3,Maccabi Netanya,2009/10,2009
83,H. Petah Tikva,1:1,M. Petah Tikva,2009/10,2009
84,Hapoel Haifa,1:1,H. Ramat Gan,2009/10,2009
85,FC Ashdod,2:0,B. Jerusalem,2009/10,2009
86,Bnei Yehuda,0:1,Hapoel Tel Aviv,2009/10,2009
87,Hapoel Acre,1:1,Hapoel Raanana,2009/10,2009
88,M. Tel Aviv,1:0,Maccabi Haifa,2009/10,2009
89,Maccabi Haifa,1:0,Bnei Sakhnin,2009/10,2009
90,H. Ramat Gan,1:1,Hapoel Acre,2009/10,2009
91,M. Petah Tikva,0:1,Bnei Yehuda,2009/10,2009
92,H. Beer Sheva,2:0,H. Petah Tikva,2009/10,2009
93,B. Jerusalem,3:1,Hapoel Raanana,2009/10,2009
94,Maccabi Netanya,1:0,M. Tel Aviv,2009/10,2009
95,FC Ashdod,2:1,M. Ahi Nazareth,2009/10,2009
96,Hapoel Tel Aviv,2:0,Hapoel Haifa,2009/10,2009
97,M. Ahi Nazareth,0:1,B. Jerusalem,2009/10,2009
98,Bnei Yehuda,2:2,H. Beer Sheva,2009/10,2009
99,Hapoel Haifa,2:0,M. Petah Tikva,2009/10,2009
100,Hapoel Raanana,0:1,H. Ramat Gan,2009/10,2009
101,H. Petah Tikva,0:4,Maccabi Haifa,2009/10,2009
102,Bnei Sakhnin,0:3,Maccabi Netanya,2009/10,2009
103,M. Tel Aviv,2:0,FC Ashdod,2009/10,2009
104,Hapoel Acre,1:1,Hapoel Tel Aviv,2009/10,2009
105,B. Jerusalem,1:0,H. Ramat Gan,2009/10,2009
106,M. Petah Tikva,2:3,Hapoel Acre,2009/10,2009
107,H. Beer Sheva,2:3,Hapoel Haifa,2009/10,2009
108,Maccabi Netanya,1:0,H. Petah Tikva,2009/10,2009
109,FC Ashdod,0:0,Bnei Sakhnin,2009/10,2009
110,M. Ahi Nazareth,3:3,M. Tel Aviv,2009/10,2009
111,Maccabi Haifa,2:0,Bnei Yehuda,2009/10,2009
112,Hapoel Tel Aviv,5:0,Hapoel Raanana,2009/10,2009
113,M. Tel Aviv,4:3,B. Jerusalem,2009/10,2009
114,H. Petah Tikva,1:1,FC Ashdod,2009/10,2009
115,Bnei Yehuda,2:1,Maccabi Netanya,2009/10,2009
116,Hapoel Acre,1:3,H. Beer Sheva,2009/10,2009
117,Hapoel Raanana,3:1,M. Petah Tikva,2009/10,2009
118,H. Ramat Gan,0:3,Hapoel Tel Aviv,2009/10,2009
119,Bnei Sakhnin,1:1,M. Ahi Nazareth,2009/10,2009
120,Hapoel Haifa,0:1,Maccabi Haifa,2009/10,2009
121,Hapoel Acre,0:3,Maccabi Haifa,2009/10,2009
122,Hapoel Raanana,2:2,H. Beer Sheva,2009/10,2009
123,Hapoel Haifa,0:0,Maccabi Netanya,2009/10,2009
124,Bnei Yehuda,2:3,FC Ashdod,2009/10,2009
125,H. Petah Tikva,3:0,M. Ahi Nazareth,2009/10,2009
126,Bnei Sakhnin,0:0,M. Tel Aviv,2009/10,2009
127,H. Ramat Gan,0:3,M. Petah Tikva,2009/10,2009
128,Hapoel Tel Aviv,4:3,B. Jerusalem,2009/10,2009
129,M. Tel Aviv,1:0,H. Petah Tikva,2009/10,2009
130,M. Ahi Nazareth,2:2,Bnei Yehuda,2009/10,2009
131,FC Ashdod,1:0,Hapoel Haifa,2009/10,2009
132,Maccabi Haifa,3:0,Hapoel Raanana,2009/10,2009
133,H. Beer Sheva,1:0,H. Ramat Gan,2009/10,2009
134,M. Petah Tikva,0:0,Hapoel Tel Aviv,2009/10,2009
135,Maccabi Netanya,1:0,Hapoel Acre,2009/10,2009
136,B. Jerusalem,1:0,Bnei Sakhnin,2009/10,2009
137,B. Jerusalem,1:2,M. Petah Tikva,2009/10,2009
138,Hapoel Tel Aviv,4:1,H. Beer Sheva,2009/10,2009
139,H. Ramat Gan,0:5,Maccabi Haifa,2009/10,2009
140,Hapoel Raanana,1:1,Maccabi Netanya,2009/10,2009
141,Hapoel Acre,1:1,FC Ashdod,2009/10,2009
142,Hapoel Haifa,2:2,M. Ahi Nazareth,2009/10,2009
143,Bnei Yehuda,0:1,M. Tel Aviv,2009/10,2009
144,H. Petah Tikva,0:0,Bnei Sakhnin,2009/10,2009
145,M. Tel Aviv,1:0,Hapoel Haifa,2009/10,2009
146,Bnei Sakhnin,2:0,Bnei Yehuda,2009/10,2009
147,M. Ahi Nazareth,1:0,Hapoel Acre,2009/10,2009
148,FC Ashdod,0:0,Hapoel Raanana,2009/10,2009
149,Maccabi Netanya,2:3,H. Ramat Gan,2009/10,2009
150,H. Petah Tikva,0:0,B. Jerusalem,2009/10,2009
151,H. Beer Sheva,0:1,M. Petah Tikva,2009/10,2009
152,Maccabi Haifa,0:0,Hapoel Tel Aviv,2009/10,2009
153,Bnei Yehuda,1:1,H. Petah Tikva,2009/10,2009
154,B. Jerusalem,1:1,H. Beer Sheva,2009/10,2009
155,Hapoel Acre,2:3,M. Tel Aviv,2009/10,2009
156,H. Ramat Gan,1:1,FC Ashdod,2009/10,2009
157,Hapoel Haifa,0:1,Bnei Sakhnin,2009/10,2009
158,Hapoel Tel Aviv,3:3,Maccabi Netanya,2009/10,2009
159,Hapoel Raanana,1:1,M. Ahi Nazareth,2009/10,2009
160,M. Petah Tikva,0:1,Maccabi Haifa,2009/10,2009
161,Bnei Yehuda,0:0,B. Jerusalem,2009/10,2009
162,Bnei Sakhnin,1:0,Hapoel Acre,2009/10,2009
163,M. Tel Aviv,2:0,Hapoel Raanana,2009/10,2009
164,M. Ahi Nazareth,0:1,H. Ramat Gan,2009/10,2009
165,Maccabi Netanya,2:2,M. Petah Tikva,2009/10,2009
166,Maccabi Haifa,4:1,H. Beer Sheva,2009/10,2009
167,H. Petah Tikva,2:2,Hapoel Haifa,2009/10,2009
168,FC Ashdod,0:4,Hapoel Tel Aviv,2009/10,2009
169,H. Ramat Gan,1:4,M. Tel Aviv,2009/10,2009
170,H. Beer Sheva,2:0,Maccabi Netanya,2009/10,2009
171,M. Petah Tikva,1:1,FC Ashdod,2009/10,2009
172,Hapoel Raanana,0:1,Bnei Sakhnin,2009/10,2009
173,Hapoel Acre,0:0,H. Petah Tikva,2009/10,2009
174,Hapoel Tel Aviv,4:0,M. Ahi Nazareth,2009/10,2009
175,B. Jerusalem,0:3,Maccabi Haifa,2009/10,2009
176,Hapoel Haifa,0:3,Bnei Yehuda,2009/10,2009
177,FC Ashdod,5:2,H. Beer Sheva,2009/10,2009
178,Bnei Yehuda,2:1,Hapoel Acre,2009/10,2009
179,H. Petah Tikva,2:1,Hapoel Raanana,2009/10,2009
180,M. Ahi Nazareth,1:2,M. Petah Tikva,2009/10,2009
181,Hapoel Haifa,3:2,B. Jerusalem,2009/10,2009
182,Maccabi Netanya,1:0,Maccabi Haifa,2009/10,2009
183,Bnei Sakhnin,3:1,H. Ramat Gan,2009/10,2009
184,M. Tel Aviv,2:4,Hapoel Tel Aviv,2009/10,2009
185,B. Jerusalem,3:1,Maccabi Netanya,2009/10,2009
186,Maccabi Haifa,1:0,FC Ashdod,2009/10,2009
187,H. Beer Sheva,2:2,M. Ahi Nazareth,2009/10,2009
188,M. Petah Tikva,2:1,M. Tel Aviv,2009/10,2009
189,Hapoel Tel Aviv,1:0,Bnei Sakhnin,2009/10,2009
190,H. Ramat Gan,0:0,H. Petah Tikva,2009/10,2009
191,Hapoel Raanana,0:3,Bnei Yehuda,2009/10,2009
192,Hapoel Acre,2:2,Hapoel Haifa,2009/10,2009
193,Hapoel Acre,0:3,B. Jerusalem,2009/10,2009
194,Hapoel Haifa,3:1,Hapoel Raanana,2009/10,2009
195,Bnei Sakhnin,3:4,M. Petah Tikva,2009/10,2009
196,M. Tel Aviv,1:1,H. Beer Sheva,2009/10,2009
197,M. Ahi Nazareth,0:5,Maccabi Haifa,2009/10,2009
198,FC Ashdod,3:0,Maccabi Netanya,2009/10,2009
199,Bnei Yehuda,1:2,H. Ramat Gan,2009/10,2009
200,H. Petah Tikva,1:1,Hapoel Tel Aviv,2009/10,2009
201,B. Jerusalem,2:0,FC Ashdod,2009/10,2009
202,Maccabi Netanya,5:0,M. Ahi Nazareth,2009/10,2009
203,M. Petah Tikva,0:0,H. Petah Tikva,2009/10,2009
204,Hapoel Tel Aviv,4:0,Bnei Yehuda,2009/10,2009
205,H. Ramat Gan,3:2,Hapoel Haifa,2009/10,2009
206,Hapoel Raanana,0:1,Hapoel Acre,2009/10,2009
207,H. Beer Sheva,1:0,Bnei Sakhnin,2009/10,2009
208,Maccabi Haifa,1:0,M. Tel Aviv,2009/10,2009
209,Hapoel Raanana,1:3,B. Jerusalem,2009/10,2009
210,Hapoel Acre,1:0,H. Ramat Gan,2009/10,2009
211,Hapoel Haifa,1:2,Hapoel Tel Aviv,2009/10,2009
212,Bnei Yehuda,2:0,M. Petah Tikva,2009/10,2009
213,H. Petah Tikva,1:0,H. Beer Sheva,2009/10,2009
214,Bnei Sakhnin,2:1,Maccabi Haifa,2009/10,2009
215,M. Tel Aviv,2:2,Maccabi Netanya,2009/10,2009
216,M. Ahi Nazareth,1:0,FC Ashdod,2009/10,2009
217,B. Jerusalem,5:0,M. Ahi Nazareth,2009/10,2009
218,FC Ashdod,3:1,M. Tel Aviv,2009/10,2009
219,Maccabi Netanya,1:2,Bnei Sakhnin,2009/10,2009
220,Maccabi Haifa,3:0,H. Petah Tikva,2009/10,2009
221,H. Beer Sheva,0:0,Bnei Yehuda,2009/10,2009
222,M. Petah Tikva,2:2,Hapoel Haifa,2009/10,2009
223,Hapoel Tel Aviv,5:3,Hapoel Acre,2009/10,2009
224,H. Ramat Gan,1:0,Hapoel Raanana,2009/10,2009
225,H. Ramat Gan,0:0,B. Jerusalem,2009/10,2009
226,Hapoel Raanana,1:4,Hapoel Tel Aviv,2009/10,2009
227,Hapoel Acre,2:2,M. Petah Tikva,2009/10,2009
228,Hapoel Haifa,0:0,H. Beer Sheva,2009/10,2009
229,Bnei Yehuda,0:2,Maccabi Haifa,2009/10,2009
230,H. Petah Tikva,2:1,Maccabi Netanya,2009/10,2009
231,Bnei Sakhnin,1:0,FC Ashdod,2009/10,2009
232,M. Tel Aviv,0:1,M. Ahi Nazareth,2009/10,2009
233,B. Jerusalem,0:1,M. Tel Aviv,2009/10,2009
234,M. Ahi Nazareth,0:2,Bnei Sakhnin,2009/10,2009
235,FC Ashdod,2:1,H. Petah Tikva,2009/10,2009
236,Maccabi Netanya,1:1,Bnei Yehuda,2009/10,2009
237,Maccabi Haifa,0:0,Hapoel Haifa,2009/10,2009
238,H. Beer Sheva,3:2,Hapoel Acre,2009/10,2009
239,M. Petah Tikva,2:3,Hapoel Raanana,2009/10,2009
240,Hapoel Tel Aviv,3:1,H. Ramat Gan,2009/10,2009
