round,round_verified,round_original,home,score,away,season,season_year,match_date_raw,match_time_raw,match_date,day_of_week_en,day_of_week_he,day_of_week_num
14,14,81,M. Petah Tikva,0:0,M. Tel Aviv,2008/09,2008,13/12/08,5:02 PM,2008-12-13,Saturday,שבת,5
14,14,82,B. Jerusalem,3:0,Hakoah Amidar,2008/09,2008,13/12/08,7:00 PM,2008-12-13,Saturday,שבת,5
14,14,83,FC Ashdod,4:1,H. Petah Tikva,2008/09,2008,13/12/08,7:00 PM,2008-12-13,Saturday,שבת,5
14,14,84,Bnei Yehuda,0:1,Maccabi Haifa,2008/09,2008,15/12/08,8:55 PM,2008-12-15,Monday,יום שני,0
15,15,85,H. Petah Tikva,0:2,Hapoel Tel Aviv,2008/09,2008,20/12/08,5:15 PM,2008-12-20,Saturday,שבת,5
15,15,86,FC Ashdod,3:3,Maccabi Netanya,2008/09,2008,20/12/08,5:20 PM,2008-12-20,Saturday,שבת,5
15,15,87,Kiryat Shmona,0:2,Bnei Yehuda,2008/09,2008,20/12/08,7:00 PM,2008-12-20,Saturday,שבת,5
15,15,88,Hakoah Amidar,2:2,M. Petah Tikva,2008/09,2008,20/12/08,7:00 PM,2008-12-20,Saturday,שבת,5
15,15,89,M. Tel Aviv,1:1,Bnei Sakhnin,2008/09,2008,20/12/08,7:30 PM,2008-12-20,Saturday,שבת,5
15,15,90,Maccabi Haifa,0:0,B. Jerusalem,2008/09,2008,22/12/08,8:50 PM,2008-12-22,Monday,יום שני,0
16,16,91,Bnei Sakhnin,0:1,Hakoah Amidar,2008/09,2008,17/01/09,2:00 PM,2009-01-17,Saturday,שבת,5
16,16,92,Hapoel Tel Aviv,2:0,FC Ashdod,2008/09,2008,17/01/09,3:00 PM,2009-01-17,Saturday,שבת,5
16,16,93,M. Petah Tikva,2:0,Maccabi Haifa,2008/09,2008,17/01/09,5:15 PM,2009-01-17,Saturday,שבת,5
16,16,94,B. Jerusalem,2:2,Kiryat Shmona,2008/09,2008,17/01/09,7:30 PM,2009-01-17,Saturday,שבת,5
16,16,95,Bnei Yehuda,1:0,H. Petah Tikva,2008/09,2008,17/01/09,7:30 PM,2009-01-17,Saturday,שבת,5
16,16,96,Maccabi Netanya,1:0,M. Tel Aviv,2008/09,2008,19/01/09,8:50 PM,2009-01-19,Monday,יום שני,0
17,17,97,Maccabi Haifa,2:1,Bnei Sakhnin,2008/09,2008,24/01/09,5:00 PM,2009-01-24,Saturday,שבת,5
17,17,98,Hakoah Amidar,0:1,M. Tel Aviv,2008/09,2008,24/01/09,5:00 PM,2009-01-24,Saturday,שבת,5
17,17,99,FC Ashdod,0:2,Bnei Yehuda,2008/09,2008,24/01/09,7:00 PM,2009-01-24,Saturday,שבת,5
17,17,100,Kiryat Shmona,0:0,M. Petah Tikva,2008/09,2008,24/01/09,7:00 PM,2009-01-24,Saturday,שבת,5
17,17,101,H. Petah Tikva,0:2,B. Jerusalem,2008/09,2008,24/01/09,7:20 PM,2009-01-24,Saturday,שבת,5
17,17,102,Hapoel Tel Aviv,2:1,Maccabi Netanya,2008/09,2008,26/01/09,8:50 PM,2009-01-26,Monday,יום שני,0
18,18,103,Bnei Yehuda,3:0,Hapoel Tel Aviv,2008/09,2008,31/01/09,5:10 PM,2009-01-31,Saturday,שבת,5
18,18,104,M. Petah Tikva,2:1,H. Petah Tikva,2008/09,2008,31/01/09,5:35 PM,2009-01-31,Saturday,שבת,5
18,18,105,Maccabi Netanya,2:2,Hakoah Amidar,2008/09,2008,31/01/09,7:00 PM,2009-01-31,Saturday,שבת,5
18,18,106,Bnei Sakhnin,1:0,Kiryat Shmona,2008/09,2008,31/01/09,7:00 PM,2009-01-31,Saturday,שבת,5
18,18,107,B. Jerusalem,3:2,FC Ashdod,2008/09,2008,31/01/09,7:30 PM,2009-01-31,Saturday,שבת,5
18,18,108,M. Tel Aviv,1:1,Maccabi Haifa,2008/09,2008,02/02/09,8:50 PM,2009-02-02,Monday,יום שני,0
19,19,109,Bnei Yehuda,1:1,Maccabi Netanya,2008/09,2008,07/02/09,5:00 PM,2009-02-07,Saturday,שבת,5
