round,home,score,away,season,season_year
169,H. Ramat Gan,0:3,M. Tel Aviv,2010/11,2010
170,Bnei Yehuda,1:0,Hapoel Acre,2010/11,2010
171,Hapoel Haifa,1:2,Maccabi Netanya,2010/11,2010
172,H. Petah Tikva,3:1,H. Beer Sheva,2010/11,2010
173,FC Ashdod,1:2,Maccabi Haifa,2010/11,2010
174,Bnei Sakhnin,1:0,B. Jerusalem,2010/11,2010
175,H. Ashkelon,0:1,Kiryat Shmona,2010/11,2010
176,Hapoel Tel Aviv,2:0,M. Petah Tikva,2010/11,2010
177,M. Tel Aviv,0:1,Hapoel Haifa,2010/11,2010
178,B. Jerusalem,0:0,FC Ashdod,2010/11,2010
179,Maccabi Netanya,3:0,H. Ashkelon,2010/11,2010
180,M. Petah Tikva,4:1,H. Ramat Gan,2010/11,2010
181,Bnei Sakhnin,0:1,Bnei Yehuda,2010/11,2010
182,H. Beer Sheva,0:3,Hapoel Tel Aviv,2010/11,2010
183,Kiryat Shmona,2:2,Hapoel Acre,2010/11,2010
184,Maccabi Haifa,2:0,H. Petah Tikva,2010/11,2010
185,H. Ashkelon,2:4,M. Tel Aviv,2010/11,2010
186,Bnei Yehuda,3:1,Kiryat Shmona,2010/11,2010
187,Hapoel Acre,0:0,Maccabi Netanya,2010/11,2010
188,Hapoel Haifa,1:1,M. Petah Tikva,2010/11,2010
189,H. Ramat Gan,0:0,H. Beer Sheva,2010/11,2010
190,H. Petah Tikva,1:0,B. Jerusalem,2010/11,2010
191,FC Ashdod,0:0,Bnei Sakhnin,2010/11,2010
192,Hapoel Tel Aviv,4:1,Maccabi Haifa,2010/11,2010
193,H. Beer Sheva,0:2,Hapoel Haifa,2010/11,2010
194,Maccabi Netanya,1:1,Kiryat Shmona,2010/11,2010
195,M. Petah Tikva,4:0,H. Ashkelon,2010/11,2010
196,Bnei Sakhnin,1:1,H. Petah Tikva,2010/11,2010
197,FC Ashdod,1:2,Bnei Yehuda,2010/11,2010
198,M. Tel Aviv,2:2,Hapoel Acre,2010/11,2010
199,Maccabi Haifa,3:2,H. Ramat Gan,2010/11,2010
200,B. Jerusalem,1:0,Hapoel Tel Aviv,2010/11,2010
201,Hapoel Tel Aviv,1:0,Bnei Sakhnin,2010/11,2010
202,H. Ramat Gan,0:0,B. Jerusalem,2010/11,2010
203,Hapoel Acre,1:1,M. Petah Tikva,2010/11,2010
204,H. Ashkelon,3:4,H. Beer Sheva,2010/11,2010
205,H. Petah Tikva,3:1,FC Ashdod,2010/11,2010
206,Kiryat Shmona,4:0,M. Tel Aviv,2010/11,2010
207,Bnei Yehuda,1:1,Maccabi Netanya,2010/11,2010
208,Hapoel Haifa,0:2,Maccabi Haifa,2010/11,2010
209,Maccabi Haifa,3:0,H. Ashkelon,2010/11,2010
210,M. Petah Tikva,0:0,Kiryat Shmona,2010/11,2010
211,B. Jerusalem,1:0,Hapoel Haifa,2010/11,2010
212,M. Tel Aviv,0:3,Maccabi Netanya,2010/11,2010
213,H. Beer Sheva,0:2,Hapoel Acre,2010/11,2010
214,H. Petah Tikva,2:1,Bnei Yehuda,2010/11,2010
215,FC Ashdod,3:3,Hapoel Tel Aviv,2010/11,2010
216,Bnei Sakhnin,0:0,H. Ramat Gan,2010/11,2010
217,Hapoel Acre,0:2,Maccabi Haifa,2010/11,2010
218,Maccabi Netanya,2:2,M. Petah Tikva,2010/11,2010
219,Kiryat Shmona,1:0,H. Beer Sheva,2010/11,2010
220,H. Ashkelon,2:1,B. Jerusalem,2010/11,2010
221,H. Ramat Gan,1:2,FC Ashdod,2010/11,2010
222,Bnei Yehuda,2:0,M. Tel Aviv,2010/11,2010
223,Hapoel Haifa,4:1,Bnei Sakhnin,2010/11,2010
224,Hapoel Tel Aviv,2:0,H. Petah Tikva,2010/11,2010
225,M. Petah Tikva,2:2,M. Tel Aviv,2010/11,2010
226,H. Beer Sheva,1:2,Maccabi Netanya,2010/11,2010
227,B. Jerusalem,2:0,Hapoel Acre,2010/11,2010
228,Bnei Sakhnin,2:0,H. Ashkelon,2010/11,2010
229,FC Ashdod,0:0,Hapoel Haifa,2010/11,2010
230,Hapoel Tel Aviv,0:1,Bnei Yehuda,2010/11,2010
231,H. Petah Tikva,2:0,H. Ramat Gan,2010/11,2010
232,Maccabi Haifa,3:2,Kiryat Shmona,2010/11,2010
233,M. Tel Aviv,0:2,H. Beer Sheva,2010/11,2010
234,Kiryat Shmona,0:1,B. Jerusalem,2010/11,2010
235,H. Ashkelon,4:1,FC Ashdod,2010/11,2010
236,Hapoel Haifa,3:2,H. Petah Tikva,2010/11,2010
237,Hapoel Acre,0:0,Bnei Sakhnin,2010/11,2010
238,H. Ramat Gan,1:2,Hapoel Tel Aviv,2010/11,2010
239,Bnei Yehuda,2:0,M. Petah Tikva,2010/11,2010
240,Maccabi Netanya,1:1,Maccabi Haifa,2010/11,2010
