round,home,score,away,season,season_year
94,Maccabi Netanya,0:1,H. Beer Sheva,2020/21,2020
95,B. Jerusalem,3:3,Hapoel Haifa,2020/21,2020
96,Bnei Yehuda,1:1,Bnei Sakhnin,2020/21,2020
97,M. Petah Tikva,0:1,M. Tel Aviv,2020/21,2020
98,Kiryat Shmona,2:1,FC Ashdod,2020/21,2020
99,Hapoel Haifa,0:2,Kiryat Shmona,2020/21,2020
100,H. Beer Sheva,1:1,Maccabi Haifa,2020/21,2020
101,Bnei Sakhnin,0:1,Maccabi Netanya,2020/21,2020
102,Hapoel Hadera,0:4,B. Jerusalem,2020/21,2020
103,H. Kfar Saba,2:0,M. Petah Tikva,2020/21,2020
104,FC Ashdod,2:1,Hapoel Tel Aviv,2020/21,2020
105,M. Tel Aviv,0:0,Bnei Yehuda,2020/21,2020
106,Hapoel Tel Aviv,2:2,Hapoel Haifa,2020/21,2020
107,M. Petah Tikva,2:1,FC Ashdod,2020/21,2020
108,Kiryat Shmona,0:2,B. Jerusalem,2020/21,2020
109,Maccabi Haifa,3:0,Bnei Sakhnin,2020/21,2020
110,Maccabi Netanya,1:3,M. Tel Aviv,2020/21,2020
111,Bnei Yehuda,1:3,H. Kfar Saba,2020/21,2020
112,H. Beer Sheva,1:0,Hapoel Hadera,2020/21,2020
113,Hapoel Haifa,1:2,M. Petah Tikva,2020/21,2020
114,B. Jerusalem,0:1,Hapoel Tel Aviv,2020/21,2020
115,FC Ashdod,4:0,Bnei Yehuda,2020/21,2020
116,H. Kfar Saba,0:1,Maccabi Netanya,2020/21,2020
117,M. Tel Aviv,2:1,Maccabi Haifa,2020/21,2020
118,Hapoel Hadera,0:1,Kiryat Shmona,2020/21,2020
119,Bnei Sakhnin,1:0,H. Beer Sheva,2020/21,2020
120,Maccabi Netanya,3:0,FC Ashdod,2020/21,2020
121,Hapoel Tel Aviv,1:1,Kiryat Shmona,2020/21,2020
122,Maccabi Haifa,3:0,H. Kfar Saba,2020/21,2020
123,Bnei Yehuda,0:2,Hapoel Haifa,2020/21,2020
124,Bnei Sakhnin,0:2,Hapoel Hadera,2020/21,2020
125,H. Beer Sheva,0:1,M. Tel Aviv,2020/21,2020
126,M. Petah Tikva,0:1,B. Jerusalem,2020/21,2020
127,Hapoel Haifa,0:0,Maccabi Netanya,2020/21,2020
128,H. Kfar Saba,0:1,H. Beer Sheva,2020/21,2020
129,M. Tel Aviv,1:0,Bnei Sakhnin,2020/21,2020
130,FC Ashdod,1:0,Maccabi Haifa,2020/21,2020
131,Hapoel Hadera,1:1,Hapoel Tel Aviv,2020/21,2020
132,Kiryat Shmona,2:1,M. Petah Tikva,2020/21,2020
133,B. Jerusalem,1:1,Bnei Yehuda,2020/21,2020
134,Bnei Sakhnin,0:1,H. Kfar Saba,2020/21,2020
135,H. Beer Sheva,0:3,FC Ashdod,2020/21,2020
136,M. Petah Tikva,0:2,Hapoel Tel Aviv,2020/21,2020
137,M. Tel Aviv,3:1,Hapoel Hadera,2020/21,2020
138,Maccabi Haifa,2:0,Hapoel Haifa,2020/21,2020
139,Maccabi Netanya,1:2,B. Jerusalem,2020/21,2020
140,Bnei Yehuda,1:0,Kiryat Shmona,2020/21,2020
141,Hapoel Haifa,2:2,H. Beer Sheva,2020/21,2020
142,FC Ashdod,0:0,Bnei Sakhnin,2020/21,2020
143,H. Kfar Saba,0:1,M. Tel Aviv,2020/21,2020
144,Hapoel Hadera,1:0,M. Petah Tikva,2020/21,2020
145,Kiryat Shmona,1:4,Maccabi Netanya,2020/21,2020
146,Hapoel Tel Aviv,0:0,Bnei Yehuda,2020/21,2020
147,B. Jerusalem,0:3,Maccabi Haifa,2020/21,2020
148,Bnei Sakhnin,0:1,Hapoel Haifa,2020/21,2020
149,H. Kfar Saba,0:1,Hapoel Hadera,2020/21,2020
150,Bnei Yehuda,0:1,M. Petah Tikva,2020/21,2020
151,Maccabi Netanya,0:1,Hapoel Tel Aviv,2020/21,2020
152,Maccabi Haifa,4:2,Kiryat Shmona,2020/21,2020
153,H. Beer Sheva,1:1,B. Jerusalem,2020/21,2020
154,M. Tel Aviv,3:1,FC Ashdod,2020/21,2020
155,Hapoel Hadera,0:0,Bnei Yehuda,2020/21,2020
156,M. Petah Tikva,1:1,Maccabi Netanya,2020/21,2020
157,Kiryat Shmona,2:2,H. Beer Sheva,2020/21,2020
158,Hapoel Tel Aviv,1:2,Maccabi Haifa,2020/21,2020
159,FC Ashdod,2:0,H. Kfar Saba,2020/21,2020
160,B. Jerusalem,2:3,Bnei Sakhnin,2020/21,2020
161,Hapoel Haifa,0:2,M. Tel Aviv,2020/21,2020
162,Maccabi Netanya,1:0,Bnei Yehuda,2020/21,2020
163,Maccabi Haifa,0:2,M. Petah Tikva,2020/21,2020
164,Bnei Sakhnin,0:2,Kiryat Shmona,2020/21,2020
165,H. Kfar Saba,0:0,Hapoel Haifa,2020/21,2020
166,H. Beer Sheva,0:1,Hapoel Tel Aviv,2020/21,2020
167,FC Ashdod,1:1,Hapoel Hadera,2020/21,2020
168,M. Tel Aviv,4:1,B. Jerusalem,2020/21,2020
169,Hapoel Tel Aviv,0:1,Bnei Sakhnin,2020/21,2020
170,Maccabi Netanya,0:1,Hapoel Hadera,2020/21,2020
171,Hapoel Haifa,2:2,FC Ashdod,2020/21,2020
172,Kiryat Shmona,0:2,M. Tel Aviv,2020/21,2020
173,M. Petah Tikva,0:0,H. Beer Sheva,2020/21,2020
174,B. Jerusalem,2:1,H. Kfar Saba,2020/21,2020
175,Bnei Yehuda,0:2,Maccabi Haifa,2020/21,2020
176,Maccabi Haifa,2:0,Maccabi Netanya,2020/21,2020
177,H. Beer Sheva,2:0,Bnei Yehuda,2020/21,2020
178,Bnei Sakhnin,1:0,M. Petah Tikva,2020/21,2020
179,FC Ashdod,2:0,B. Jerusalem,2020/21,2020
180,H. Kfar Saba,0:1,Kiryat Shmona,2020/21,2020
181,M. Tel Aviv,1:1,Hapoel Tel Aviv,2020/21,2020
182,Hapoel Hadera,3:1,Hapoel Haifa,2020/21,2020
