round,home,score,away,season,season_year
17,Maccabi Haifa,0:1,M. Petah Tikva,2007/08,2007
18,M. Tel Aviv,0:1,H. Kfar Saba,2007/08,2007
19,H. Kfar Saba,1:1,Hapoel Tel Aviv,2007/08,2007
20,FC Ashdod,1:6,Maccabi Netanya,2007/08,2007
21,Maccabi Herzlya,0:2,Bnei Yehuda,2007/08,2007
22,M. Petah Tikva,3:1,Kiryat Shmona,2007/08,2007
23,M. Tel Aviv,0:3,Maccabi Haifa,2007/08,2007
24,Bnei Sakhnin,2:2,B. Jerusalem,2007/08,2007
25,Bnei Yehuda,3:0,Bnei Sakhnin,2007/08,2007
26,Kiryat Shmona,1:0,M. Tel Aviv,2007/08,2007
27,Maccabi Haifa,2:1,H. Kfar Saba,2007/08,2007
28,Maccabi Netanya,1:0,M. Petah Tikva,2007/08,2007
29,B. Jerusalem,5:0,FC Ashdod,2007/08,2007
30,Hapoel Tel Aviv,0:2,Maccabi Herzlya,2007/08,2007
31,Bnei Sakhnin,1:0,Hapoel Tel Aviv,2007/08,2007
32,H. Kfar Saba,2:3,Maccabi Herzlya,2007/08,2007
33,FC Ashdod,3:0,Bnei Yehuda,2007/08,2007
34,Maccabi Haifa,1:0,Kiryat Shmona,2007/08,2007
35,M. Petah Tikva,1:2,B. Jerusalem,2007/08,2007
36,M. Tel Aviv,0:2,Maccabi Netanya,2007/08,2007
37,Bnei Yehuda,0:1,M. Petah Tikva,2007/08,2007
38,Kiryat Shmona,2:2,H. Kfar Saba,2007/08,2007
39,Maccabi Herzlya,0:1,Bnei Sakhnin,2007/08,2007
40,Maccabi Netanya,2:1,Maccabi Haifa,2007/08,2007
41,B. Jerusalem,2:0,M. Tel Aviv,2007/08,2007
42,Hapoel Tel Aviv,0:2,FC Ashdod,2007/08,2007
43,H. Kfar Saba,0:0,Bnei Sakhnin,2007/08,2007
44,Kiryat Shmona,0:0,Maccabi Netanya,2007/08,2007
45,FC Ashdod,0:1,Maccabi Herzlya,2007/08,2007
46,M. Petah Tikva,2:1,Hapoel Tel Aviv,2007/08,2007
47,M. Tel Aviv,3:1,Bnei Yehuda,2007/08,2007
48,Maccabi Haifa,0:0,B. Jerusalem,2007/08,2007
49,B. Jerusalem,0:0,Kiryat Shmona,2007/08,2007
50,Bnei Sakhnin,3:0,FC Ashdod,2007/08,2007
51,Bnei Yehuda,0:3,Maccabi Haifa,2007/08,2007
52,Maccabi Herzlya,1:1,M. Petah Tikva,2007/08,2007
53,Maccabi Netanya,2:3,H. Kfar Saba,2007/08,2007
54,Hapoel Tel Aviv,1:0,M. Tel Aviv,2007/08,2007
55,H. Kfar Saba,3:1,FC Ashdod,2007/08,2007
56,Kiryat Shmona,2:1,Bnei Yehuda,2007/08,2007
57,Maccabi Haifa,2:0,Hapoel Tel Aviv,2007/08,2007
58,M. Petah Tikva,2:0,Bnei Sakhnin,2007/08,2007
59,M. Tel Aviv,2:0,Maccabi Herzlya,2007/08,2007
60,Maccabi Netanya,0:1,B. Jerusalem,2007/08,2007
61,Bnei Yehuda,1:2,Maccabi Netanya,2007/08,2007
62,Maccabi Herzlya,0:1,Maccabi Haifa,2007/08,2007
63,FC Ashdod,1:3,M. Petah Tikva,2007/08,2007
64,B. Jerusalem,4:0,H. Kfar Saba,2007/08,2007
65,Bnei Sakhnin,3:2,M. Tel Aviv,2007/08,2007
66,Hapoel Tel Aviv,0:1,Kiryat Shmona,2007/08,2007
67,FC Ashdod,0:0,M. Tel Aviv,2007/08,2007
68,Maccabi Herzlya,1:3,Kiryat Shmona,2007/08,2007
69,H. Kfar Saba,0:0,M. Petah Tikva,2007/08,2007
70,Bnei Sakhnin,1:1,Maccabi Haifa,2007/08,2007
71,Hapoel Tel Aviv,0:1,Maccabi Netanya,2007/08,2007
72,Bnei Yehuda,0:3,B. Jerusalem,2007/08,2007
73,Kiryat Shmona,0:0,Bnei Sakhnin,2007/08,2007
74,Bnei Yehuda,0:2,H. Kfar Saba,2007/08,2007
75,Maccabi Netanya,0:0,Maccabi Herzlya,2007/08,2007
76,Maccabi Haifa,3:0,FC Ashdod,2007/08,2007
77,M. Tel Aviv,2:1,M. Petah Tikva,2007/08,2007
78,B. Jerusalem,1:0,Hapoel Tel Aviv,2007/08,2007
79,Bnei Sakhnin,0:0,Maccabi Netanya,2007/08,2007
80,H. Kfar Saba,0:3,M. Tel Aviv,2007/08,2007
81,Hapoel Tel Aviv,1:0,Bnei Yehuda,2007/08,2007
82,FC Ashdod,0:0,Kiryat Shmona,2007/08,2007
83,Maccabi Herzlya,1:1,B. Jerusalem,2007/08,2007
84,M. Petah Tikva,1:1,Maccabi Haifa,2007/08,2007
85,Hapoel Tel Aviv,1:2,H. Kfar Saba,2007/08,2007
86,Kiryat Shmona,2:1,M. Petah Tikva,2007/08,2007
87,Maccabi Netanya,3:0,FC Ashdod,2007/08,2007
88,Bnei Yehuda,0:1,Maccabi Herzlya,2007/08,2007
89,B. Jerusalem,0:1,Bnei Sakhnin,2007/08,2007
90,Maccabi Haifa,3:1,M. Tel Aviv,2007/08,2007
91,Bnei Sakhnin,0:0,Bnei Yehuda,2007/08,2007
92,Maccabi Herzlya,2:3,Hapoel Tel Aviv,2007/08,2007
93,M. Petah Tikva,0:0,Maccabi Netanya,2007/08,2007
94,M. Tel Aviv,2:2,Kiryat Shmona,2007/08,2007
95,H. Kfar Saba,0:3,Maccabi Haifa,2007/08,2007
96,FC Ashdod,1:2,B. Jerusalem,2007/08,2007
97,Hapoel Tel Aviv,0:1,Bnei Sakhnin,2007/08,2007
98,Kiryat Shmona,1:1,Maccabi Haifa,2007/08,2007
99,Maccabi Herzlya,0:0,H. Kfar Saba,2007/08,2007
100,B. Jerusalem,2:1,M. Petah Tikva,2007/08,2007
101,Bnei Yehuda,3:2,FC Ashdod,2007/08,2007
102,Maccabi Netanya,1:0,M. Tel Aviv,2007/08,2007
103,FC Ashdod,1:1,Hapoel Tel Aviv,2007/08,2007
104,Bnei Sakhnin,0:3,Maccabi Herzlya,2007/08,2007
105,H. Kfar Saba,2:3,Kiryat Shmona,2007/08,2007
106,M. Petah Tikva,1:0,Bnei Yehuda,2007/08,2007
107,Maccabi Haifa,0:2,Maccabi Netanya,2007/08,2007
108,M. Tel Aviv,0:0,B. Jerusalem,2007/08,2007
109,Bnei Yehuda,0:4,M. Tel Aviv,2007/08,2007
110,Bnei Sakhnin,1:1,H. Kfar Saba,2007/08,2007
111,Maccabi Netanya,0:0,Kiryat Shmona,2007/08,2007
112,Maccabi Herzlya,1:1,FC Ashdod,2007/08,2007
