season,date,round,stage,home_team,away_team,home_goals,away_goals,venue,referee,fixture_id,league_id,league_name
2022/23,2023-03-11,Regular Season - 26,Ligat Ha'al,Sektzia Nes Tziona,Hapoel Hadera,1,3,HaMoshava Stadium,N. Steif,866012,383,Ligat Ha'al
2022/23,2023-03-11,Regular Season - 26,Ligat Ha'al,Bnei Sakhnin,Beitar Jerusalem,2,0,Doha Stadium,I. Layba,866015,383,Ligat Ha'al
2022/23,2023-03-11,Regular Season - 26,Ligat Ha'al,Maccabi Netanya,Ashdod,0,2,Netanya Stadium,S. Levi,866014,383,Ligat Ha'al
2022/23,2023-03-12,Regular Season - 26,Ligat Ha'al,Hapoel Beer Sheva,Ironi Kiryat Shmona,2,1,Yaakov Turner Toto Stadium,S. Ben Avraham,866013,383,Ligat Ha'al
2022/23,2023-03-13,Regular Season - 26,Ligat Ha'al,Hapoel Tel Aviv,Maccabi Haifa,0,1,Bloomfield Stadium,E. Shmuelevich,866016,383,Ligat Ha'al
2022/23,2023-03-18,Championship Round - 1,Ligat Ha'al,Hapoel Beer Sheva,Hapoel Katamon,1,0,Yaakov Turner Toto Stadium,N. Odeh,1014703,383,Ligat Ha'al
2022/23,2023-03-18,Championship Round - 1,Ligat Ha'al,Maccabi Tel Aviv,Maccabi Netanya,2,0,Bloomfield Stadium,G. Laibuvitz,1014704,383,Ligat Ha'al
2022/23,2023-03-18,Relegation Round - 1,Ligat Ha'al,Hapoel Hadera,Sektzia Nes Tziona,1,2,Netanya Stadium,I. Frid,1014733,383,Ligat Ha'al
2022/23,2023-03-18,Relegation Round - 1,Ligat Ha'al,Beitar Jerusalem,Hapoel Tel Aviv,2,1,Teddi Malcha Stadium,R. Reinshreiber,1014732,383,Ligat Ha'al
2022/23,2023-03-18,Championship Round - 1,Ligat Ha'al,Maccabi Haifa,Ashdod,2,1,Sammy Ofer Stadium,A. Shiloach,1014702,383,Ligat Ha'al
2022/23,2023-03-19,Relegation Round - 1,Ligat Ha'al,Bnei Sakhnin,Maccabi Bnei Raina,2,2,Doha Stadium,O. Grinfeeld,1014735,383,Ligat Ha'al
2022/23,2023-03-19,Relegation Round - 1,Ligat Ha'al,Hapoel Haifa,Ironi Kiryat Shmona,1,1,Sammy Ofer Stadium,D. Fuxman,1014734,383,Ligat Ha'al
2022/23,2023-04-01,Relegation Round - 2,Ligat Ha'al,Hapoel Tel Aviv,Sektzia Nes Tziona,2,1,Bloomfield Stadium,I. Layba,1014736,383,Ligat Ha'al
2022/23,2023-04-01,Championship Round - 2,Ligat Ha'al,Hapoel Katamon,Maccabi Tel Aviv,0,2,Teddi Malcha Stadium,D. Fuxman,1014706,383,Ligat Ha'al
2022/23,2023-04-01,Championship Round - 2,Ligat Ha'al,Maccabi Haifa,Hapoel Beer Sheva,1,0,Sammy Ofer Stadium,O. Grinfeeld,1014707,383,Ligat Ha'al
2022/23,2023-04-01,Championship Round - 2,Ligat Ha'al,Ashdod,Maccabi Netanya,3,2,Yud-Alef Stadium,R. Geva,1014705,383,Ligat Ha'al
2022/23,2023-04-02,Relegation Round - 2,Ligat Ha'al,Ironi Kiryat Shmona,Bnei Sakhnin,2,2,Kiryat-Shmona Municipal Stadium,E. Shmuelevich,1014738,383,Ligat Ha'al
2022/23,2023-04-02,Relegation Round - 2,Ligat Ha'al,Maccabi Bnei Raina,Hapoel Hadera,1,1,Green Stadium,S. Levi,1014737,383,Ligat Ha'al
2022/23,2023-04-03,Relegation Round - 2,Ligat Ha'al,Beitar Jerusalem,Hapoel Haifa,2,0,Teddi Malcha Stadium,Y. Mizrahi,1014739,383,Ligat Ha'al
2022/23,2023-04-04,Championship Round - 3,Ligat Ha'al,Maccabi Netanya,Hapoel Katamon,0,2,Netanya Stadium,N. Steif,1014710,383,Ligat Ha'al
2022/23,2023-04-04,Championship Round - 3,Ligat Ha'al,Hapoel Beer Sheva,Ashdod,3,1,Yaakov Turner Toto Stadium,G. Laibuvitz,1014708,383,Ligat Ha'al
2022/23,2023-04-04,Championship Round - 3,Ligat Ha'al,Maccabi Tel Aviv,Maccabi Haifa,1,1,Bloomfield Stadium,R. Reinshreiber,1014709,383,Ligat Ha'al
2022/23,2023-04-08,Championship Round - 4,Ligat Ha'al,Ashdod,Hapoel Katamon,0,1,Yud-Alef Stadium,D. Tzino,1014711,383,Ligat Ha'al
2022/23,2023-04-08,Championship Round - 4,Ligat Ha'al,Maccabi Haifa,Maccabi Netanya,4,1,Sammy Ofer Stadium,I. Frid,1014712,383,Ligat Ha'al
2022/23,2023-04-10,Championship Round - 4,Ligat Ha'al,Hapoel Beer Sheva,Maccabi Tel Aviv,1,2,Yaakov Turner Toto Stadium,E. Shmuelevich,1014713,383,Ligat Ha'al
2022/23,2023-04-15,Relegation Round - 3,Ligat Ha'al,Hapoel Haifa,Hapoel Tel Aviv,1,0,Sammy Ofer Stadium,S. Ben Avraham,1014740,383,Ligat Ha'al
