season,date,day_of_week,attendance,competition_stage,source_file,home_team,away_team
2009/10,25/10/09,Sunday,3500.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Ahi Nazareth,Hapoel Tel Aviv
2009/10,26/10/09,Monday,14000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Haifa,Beitar Jerusalem
2009/10,01/11/09,Sunday,15000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Tel Aviv,Maccabi Tel Aviv
2009/10,02/11/09,Monday,2500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Beer Sheva,FC Ashdod
2009/10,31/10/09,Saturday,7000.0,regular,ligat_haal_2009_10_attendance.csv,Beitar Jerusalem,Hapoel Haifa
2009/10,31/10/09,Saturday,800.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Acre,Bnei Yehuda Tel Aviv
2009/10,31/10/09,Saturday,250.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Raanana,Hapoel Petah Tikva
2009/10,31/10/09,Saturday,1000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Ramat Gan,Ihud Bnei Sakhnin
2009/10,31/10/09,Saturday,4500.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Haifa,Maccabi Netanya
2009/10,31/10/09,Saturday,500.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Petah Tikva,Maccabi Ahi Nazareth
2009/10,07/11/09,Saturday,4500.0,regular,ligat_haal_2009_10_attendance.csv,Bnei Yehuda Tel Aviv,Hapoel Raanana
2009/10,07/11/09,Saturday,3000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Haifa,Hapoel Acre
2009/10,07/11/09,Saturday,2000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Petah Tikva,Hapoel Ramat Gan
2009/10,07/11/09,Saturday,1000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Ahi Nazareth,Hapoel Beer Sheva
2009/10,07/11/09,Saturday,4000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Netanya,Beitar Jerusalem
2009/10,07/11/09,Saturday,7000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Tel Aviv,Maccabi Petah Tikva
2009/10,08/11/09,Sunday,3500.0,regular,ligat_haal_2009_10_attendance.csv,Ihud Bnei Sakhnin,Hapoel Tel Aviv
