season,rank,player,position,nationality,age,club,appearances,goals,player_url,source,scraped_at
2025/26,17,Adi Yona,Attacking Midfield,Israel,21,Beitar Jerusalem,22,8,https://www.transfermarkt.com/adi-yona/profil/spieler/965996,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.037265+00:00
2025/26,12,Eugene Ansah,Left Winger,Ghana,31,FC Ashdod,24,8,https://www.transfermarkt.com/eugene-ansah/profil/spieler/296681,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.034250+00:00
2025/26,16,Oz Bilu,Second Striker,"Israel, Portugal",25,Maccabi Netanya,24,8,https://www.transfermarkt.com/oz-bilu/profil/spieler/782015,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.037265+00:00
2025/26,15,Igor Zlatanovic,Centre-Forward,Serbia,28,Hapoel Beer Sheva,25,8,https://www.transfermarkt.com/igor-zlatanovic/profil/spieler/343965,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.036265+00:00
2025/26,14,Yair Mordechai,Left Winger,Israel,22,Ironi Kiryat Shmona,26,8,https://www.transfermarkt.com/yair-mordechai/profil/spieler/1138606,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.035250+00:00
2025/26,19,Guy Hadida,Attacking Midfield,"Israel, Portugal",30,Ironi Tiberias,20,7,https://www.transfermarkt.com/guy-hadida/profil/spieler/378972,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.038326+00:00
2025/26,20,Roee David,Central Midfield,"Israel, United States",22,Hapoel Petah Tikva,23,7,https://www.transfermarkt.com/roee-david/profil/spieler/1050293,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.039286+00:00
2025/26,25,Sayed Abu Farkhi,Centre-Forward,Israel,19,Maccabi Tel Aviv,22,6,https://www.transfermarkt.com/sayed-abu-farkhi/profil/spieler/1002520,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.041273+00:00
2025/26,23,Johnbosco Samuel Kalu,Centre-Forward,Nigeria,28,Beitar Jerusalem,23,6,https://www.transfermarkt.com/johnbosco-samuel-kalu/profil/spieler/993537,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.040258+00:00
2025/26,24,Chipyoka Songa,Attacking Midfield,Zambia,21,Hapoel Petah Tikva,23,6,https://www.transfermarkt.com/chipyoka-songa/profil/spieler/1072324,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.040258+00:00
2025/26,21,Maor Levi,Central Midfield,Israel,25,Maccabi Netanya,25,6,https://www.transfermarkt.com/maor-levi/profil/spieler/466538,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.039286+00:00
2025/26,22,Ahmad Salman,Left Winger,Israel,22,Ihud Bnei Sakhnin,25,6,https://www.transfermarkt.com/ahmad-salman/profil/spieler/926927,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025,2026-06-08T09:50:32.039286+00:00
2025/26,36,Basam Zaarura,Central Midfield,Israel,23,Maccabi Netanya,15,5,https://www.transfermarkt.com/basam-zaarura/profil/spieler/929371,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.933305+00:00
2025/26,33,Wilson Harris,Centre-Forward,"United States, Israel",26,Maccabi Netanya,18,5,https://www.transfermarkt.com/wilson-harris/profil/spieler/576847,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.931315+00:00
2025/26,29,Jean Batoum,Centre-Forward,Cameroon,23,FC Ashdod,20,5,https://www.transfermarkt.com/jean-batoum/profil/spieler/1416741,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.928304+00:00
2025/26,32,Dolev Haziza,Left Winger,"Israel, France",30,Maccabi Haifa,20,5,https://www.transfermarkt.com/dolev-haziza/profil/spieler/367633,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.930308+00:00
2025/26,27,Loizos Loizou,Right Winger,Cyprus,22,Hapoel Tel Aviv,21,5,https://www.transfermarkt.com/loizos-loizou/profil/spieler/615033,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.926325+00:00
2025/26,31,Stanislav Bilenkyi,Centre-Forward,Ukraine,27,Ironi Tiberias,21,5,https://www.transfermarkt.com/stanislav-bilenkyi/profil/spieler/511669,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.929315+00:00
2025/26,35,Itamar Shviro,Centre-Forward,"Israel, Germany",27,Ironi Tiberias,22,5,https://www.transfermarkt.com/itamar-shviro/profil/spieler/499382,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.932307+00:00
2025/26,34,Artur Miranyan,Centre-Forward,"Armenia, Ukraine",30,Ihud Bnei Sakhnin,24,5,https://www.transfermarkt.com/artur-miranyan/profil/spieler/213434,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.931315+00:00
2025/26,26,Eliel Peretz,Central Midfield,"Israel, Portugal",29,Hapoel Beer Sheva,25,5,https://www.transfermarkt.com/eliel-peretz/profil/spieler/444018,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.924312+00:00
2025/26,28,Zahi Ahmed,Second Striker,Israel,24,Hapoel Beer Sheva,26,5,https://www.transfermarkt.com/zahi-ahmed/profil/spieler/701300,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.927351+00:00
2025/26,30,Jubayer Bushnak,Left Winger,Israel,22,Ihud Bnei Sakhnin,26,5,https://www.transfermarkt.com/jubayer-bushnak/profil/spieler/928713,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.929315+00:00
2025/26,56,Antonio Sefer,Right Winger,Romania,25,Maccabi Bnei Reineh,11,4,https://www.transfermarkt.com/antonio-sefer/profil/spieler/376571,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.766192+00:00
2025/26,49,Karim Kimvuidi,Attacking Midfield,DR Congo,24,FC Ashdod,18,4,https://www.transfermarkt.com/karim-kimvuidi/profil/spieler/741698,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.940335+00:00
2025/26,53,Roy Korine,Right Winger,"Israel, Portugal",23,Hapoel Tel Aviv,18,4,https://www.transfermarkt.com/roy-korine/profil/spieler/668591,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.765197+00:00
2025/26,44,Yarden Cohen,Left-Back,"Israel, Portugal",29,Beitar Jerusalem,20,4,https://www.transfermarkt.com/yarden-cohen/profil/spieler/459559,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.936359+00:00
2025/26,48,Omri Altman,Second Striker,"Israel, Hungary",32,Hapoel Tel Aviv,20,4,https://www.transfermarkt.com/omri-altman/profil/spieler/185191,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.940335+00:00
2025/26,51,Kenny Saief,Left Midfield,"United States, Israel",32,Maccabi Haifa,20,4,https://www.transfermarkt.com/kenny-saief/profil/spieler/209019,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.764195+00:00
2025/26,52,Awaka Eshata,Defensive Midfield,"Israel, Ethiopia",26,Hapoel Jerusalem,20,4,https://www.transfermarkt.com/awaka-eshata/profil/spieler/538303,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.764195+00:00
2025/26,47,James Adeniyi,Centre-Forward,"Nigeria, Albania",33,,21,4,https://www.transfermarkt.com/james-adeniyi/profil/spieler/244043,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.939308+00:00
2025/26,50,Waheb Habiballah,Right Winger,Israel,28,Ironi Tiberias,21,4,https://www.transfermarkt.com/waheb-habiballah/profil/spieler/533776,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.941302+00:00
2025/26,38,Heri Tavares,Left Winger,"Cape Verde, Portugal",29,Maccabi Netanya,23,4,https://www.transfermarkt.com/heri-tavares/profil/spieler/445517,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.933305+00:00
2025/26,46,Guy Badash,Right Winger,"Israel, Portugal",31,Hapoel Jerusalem,23,4,https://www.transfermarkt.com/guy-badash/profil/spieler/413712,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.938312+00:00
2025/26,37,Kenji Gorré,Left Winger,"Curacao, Netherlands",31,Maccabi Haifa,24,4,https://www.transfermarkt.com/kenji-gorre/profil/spieler/374889,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.933305+00:00
2025/26,42,Roei Alkukin,Central Midfield,"Israel, Portugal",22,Hapoel Tel Aviv,24,4,https://www.transfermarkt.com/roei-alkukin/profil/spieler/967560,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.935303+00:00
2025/26,43,Cédric Don,Central Midfield,Cote d'Ivoire,21,,24,4,https://www.transfermarkt.com/cedric-don/profil/spieler/668940,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.936359+00:00
2025/26,41,Muhammad Abu Rumi,Right Winger,Israel,21,,25,4,https://www.transfermarkt.com/muhammad-abu-rumi/profil/spieler/1078063,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.934306+00:00
2025/26,55,Cristian Martínez,Defensive Midfield,"Panama, United States",29,Ironi Kiryat Shmona,25,4,https://www.transfermarkt.com/cristian-martinez/profil/spieler/419247,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.766192+00:00
2025/26,39,Clé,Left Winger,Cape Verde,28,Hapoel Petah Tikva,26,4,https://www.transfermarkt.com/cletm/profil/spieler/719217,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.934306+00:00
2025/26,40,Timothy Muzie,Right Winger,"Israel, South Africa",24,Beitar Jerusalem,26,4,https://www.transfermarkt.com/timothy-muzie/profil/spieler/838636,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.934306+00:00
2025/26,45,Ariel Sheratzky,Attacking Midfield,"Israel, Romania",24,Ironi Kiryat Shmona,26,4,https://www.transfermarkt.com/ariel-sheratzky/profil/spieler/833604,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/2,2026-06-08T09:50:33.937312+00:00
2025/26,54,Shavit Mazal,Centre-Forward,Israel,24,Hapoel Petah Tikva,26,4,https://www.transfermarkt.com/shavit-mazal/profil/spieler/621383,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.765197+00:00
2025/26,74,Djordje Jovanovic,Centre-Forward,Serbia,27,Maccabi Haifa,12,3,https://www.transfermarkt.com/djordje-jovanovic/profil/spieler/376460,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.777191+00:00
2025/26,60,Ilay Madmon,Central Midfield,"Israel, Spain",22,Hapoel Jerusalem,16,3,https://www.transfermarkt.com/ilay-madmon/profil/spieler/703419,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.770199+00:00
2025/26,73,Amit Lemkin,Attacking Midfield,"Israel, Spain",20,Hapoel Tel Aviv,17,3,https://www.transfermarkt.com/amit-lemkin/profil/spieler/930532,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.776191+00:00
2025/26,69,Elad Madmon,Centre-Forward,Israel,22,Maccabi Tel Aviv,18,3,https://www.transfermarkt.com/elad-madmon/profil/spieler/1079637,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.775195+00:00
2025/26,58,Ofek Biton,Attacking Midfield,Israel,26,Hapoel Haifa,20,3,https://www.transfermarkt.com/ofek-biton/profil/spieler/653832,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.767193+00:00
2025/26,59,Ethane Azoulay,Central Midfield,"Israel, France",23,Maccabi Haifa,20,3,https://www.transfermarkt.com/ethane-azoulay/profil/spieler/668603,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.768197+00:00
2025/26,65,Hélder Lopes,Left-Back,Portugal,37,Hapoel Beer Sheva,21,3,https://www.transfermarkt.com/helder-lopes/profil/spieler/171068,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.774247+00:00
2025/26,66,Rotem Hatuel,Left Winger,Israel,27,Hapoel Haifa,21,3,https://www.transfermarkt.com/rotem-hatuel/profil/spieler/414246,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.774247+00:00
2025/26,68,Ziv Ben Shimol,Attacking Midfield,Israel,22,Beitar Jerusalem,21,3,https://www.transfermarkt.com/ziv-ben-shimol/profil/spieler/1057294,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.775195+00:00
2025/26,64,Andrian Kraev,Central Midfield,Bulgaria,27,Hapoel Tel Aviv,22,3,https://www.transfermarkt.com/andrian-kraev/profil/spieler/820371,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.773212+00:00
2025/26,72,Peter Michael,Centre-Forward,Nigeria,27,Ironi Tiberias,22,3,https://www.transfermarkt.com/peter-michael/profil/spieler/569955,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.776191+00:00
2025/26,57,Sagiv Jehezkel,Right Winger,Israel,31,Maccabi Tel Aviv,23,3,https://www.transfermarkt.com/sagiv-jehezkel/profil/spieler/293603,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.767193+00:00
2025/26,67,Dor Hugi,Left Winger,Israel,30,Beitar Jerusalem,23,3,https://www.transfermarkt.com/dor-hugi/profil/spieler/293602,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.775195+00:00
2025/26,71,Alon Turgeman,Centre-Forward,Israel,34,,23,3,https://www.transfermarkt.com/alon-turgeman/profil/spieler/177249,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.776191+00:00
2025/26,61,Naor Sabag,Central Midfield,"Israel, Portugal",32,Hapoel Haifa,24,3,https://www.transfermarkt.com/naor-sabag/profil/spieler/311890,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.771199+00:00
2025/26,62,Osher Davida,Right Winger,Israel,25,Maccabi Tel Aviv,24,3,https://www.transfermarkt.com/osher-davida/profil/spieler/211847,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.771199+00:00
2025/26,63,Andrew Idoko,Left Winger,Nigeria,20,Hapoel Jerusalem,24,3,https://www.transfermarkt.com/andrew-idoko/profil/spieler/856625,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.773212+00:00
2025/26,70,Ibrahim Diakité,Centre-Back,Cote d'Ivoire,21,FC Ashdod,26,3,https://www.transfermarkt.com/ibrahim-diakite/profil/spieler/1361508,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/3,2026-06-08T09:50:36.775195+00:00
2025/26,99,Emir Sahiti,Right Winger,"Kosovo, Albania",27,Maccabi Tel Aviv,5,2,https://www.transfermarkt.com/emir-sahiti/profil/spieler/403177,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/4,2026-06-08T09:50:40.474293+00:00
2025/26,100,Efmamjjasond González,Centre-Forward,Colombia,26,Beitar Jerusalem,5,2,https://www.transfermarkt.com/efmamjjasond-gonzalez/profil/spieler/840883,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/4,2026-06-08T09:50:40.474293+00:00
2025/26,107,Marko Rakonjac,Centre-Forward,"Montenegro, Serbia",25,Hapoel Jerusalem,7,2,https://www.transfermarkt.com/marko-rakonjac/profil/spieler/457184,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/5,2026-06-08T09:50:42.329116+00:00
2025/26,108,Mor Siman Tov,Right Winger,Israel,22,,7,2,https://www.transfermarkt.com/mor-siman-tov/profil/spieler/976921,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/5,2026-06-08T09:50:42.329116+00:00
2025/26,97,Ion Nicolaescu,Centre-Forward,"Moldova, Romania",27,Maccabi Tel Aviv,9,2,https://www.transfermarkt.com/ion-nicolaescu/profil/spieler/438310,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/4,2026-06-08T09:50:40.473263+00:00
2025/26,98,Ori Azo,Left Winger,"Israel, Portugal",20,FC Ashdod,9,2,https://www.transfermarkt.com/ori-azo/profil/spieler/926481,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/4,2026-06-08T09:50:40.474293+00:00
2025/26,106,Matías Nahuel,Left Winger,"Spain, Argentina",29,Maccabi Haifa,10,2,https://www.transfermarkt.com/matias-nahuel/profil/spieler/263843,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/5,2026-06-08T09:50:42.329116+00:00
2025/26,85,Jocelin Ta Bi,Right Winger,Cote d'Ivoire,20,Hapoel Petah Tikva,12,2,https://www.transfermarkt.com/jocelin-ta-bi/profil/spieler/1322090,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/4,2026-06-08T09:50:40.467257+00:00
2025/26,105,Hamode Kanaan,Attacking Midfield,Israel,26,Hapoel Beer Sheva,13,2,https://www.transfermarkt.com/hamode-kanaan/profil/spieler/467149,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/5,2026-06-08T09:50:42.328115+00:00
2025/26,96,Owusu Kwabena,Left Winger,Ghana,28,Maccabi Bnei Reineh,15,2,https://www.transfermarkt.com/owusu-kwabena/profil/spieler/457782,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/4,2026-06-08T09:50:40.473263+00:00
2025/26,76,Michael Ohana,Attacking Midfield,Israel,30,Maccabi Haifa,16,2,https://www.transfermarkt.com/michael-ohana/profil/spieler/169670,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/4,2026-06-08T09:50:40.464258+00:00
2025/26,104,Nehoray Dabush,Centre-Forward,Israel,21,FC Ashdod,17,2,https://www.transfermarkt.com/nehoray-dabush/profil/spieler/1105821,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/5,2026-06-08T09:50:42.328115+00:00
2025/26,95,Zé Turbo,Centre-Forward,"Guinea-Bissau, Portugal",29,Maccabi Bnei Reineh,18,2,https://www.transfermarkt.com/ze-turbo/profil/spieler/340538,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/4,2026-06-08T09:50:40.473263+00:00
2025/26,94,Mustafa Sheikh Yosef,Central Midfield,Israel,29,Ihud Bnei Sakhnin,19,2,https://www.transfermarkt.com/mustafa-sheikh-yosef/profil/spieler/464797,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/4,2026-06-08T09:50:40.473263+00:00
2025/26,103,Kervin Andrade,Attacking Midfield,Venezuela,20,Maccabi Tel Aviv,19,2,https://www.transfermarkt.com/kervin-andrade/profil/spieler/896338,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/5,2026-06-08T09:50:42.328115+00:00
2025/26,93,Abdoulaye Seck,Centre-Back,Senegal,33,Maccabi Haifa,20,2,https://www.transfermarkt.com/abdoulaye-seck/profil/spieler/265383,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/4,2026-06-08T09:50:40.472311+00:00
2025/26,83,Grigoriy Morozov,Left-Back,"Russia, Israel",31,Beitar Jerusalem,21,2,https://www.transfermarkt.com/grigoriy-morozov/profil/spieler/166275,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/4,2026-06-08T09:50:40.466258+00:00
2025/26,84,Hélio Varela,Left Winger,"Cape Verde, Portugal",23,Maccabi Tel Aviv,21,2,https://www.transfermarkt.com/helio-varela/profil/spieler/840836,https://www.transfermarkt.com/ligat-haal/torschuetzenliste/wettbewerb/ISR1/saison_id/2025/page/4,2026-06-08T09:50:40.467257+00:00
