season,stage,round,team,points,position,goal_diff
2013/14,championship_playoff,33,Hapoel Tel Aviv,52,4,22
2013/14,championship_playoff,33,Maccabi Haifa,48,5,1
2013/14,championship_playoff,33,Bnei Sakhnin,47,6,-3
2013/14,championship_playoff,34,M. Tel Aviv,80,1,43
2013/14,championship_playoff,34,H. Beer Sheva,67,2,26
2013/14,championship_playoff,34,Kiryat Shmona,61,3,20
2013/14,championship_playoff,34,Hapoel Tel Aviv,52,4,21
2013/14,championship_playoff,34,Maccabi Haifa,51,5,3
2013/14,championship_playoff,34,Bnei Sakhnin,47,6,-5
2013/14,championship_playoff,35,M. Tel Aviv,81,1,43
2013/14,championship_playoff,35,H. Beer Sheva,67,2,23
2013/14,championship_playoff,35,Kiryat Shmona,64,3,23
2013/14,championship_playoff,35,Hapoel Tel Aviv,55,4,23
2013/14,championship_playoff,35,Maccabi Haifa,52,5,3
2013/14,championship_playoff,35,Bnei Sakhnin,47,6,-7
2013/14,championship_playoff,36,M. Tel Aviv,84,1,46
2013/14,championship_playoff,36,H. Beer Sheva,68,2,23
2013/14,championship_playoff,36,Kiryat Shmona,64,3,21
2013/14,championship_playoff,36,Hapoel Tel Aviv,58,4,25
2013/14,championship_playoff,36,Maccabi Haifa,53,5,3
2013/14,championship_playoff,36,Bnei Sakhnin,47,6,-10
2014/15,championship_playoff,27,M. Tel Aviv,57,1,34
2014/15,championship_playoff,27,H. Beer Sheva,52,2,26
2014/15,championship_playoff,27,Kiryat Shmona,47,3,12
2014/15,championship_playoff,27,B. Jerusalem,43,4,10
2014/15,championship_playoff,27,M. Petah Tikva,39,5,-5
2014/15,championship_playoff,27,Maccabi Haifa,37,6,8
2014/15,championship_playoff,28,M. Tel Aviv,60,1,36
2014/15,championship_playoff,28,H. Beer Sheva,52,2,24
2014/15,championship_playoff,28,Kiryat Shmona,50,3,13
2014/15,championship_playoff,28,B. Jerusalem,43,4,9
2014/15,championship_playoff,28,Maccabi Haifa,40,5,9
2014/15,championship_playoff,28,M. Petah Tikva,39,6,-6
2014/15,championship_playoff,29,M. Tel Aviv,61,1,36
2014/15,championship_playoff,29,H. Beer Sheva,53,2,24
2014/15,championship_playoff,29,Kiryat Shmona,51,3,13
2014/15,championship_playoff,29,B. Jerusalem,44,4,9
2014/15,championship_playoff,29,Maccabi Haifa,41,5,9
2014/15,championship_playoff,29,M. Petah Tikva,40,6,-6
2014/15,championship_playoff,30,M. Tel Aviv,64,1,39
2014/15,championship_playoff,30,H. Beer Sheva,54,2,24
2014/15,championship_playoff,30,Kiryat Shmona,52,3,13
2014/15,championship_playoff,30,B. Jerusalem,44,4,6
2014/15,championship_playoff,30,Maccabi Haifa,42,5,9
2014/15,championship_playoff,30,M. Petah Tikva,41,6,-6
2014/15,championship_playoff,31,M. Tel Aviv,65,1,39
2014/15,championship_playoff,31,H. Beer Sheva,55,2,24
2014/15,championship_playoff,31,Kiryat Shmona,55,3,14
2014/15,championship_playoff,31,B. Jerusalem,45,4,6
2014/15,championship_playoff,31,Maccabi Haifa,42,5,8
2014/15,championship_playoff,31,M. Petah Tikva,42,6,-6
2014/15,championship_playoff,32,M. Tel Aviv,66,1,39
2014/15,championship_playoff,32,H. Beer Sheva,58,2,25
2014/15,championship_playoff,32,Kiryat Shmona,58,3,15
2014/15,championship_playoff,32,B. Jerusalem,45,4,5
2014/15,championship_playoff,32,Maccabi Haifa,43,5,8
2014/15,championship_playoff,32,M. Petah Tikva,42,6,-7
2014/15,championship_playoff,33,M. Tel Aviv,67,1,39
2014/15,championship_playoff,33,Kiryat Shmona,61,2,17
2014/15,championship_playoff,33,H. Beer Sheva,59,3,25
2014/15,championship_playoff,33,B. Jerusalem,46,4,5
2014/15,championship_playoff,33,Maccabi Haifa,44,5,8
2014/15,championship_playoff,33,M. Petah Tikva,42,6,-9
2014/15,championship_playoff,34,M. Tel Aviv,70,1,40
2014/15,championship_playoff,34,Kiryat Shmona,61,2,16
2014/15,championship_playoff,34,H. Beer Sheva,59,3,21
2014/15,championship_playoff,34,B. Jerusalem,49,4,6
2014/15,championship_playoff,34,Maccabi Haifa,47,5,12
2014/15,championship_playoff,34,M. Petah Tikva,42,6,-10
2014/15,championship_playoff,35,M. Tel Aviv,70,1,37
2014/15,championship_playoff,35,Kiryat Shmona,64,2,18
2014/15,championship_playoff,35,H. Beer Sheva,59,3,19
2014/15,championship_playoff,35,B. Jerusalem,52,4,9
2014/15,championship_playoff,35,Maccabi Haifa,47,5,11
2014/15,championship_playoff,35,M. Petah Tikva,45,6,-9
2014/15,championship_playoff,36,M. Tel Aviv,70,1,35
2014/15,championship_playoff,36,Kiryat Shmona,64,2,15
2014/15,championship_playoff,36,H. Beer Sheva,62,3,23
2014/15,championship_playoff,36,B. Jerusalem,52,4,5
2014/15,championship_playoff,36,Maccabi Haifa,50,5,14
2014/15,championship_playoff,36,M. Petah Tikva,48,6,-7
2015/16,championship_playoff,27,H. Beer Sheva,65,1,31
2015/16,championship_playoff,27,M. Tel Aviv,64,2,40
2015/16,championship_playoff,27,B. Jerusalem,54,3,20
2015/16,championship_playoff,27,Maccabi Haifa,38,4,7
2015/16,championship_playoff,27,Hapoel Raanana,37,5,-2
2015/16,championship_playoff,27,Bnei Sakhnin,36,6,6
2015/16,championship_playoff,28,H. Beer Sheva,66,1,31
2015/16,championship_playoff,28,M. Tel Aviv,65,2,40
2015/16,championship_playoff,28,B. Jerusalem,54,3,18
2015/16,championship_playoff,28,Hapoel Raanana,40,4,1
2015/16,championship_playoff,28,Bnei Sakhnin,39,5,8
2015/16,championship_playoff,28,Maccabi Haifa,38,6,4
2015/16,championship_playoff,29,H. Beer Sheva,69,1,33
2015/16,championship_playoff,29,M. Tel Aviv,68,2,43
2015/16,championship_playoff,29,B. Jerusalem,54,3,16
2015/16,championship_playoff,29,Bnei Sakhnin,40,4,8
2015/16,championship_playoff,29,Hapoel Raanana,40,5,-2
2015/16,championship_playoff,29,Maccabi Haifa,39,6,4
2015/16,championship_playoff,30,M. Tel Aviv,71,1,44
2015/16,championship_playoff,30,H. Beer Sheva,70,2,33
2015/16,championship_playoff,30,B. Jerusalem,54,3,15
2015/16,championship_playoff,30,Bnei Sakhnin,43,4,9
2015/16,championship_playoff,30,Maccabi Haifa,40,5,4
2015/16,championship_playoff,30,Hapoel Raanana,40,6,-3
2015/16,championship_playoff,31,H. Beer Sheva,73,1,36
2015/16,championship_playoff,31,M. Tel Aviv,72,2,44
2015/16,championship_playoff,31,B. Jerusalem,57,3,16
2015/16,championship_playoff,31,Bnei Sakhnin,43,4,6
2015/16,championship_playoff,31,Maccabi Haifa,41,5,4
2015/16,championship_playoff,31,Hapoel Raanana,40,6,-4
2015/16,championship_playoff,32,H. Beer Sheva,76,1,39
2015/16,championship_playoff,32,M. Tel Aviv,73,2,44
2015/16,championship_playoff,32,B. Jerusalem,57,3,15
2015/16,championship_playoff,32,Bnei Sakhnin,44,4,6
2015/16,championship_playoff,32,Maccabi Haifa,44,5,5
2015/16,championship_playoff,32,Hapoel Raanana,40,6,-7
