Season,Date,Matchday,HomeTeam,AwayTeam,Attendance
2008/09,01/11/08,8,Ihud Bnei Sakhnin,Hapoel Petah Tikva,0
2008/09,01/11/08,8,Maccabi Netanya,Bnei Yehuda Tel Aviv,0
2008/09,01/11/08,8,Maccabi Petah Tikva,FC Ashdod,0
2008/09,01/11/08,8,Maccabi Tel Aviv,Ironi Kiryat Shmona,0
2008/09,03/11/08,8,Beitar Jerusalem,Hapoel Tel Aviv,0
2008/09,08/11/08,9,Bnei Yehuda Tel Aviv,Beitar Jerusalem,0
2008/09,08/11/08,9,FC Ashdod,Ihud Bnei Sakhnin,0
2008/09,08/11/08,9,Hapoel Petah Tikva,Maccabi Tel Aviv,0
2008/09,08/11/08,9,Hapoel Tel Aviv,Maccabi Petah Tikva,0
2008/09,08/11/08,9,Ironi Kiryat Shmona,Hakoah Amidar Ramat Gan,0
2008/09,10/11/08,9,Maccabi Haifa,Maccabi Netanya,0
2008/09,15/11/08,10,Hakoah Amidar Ramat Gan,Hapoel Petah Tikva,0
2008/09,15/11/08,10,Ihud Bnei Sakhnin,Hapoel Tel Aviv,0
2008/09,15/11/08,10,Maccabi Haifa,Ironi Kiryat Shmona,0
2008/09,15/11/08,10,Maccabi Petah Tikva,Bnei Yehuda Tel Aviv,0
2008/09,15/11/08,10,Maccabi Tel Aviv,FC Ashdod,0
2008/09,17/11/08,10,Maccabi Netanya,Beitar Jerusalem,0
2008/09,22/11/08,11,Beitar Jerusalem,Maccabi Petah Tikva,0
2008/09,22/11/08,11,Bnei Yehuda Tel Aviv,Ihud Bnei Sakhnin,0
2008/09,22/11/08,11,FC Ashdod,Hakoah Amidar Ramat Gan,0
2008/09,22/11/08,11,Hapoel Petah Tikva,Maccabi Haifa,0
2008/09,22/11/08,11,Ironi Kiryat Shmona,Maccabi Netanya,0
2008/09,24/11/08,11,Hapoel Tel Aviv,Maccabi Tel Aviv,0
2008/09,01/12/08,12,Beitar Jerusalem,Ihud Bnei Sakhnin,0
2008/09,29/11/08,12,Bnei Yehuda Tel Aviv,Maccabi Tel Aviv,0
2008/09,29/11/08,12,FC Ashdod,Maccabi Haifa,0
2008/09,29/11/08,12,Hapoel Petah Tikva,Ironi Kiryat Shmona,0
2008/09,29/11/08,12,Hapoel Tel Aviv,Hakoah Amidar Ramat Gan,0
2008/09,29/11/08,12,Maccabi Netanya,Maccabi Petah Tikva,0
2008/09,06/12/08,13,Hakoah Amidar Ramat Gan,Bnei Yehuda Tel Aviv,0
2008/09,06/12/08,13,Hapoel Petah Tikva,Maccabi Netanya,0
2008/09,06/12/08,13,Ihud Bnei Sakhnin,Maccabi Petah Tikva,0
2008/09,06/12/08,13,Ironi Kiryat Shmona,FC Ashdod,0
2008/09,06/12/08,13,Maccabi Tel Aviv,Beitar Jerusalem,0
2008/09,08/12/08,13,Maccabi Haifa,Hapoel Tel Aviv,0
2008/09,12/12/08,14,Maccabi Netanya,Ihud Bnei Sakhnin,0
2008/09,13/12/08,14,Beitar Jerusalem,Hakoah Amidar Ramat Gan,0
2008/09,13/12/08,14,FC Ashdod,Hapoel Petah Tikva,0
2008/09,13/12/08,14,Hapoel Tel Aviv,Ironi Kiryat Shmona,0
2008/09,13/12/08,14,Maccabi Petah Tikva,Maccabi Tel Aviv,0
2008/09,15/12/08,14,Bnei Yehuda Tel Aviv,Maccabi Haifa,0
2008/09,20/12/08,15,FC Ashdod,Maccabi Netanya,0
2008/09,20/12/08,15,Hakoah Amidar Ramat Gan,Maccabi Petah Tikva,0
2008/09,20/12/08,15,Hapoel Petah Tikva,Hapoel Tel Aviv,0
2008/09,20/12/08,15,Ironi Kiryat Shmona,Bnei Yehuda Tel Aviv,0
2008/09,20/12/08,15,Maccabi Tel Aviv,Ihud Bnei Sakhnin,0
2008/09,22/12/08,15,Maccabi Haifa,Beitar Jerusalem,0
2008/09,17/01/09,16,Beitar Jerusalem,Ironi Kiryat Shmona,0
2008/09,17/01/09,16,Bnei Yehuda Tel Aviv,Hapoel Petah Tikva,0
2008/09,17/01/09,16,Hapoel Tel Aviv,FC Ashdod,0
2008/09,17/01/09,16,Ihud Bnei Sakhnin,Hakoah Amidar Ramat Gan,0
2008/09,17/01/09,16,Maccabi Petah Tikva,Maccabi Haifa,0
2008/09,19/01/09,16,Maccabi Netanya,Maccabi Tel Aviv,0
2008/09,24/01/09,17,FC Ashdod,Bnei Yehuda Tel Aviv,0
2008/09,24/01/09,17,Hakoah Amidar Ramat Gan,Maccabi Tel Aviv,0
2008/09,24/01/09,17,Hapoel Petah Tikva,Beitar Jerusalem,0
2008/09,24/01/09,17,Ironi Kiryat Shmona,Maccabi Petah Tikva,0
2008/09,24/01/09,17,Maccabi Haifa,Ihud Bnei Sakhnin,0
2008/09,26/01/09,17,Hapoel Tel Aviv,Maccabi Netanya,0
2008/09,02/02/09,18,Maccabi Tel Aviv,Maccabi Haifa,0
2008/09,31/01/09,18,Beitar Jerusalem,FC Ashdod,0
2008/09,31/01/09,18,Bnei Yehuda Tel Aviv,Hapoel Tel Aviv,0
2008/09,31/01/09,18,Ihud Bnei Sakhnin,Ironi Kiryat Shmona,0
2008/09,31/01/09,18,Maccabi Netanya,Hakoah Amidar Ramat Gan,0
2008/09,31/01/09,18,Maccabi Petah Tikva,Hapoel Petah Tikva,0
2008/09,07/02/09,19,Bnei Yehuda Tel Aviv,Maccabi Netanya,0
2008/09,07/02/09,19,FC Ashdod,Maccabi Petah Tikva,0
2008/09,07/02/09,19,Hapoel Petah Tikva,Ihud Bnei Sakhnin,0
2008/09,07/02/09,19,Ironi Kiryat Shmona,Maccabi Tel Aviv,0
2008/09,07/02/09,19,Maccabi Haifa,Hakoah Amidar Ramat Gan,0
2008/09,09/02/09,19,Hapoel Tel Aviv,Beitar Jerusalem,0
2008/09,21/02/09,20,Beitar Jerusalem,Bnei Yehuda Tel Aviv,0
2008/09,21/02/09,20,Hakoah Amidar Ramat Gan,Ironi Kiryat Shmona,0
2008/09,21/02/09,20,Ihud Bnei Sakhnin,FC Ashdod,0
2008/09,21/02/09,20,Maccabi Petah Tikva,Hapoel Tel Aviv,0
2008/09,21/02/09,20,Maccabi Tel Aviv,Hapoel Petah Tikva,0
2008/09,23/02/09,20,Maccabi Netanya,Maccabi Haifa,0
2008/09,02/03/09,21,Beitar Jerusalem,Maccabi Netanya,0
2008/09,28/02/09,21,Bnei Yehuda Tel Aviv,Maccabi Petah Tikva,0
2008/09,28/02/09,21,FC Ashdod,Maccabi Tel Aviv,0
2008/09,28/02/09,21,Hapoel Petah Tikva,Hakoah Amidar Ramat Gan,0
2008/09,28/02/09,21,Hapoel Tel Aviv,Ihud Bnei Sakhnin,0
2008/09,28/02/09,21,Ironi Kiryat Shmona,Maccabi Haifa,0
2008/09,07/03/09,22,Hakoah Amidar Ramat Gan,FC Ashdod,0
2008/09,07/03/09,22,Ihud Bnei Sakhnin,Bnei Yehuda Tel Aviv,0
2008/09,07/03/09,22,Maccabi Haifa,Hapoel Petah Tikva,0
2008/09,07/03/09,22,Maccabi Netanya,Ironi Kiryat Shmona,0
2008/09,07/03/09,22,Maccabi Petah Tikva,Beitar Jerusalem,0
2008/09,09/03/09,22,Maccabi Tel Aviv,Hapoel Tel Aviv,0
2008/09,14/03/09,23,FC Ashdod,Ironi Kiryat Shmona,0
2008/09,14/03/09,23,Hapoel Petah Tikva,Maccabi Tel Aviv,0
2008/09,14/03/09,23,Maccabi Netanya,Hakoah Amidar Ramat Gan,0
2008/09,14/03/09,23,Maccabi Petah Tikva,Ihud Bnei Sakhnin,0
2008/09,15/03/09,23,Bnei Yehuda Tel Aviv,Maccabi Haifa,0
2008/09,16/03/09,23,Beitar Jerusalem,Hapoel Tel Aviv,0
2008/09,21/03/09,24,Hakoah Amidar Ramat Gan,Maccabi Tel Aviv,0
2008/09,21/03/09,24,Hapoel Tel Aviv,Bnei Yehuda Tel Aviv,0
2008/09,21/03/09,24,Ihud Bnei Sakhnin,FC Ashdod,0
2008/09,21/03/09,24,Ironi Kiryat Shmona,Hapoel Petah Tikva,0
2008/09,21/03/09,24,Maccabi Haifa,Maccabi Petah Tikva,0
2008/09,22/03/09,24,Maccabi Netanya,Beitar Jerusalem,0
2008/09,04/04/09,25,Beitar Jerusalem,Hakoah Amidar Ramat Gan,0
2008/09,04/04/09,25,Bnei Yehuda Tel Aviv,Maccabi Netanya,0
2008/09,04/04/09,25,Hapoel Petah Tikva,Ihud Bnei Sakhnin,0
2008/09,04/04/09,25,Maccabi Petah Tikva,Hapoel Tel Aviv,0
2008/09,04/04/09,25,Maccabi Tel Aviv,Ironi Kiryat Shmona,0
2008/09,06/04/09,25,FC Ashdod,Maccabi Haifa,0
2008/09,11/04/09,26,Hakoah Amidar Ramat Gan,Ironi Kiryat Shmona,0
2008/09,11/04/09,26,Hapoel Tel Aviv,FC Ashdod,0
2008/09,11/04/09,26,Ihud Bnei Sakhnin,Maccabi Tel Aviv,0
2008/09,11/04/09,26,Maccabi Haifa,Hapoel Petah Tikva,0
2008/09,11/04/09,26,Maccabi Netanya,Maccabi Petah Tikva,0
2008/09,13/04/09,26,Beitar Jerusalem,Bnei Yehuda Tel Aviv,0
2008/09,18/04/09,27,Bnei Yehuda Tel Aviv,Hakoah Amidar Ramat Gan,0
2008/09,18/04/09,27,FC Ashdod,Maccabi Netanya,0
2008/09,18/04/09,27,Hapoel Petah Tikva,Hapoel Tel Aviv,0
2008/09,18/04/09,27,Ironi Kiryat Shmona,Ihud Bnei Sakhnin,0
2008/09,18/04/09,27,Maccabi Petah Tikva,Beitar Jerusalem,0
2008/09,19/04/09,27,Maccabi Tel Aviv,Maccabi Haifa,0
2008/09,25/04/09,28,Beitar Jerusalem,FC Ashdod,0
2008/09,25/04/09,28,Bnei Yehuda Tel Aviv,Maccabi Petah Tikva,0
2008/09,25/04/09,28,Hakoah Amidar Ramat Gan,Ihud Bnei Sakhnin,0
2008/09,25/04/09,28,Maccabi Haifa,Ironi Kiryat Shmona,0
2008/09,25/04/09,28,Maccabi Netanya,Hapoel Petah Tikva,0
2008/09,26/04/09,28,Hapoel Tel Aviv,Maccabi Tel Aviv,0
2008/09,02/05/09,29,FC Ashdod,Bnei Yehuda Tel Aviv,0
2008/09,02/05/09,29,Hapoel Petah Tikva,Beitar Jerusalem,0
2008/09,02/05/09,29,Ironi Kiryat Shmona,Hapoel Tel Aviv,0
2008/09,02/05/09,29,Maccabi Petah Tikva,Hakoah Amidar Ramat Gan,0
2008/09,02/05/09,29,Maccabi Tel Aviv,Maccabi Netanya,0
2008/09,04/05/09,29,Ihud Bnei Sakhnin,Maccabi Haifa,0
2008/09,09/05/09,30,Beitar Jerusalem,Maccabi Tel Aviv,0
2008/09,09/05/09,30,Bnei Yehuda Tel Aviv,Hapoel Petah Tikva,0
2008/09,09/05/09,30,Maccabi Haifa,Hakoah Amidar Ramat Gan,0
2008/09,09/05/09,30,Maccabi Netanya,Ironi Kiryat Shmona,0
2008/09,09/05/09,30,Maccabi Petah Tikva,FC Ashdod,0
2008/09,11/05/09,30,Hapoel Tel Aviv,Ihud Bnei Sakhnin,0
2008/09,16/05/09,31,Hakoah Amidar Ramat Gan,FC Ashdod,0
2008/09,16/05/09,31,Hapoel Petah Tikva,Maccabi Petah Tikva,0
2008/09,16/05/09,31,Ihud Bnei Sakhnin,Maccabi Netanya,0
2008/09,16/05/09,31,Ironi Kiryat Shmona,Beitar Jerusalem,0
2008/09,16/05/09,31,Maccabi Tel Aviv,Bnei Yehuda Tel Aviv,0
2008/09,18/05/09,31,Maccabi Haifa,Hapoel Tel Aviv,0
2008/09,23/05/09,32,Beitar Jerusalem,Ihud Bnei Sakhnin,0
2008/09,23/05/09,32,Bnei Yehuda Tel Aviv,Ironi Kiryat Shmona,0
2008/09,23/05/09,32,FC Ashdod,Hapoel Petah Tikva,0
2008/09,23/05/09,32,Maccabi Netanya,Maccabi Haifa,0
2008/09,23/05/09,32,Maccabi Petah Tikva,Maccabi Tel Aviv,0
2008/09,25/05/09,32,Hapoel Tel Aviv,Hakoah Amidar Ramat Gan,0
2008/09,01/06/09,33,Maccabi Haifa,Beitar Jerusalem,0
2008/09,30/05/09,33,Hakoah Amidar Ramat Gan,Hapoel Petah Tikva,0
2008/09,30/05/09,33,Hapoel Tel Aviv,Maccabi Netanya,0
2008/09,30/05/09,33,Ihud Bnei Sakhnin,Bnei Yehuda Tel Aviv,0
2008/09,30/05/09,33,Ironi Kiryat Shmona,Maccabi Petah Tikva,0
2008/09,30/05/09,33,Maccabi Tel Aviv,FC Ashdod,0
