season,stage,local_round,global_round,team,rank_snap,position,points,survival_line_points,gap_to_survival,rank_floor,is_in_relegation_race,relegation_race_method
2006/07,regular,10,10,Bnei Yehuda,9,9,9.0,6.0,3.0,6,True,full_season_no_playoff
2006/07,regular,10,10,Hakoah Amidar,10,10,7.0,6.0,1.0,6,True,full_season_no_playoff
2006/07,regular,10,10,Maccabi Herzlya,11,11,6.0,6.0,0.0,6,True,full_season_no_playoff
2006/07,regular,10,10,H. Petah Tikva,12,12,2.0,6.0,4.0,6,True,full_season_no_playoff
2006/07,regular,11,11,B. Jerusalem,1,1,23.0,7.0,16.0,6,False,full_season_no_playoff
2006/07,regular,11,11,M. Petah Tikva,2,2,22.0,7.0,15.0,6,False,full_season_no_playoff
2006/07,regular,11,11,FC Ashdod,3,3,21.0,7.0,14.0,6,False,full_season_no_playoff
2006/07,regular,11,11,M. Tel Aviv,4,4,18.0,7.0,11.0,6,False,full_season_no_playoff
2006/07,regular,11,11,Hapoel Tel Aviv,5,5,17.0,7.0,10.0,6,False,full_season_no_playoff
2006/07,regular,11,11,Maccabi Haifa,6,6,17.0,7.0,10.0,6,False,full_season_no_playoff
2006/07,regular,11,11,H. Kfar Saba,7,7,16.0,7.0,9.0,6,False,full_season_no_playoff
2006/07,regular,11,11,Maccabi Netanya,8,8,16.0,7.0,9.0,6,False,full_season_no_playoff
2006/07,regular,11,11,Bnei Yehuda,9,9,9.0,7.0,2.0,6,True,full_season_no_playoff
2006/07,regular,11,11,Maccabi Herzlya,10,10,9.0,7.0,2.0,6,True,full_season_no_playoff
2006/07,regular,11,11,Hakoah Amidar,11,11,7.0,7.0,0.0,6,True,full_season_no_playoff
2006/07,regular,11,11,H. Petah Tikva,12,12,2.0,7.0,5.0,6,True,full_season_no_playoff
2006/07,regular,12,12,B. Jerusalem,1,1,24.0,8.0,16.0,6,False,full_season_no_playoff
2006/07,regular,12,12,FC Ashdod,2,2,24.0,8.0,16.0,6,False,full_season_no_playoff
2006/07,regular,12,12,M. Petah Tikva,3,3,23.0,8.0,15.0,6,False,full_season_no_playoff
2006/07,regular,12,12,Hapoel Tel Aviv,4,4,20.0,8.0,12.0,6,False,full_season_no_playoff
2006/07,regular,12,12,Maccabi Haifa,5,5,20.0,8.0,12.0,6,False,full_season_no_playoff
2006/07,regular,12,12,M. Tel Aviv,6,6,19.0,8.0,11.0,6,False,full_season_no_playoff
2006/07,regular,12,12,H. Kfar Saba,7,7,17.0,8.0,9.0,6,False,full_season_no_playoff
2006/07,regular,12,12,Maccabi Netanya,8,8,16.0,8.0,8.0,6,False,full_season_no_playoff
2006/07,regular,12,12,Bnei Yehuda,9,9,9.0,8.0,1.0,6,True,full_season_no_playoff
2006/07,regular,12,12,Maccabi Herzlya,10,10,9.0,8.0,1.0,6,True,full_season_no_playoff
2006/07,regular,12,12,Hakoah Amidar,11,11,8.0,8.0,0.0,6,True,full_season_no_playoff
2006/07,regular,12,12,H. Petah Tikva,12,12,3.0,8.0,5.0,6,True,full_season_no_playoff
2006/07,regular,13,13,B. Jerusalem,1,1,25.0,9.0,16.0,6,False,full_season_no_playoff
2006/07,regular,13,13,FC Ashdod,2,2,25.0,9.0,16.0,6,False,full_season_no_playoff
2006/07,regular,13,13,M. Petah Tikva,3,3,24.0,9.0,15.0,6,False,full_season_no_playoff
2006/07,regular,13,13,Hapoel Tel Aviv,4,4,21.0,9.0,12.0,6,False,full_season_no_playoff
2006/07,regular,13,13,Maccabi Haifa,5,5,21.0,9.0,12.0,6,False,full_season_no_playoff
2006/07,regular,13,13,M. Tel Aviv,6,6,20.0,9.0,11.0,6,False,full_season_no_playoff
2006/07,regular,13,13,H. Kfar Saba,7,7,18.0,9.0,9.0,6,False,full_season_no_playoff
2006/07,regular,13,13,Maccabi Netanya,8,8,17.0,9.0,8.0,6,False,full_season_no_playoff
2006/07,regular,13,13,Bnei Yehuda,9,9,10.0,9.0,1.0,6,True,full_season_no_playoff
2006/07,regular,13,13,Maccabi Herzlya,10,9,10.0,9.0,1.0,6,True,full_season_no_playoff
2006/07,regular,13,13,Hakoah Amidar,11,11,9.0,9.0,0.0,6,True,full_season_no_playoff
2006/07,regular,13,13,H. Petah Tikva,12,12,4.0,9.0,5.0,6,True,full_season_no_playoff
2006/07,regular,14,14,B. Jerusalem,1,1,28.0,9.0,19.0,6,False,full_season_no_playoff
2006/07,regular,14,14,FC Ashdod,2,2,28.0,9.0,19.0,6,False,full_season_no_playoff
2006/07,regular,14,14,Hapoel Tel Aviv,3,3,24.0,9.0,15.0,6,False,full_season_no_playoff
2006/07,regular,14,14,M. Petah Tikva,4,4,24.0,9.0,15.0,6,False,full_season_no_playoff
2006/07,regular,14,14,Maccabi Haifa,5,5,24.0,9.0,15.0,6,False,full_season_no_playoff
2006/07,regular,14,14,M. Tel Aviv,6,6,21.0,9.0,12.0,6,False,full_season_no_playoff
2006/07,regular,14,14,H. Kfar Saba,7,7,18.0,9.0,9.0,6,False,full_season_no_playoff
2006/07,regular,14,14,Maccabi Netanya,8,8,18.0,9.0,9.0,6,False,full_season_no_playoff
2006/07,regular,14,14,Bnei Yehuda,9,9,11.0,9.0,2.0,6,True,full_season_no_playoff
2006/07,regular,14,14,Maccabi Herzlya,10,9,11.0,9.0,2.0,6,True,full_season_no_playoff
2006/07,regular,14,14,Hakoah Amidar,11,11,9.0,9.0,0.0,6,True,full_season_no_playoff
2006/07,regular,14,14,H. Petah Tikva,12,12,4.0,9.0,5.0,6,True,full_season_no_playoff
2006/07,regular,15,15,B. Jerusalem,1,1,31.0,9.0,22.0,6,False,full_season_no_playoff
2006/07,regular,15,15,FC Ashdod,2,2,29.0,9.0,20.0,6,False,full_season_no_playoff
2006/07,regular,15,15,Hapoel Tel Aviv,3,3,27.0,9.0,18.0,6,False,full_season_no_playoff
2006/07,regular,15,15,M. Petah Tikva,4,4,27.0,9.0,18.0,6,False,full_season_no_playoff
2006/07,regular,15,15,Maccabi Haifa,5,5,24.0,9.0,15.0,6,False,full_season_no_playoff
2006/07,regular,15,15,M. Tel Aviv,6,6,22.0,9.0,13.0,6,False,full_season_no_playoff
2006/07,regular,15,15,Maccabi Netanya,7,7,21.0,9.0,12.0,6,False,full_season_no_playoff
2006/07,regular,15,15,H. Kfar Saba,8,8,18.0,9.0,9.0,6,False,full_season_no_playoff
2006/07,regular,15,15,Bnei Yehuda,9,9,14.0,9.0,5.0,6,True,full_season_no_playoff
2006/07,regular,15,15,Maccabi Herzlya,10,10,11.0,9.0,2.0,6,True,full_season_no_playoff
2006/07,regular,15,15,Hakoah Amidar,11,11,9.0,9.0,0.0,6,True,full_season_no_playoff
2006/07,regular,15,15,H. Petah Tikva,12,12,4.0,9.0,5.0,6,True,full_season_no_playoff
2006/07,regular,16,16,B. Jerusalem,1,1,32.0,11.0,21.0,6,False,full_season_no_playoff
2006/07,regular,16,16,FC Ashdod,2,2,30.0,11.0,19.0,6,False,full_season_no_playoff
2006/07,regular,16,16,Hapoel Tel Aviv,3,3,27.0,11.0,16.0,6,False,full_season_no_playoff
2006/07,regular,16,16,M. Petah Tikva,4,4,27.0,11.0,16.0,6,False,full_season_no_playoff
2006/07,regular,16,16,Maccabi Haifa,5,5,27.0,11.0,16.0,6,False,full_season_no_playoff
2006/07,regular,16,16,M. Tel Aviv,6,6,25.0,11.0,14.0,6,False,full_season_no_playoff
2006/07,regular,16,16,Maccabi Netanya,7,7,22.0,11.0,11.0,6,False,full_season_no_playoff
2006/07,regular,16,16,H. Kfar Saba,8,8,19.0,11.0,8.0,6,False,full_season_no_playoff
2006/07,regular,16,16,Bnei Yehuda,9,9,15.0,11.0,4.0,6,True,full_season_no_playoff
2006/07,regular,16,16,Hakoah Amidar,10,10,12.0,11.0,1.0,6,True,full_season_no_playoff
2006/07,regular,16,16,Maccabi Herzlya,11,11,11.0,11.0,0.0,6,True,full_season_no_playoff
2006/07,regular,16,16,H. Petah Tikva,12,12,5.0,11.0,6.0,6,True,full_season_no_playoff
2006/07,regular,17,17,B. Jerusalem,1,1,32.0,14.0,18.0,6,False,full_season_no_playoff
2006/07,regular,17,17,Hapoel Tel Aviv,2,2,30.0,14.0,16.0,6,False,full_season_no_playoff
2006/07,regular,17,17,FC Ashdod,3,3,30.0,14.0,16.0,6,False,full_season_no_playoff
2006/07,regular,17,17,M. Petah Tikva,4,4,27.0,14.0,13.0,6,False,full_season_no_playoff
2006/07,regular,17,17,Maccabi Haifa,5,5,27.0,14.0,13.0,6,False,full_season_no_playoff
2006/07,regular,17,17,M. Tel Aviv,6,6,26.0,14.0,12.0,6,False,full_season_no_playoff
2006/07,regular,17,17,Maccabi Netanya,7,7,25.0,14.0,11.0,6,False,full_season_no_playoff
2006/07,regular,17,17,H. Kfar Saba,8,8,22.0,14.0,8.0,6,False,full_season_no_playoff
2006/07,regular,17,17,Bnei Yehuda,9,9,16.0,14.0,2.0,6,True,full_season_no_playoff
2006/07,regular,17,17,Hakoah Amidar,10,10,15.0,14.0,1.0,6,True,full_season_no_playoff
2006/07,regular,17,17,Maccabi Herzlya,11,11,14.0,14.0,0.0,6,True,full_season_no_playoff
2006/07,regular,17,17,H. Petah Tikva,12,12,5.0,14.0,9.0,6,False,full_season_no_playoff
2006/07,regular,18,18,B. Jerusalem,1,1,35.0,15.0,20.0,6,False,full_season_no_playoff
2006/07,regular,18,18,Hapoel Tel Aviv,2,2,31.0,15.0,16.0,6,False,full_season_no_playoff
2006/07,regular,18,18,FC Ashdod,3,3,30.0,15.0,15.0,6,False,full_season_no_playoff
2006/07,regular,18,18,Maccabi Netanya,4,4,28.0,15.0,13.0,6,False,full_season_no_playoff
2006/07,regular,18,18,M. Tel Aviv,5,5,27.0,15.0,12.0,6,False,full_season_no_playoff
2006/07,regular,18,18,M. Petah Tikva,6,6,27.0,15.0,12.0,6,False,full_season_no_playoff
2006/07,regular,18,18,Maccabi Haifa,7,7,27.0,15.0,12.0,6,False,full_season_no_playoff
2006/07,regular,18,18,H. Kfar Saba,8,8,22.0,15.0,7.0,6,False,full_season_no_playoff
2006/07,regular,18,18,Bnei Yehuda,9,9,19.0,15.0,4.0,6,True,full_season_no_playoff
2006/07,regular,18,18,Maccabi Herzlya,10,10,17.0,15.0,2.0,6,True,full_season_no_playoff
2006/07,regular,18,18,Hakoah Amidar,11,11,15.0,15.0,0.0,6,True,full_season_no_playoff
2006/07,regular,18,18,H. Petah Tikva,12,12,8.0,15.0,7.0,6,False,full_season_no_playoff
2006/07,regular,19,19,B. Jerusalem,1,1,38.0,15.0,23.0,6,False,full_season_no_playoff
2006/07,regular,19,19,Hapoel Tel Aviv,2,2,32.0,15.0,17.0,6,False,full_season_no_playoff
2006/07,regular,19,19,M. Tel Aviv,3,3,30.0,15.0,15.0,6,False,full_season_no_playoff
2006/07,regular,19,19,FC Ashdod,4,4,30.0,15.0,15.0,6,False,full_season_no_playoff
2006/07,regular,19,19,M. Petah Tikva,5,5,30.0,15.0,15.0,6,False,full_season_no_playoff
2006/07,regular,19,19,Maccabi Netanya,6,6,29.0,15.0,14.0,6,False,full_season_no_playoff
2006/07,regular,19,19,Maccabi Haifa,7,7,27.0,15.0,12.0,6,False,full_season_no_playoff
2006/07,regular,19,19,H. Kfar Saba,8,8,23.0,15.0,8.0,6,False,full_season_no_playoff
2006/07,regular,19,19,Bnei Yehuda,9,9,20.0,15.0,5.0,6,True,full_season_no_playoff
2006/07,regular,19,19,Maccabi Herzlya,10,10,18.0,15.0,3.0,6,True,full_season_no_playoff
2006/07,regular,19,19,Hakoah Amidar,11,11,15.0,15.0,0.0,6,True,full_season_no_playoff
2006/07,regular,19,19,H. Petah Tikva,12,12,9.0,15.0,6.0,6,True,full_season_no_playoff
2006/07,regular,20,20,B. Jerusalem,1,1,39.0,18.0,21.0,6,False,full_season_no_playoff
2006/07,regular,20,20,Hapoel Tel Aviv,2,2,33.0,18.0,15.0,6,False,full_season_no_playoff
2006/07,regular,20,20,M. Tel Aviv,3,3,33.0,18.0,15.0,6,False,full_season_no_playoff
2006/07,regular,20,20,FC Ashdod,4,4,31.0,18.0,13.0,6,False,full_season_no_playoff
2006/07,regular,20,20,M. Petah Tikva,5,5,31.0,18.0,13.0,6,False,full_season_no_playoff
2006/07,regular,20,20,Maccabi Netanya,6,6,30.0,18.0,12.0,6,False,full_season_no_playoff
2006/07,regular,20,20,Maccabi Haifa,7,7,30.0,18.0,12.0,6,False,full_season_no_playoff
2006/07,regular,20,20,H. Kfar Saba,8,8,23.0,18.0,5.0,6,True,full_season_no_playoff
2006/07,regular,20,20,Bnei Yehuda,9,9,21.0,18.0,3.0,6,True,full_season_no_playoff
2006/07,regular,20,20,Maccabi Herzlya,10,10,18.0,18.0,0.0,6,True,full_season_no_playoff
2006/07,regular,20,20,Hakoah Amidar,11,11,18.0,18.0,0.0,6,True,full_season_no_playoff
2006/07,regular,20,20,H. Petah Tikva,12,12,9.0,18.0,9.0,6,False,full_season_no_playoff
2006/07,regular,21,21,B. Jerusalem,1,1,42.0,18.0,24.0,6,False,full_season_no_playoff
2006/07,regular,21,21,Hapoel Tel Aviv,2,2,36.0,18.0,18.0,6,False,full_season_no_playoff
2006/07,regular,21,21,M. Tel Aviv,3,3,34.0,18.0,16.0,6,False,full_season_no_playoff
2006/07,regular,21,21,Maccabi Netanya,4,4,33.0,18.0,15.0,6,False,full_season_no_playoff
2006/07,regular,21,21,FC Ashdod,5,5,31.0,18.0,13.0,6,False,full_season_no_playoff
2006/07,regular,21,21,M. Petah Tikva,6,6,31.0,18.0,13.0,6,False,full_season_no_playoff
2006/07,regular,21,21,Maccabi Haifa,7,7,31.0,18.0,13.0,6,False,full_season_no_playoff
2006/07,regular,21,21,H. Kfar Saba,8,8,26.0,18.0,8.0,6,False,full_season_no_playoff
2006/07,regular,21,21,Bnei Yehuda,9,9,24.0,18.0,6.0,6,True,full_season_no_playoff
2006/07,regular,21,21,Hakoah Amidar,10,11,18.0,18.0,0.0,6,True,full_season_no_playoff
2006/07,regular,21,21,Maccabi Herzlya,11,10,18.0,18.0,0.0,6,True,full_season_no_playoff
2006/07,regular,21,21,H. Petah Tikva,12,12,9.0,18.0,9.0,6,False,full_season_no_playoff
2006/07,regular,22,22,B. Jerusalem,1,1,43.0,18.0,25.0,6,False,full_season_no_playoff
2006/07,regular,22,22,Hapoel Tel Aviv,2,2,39.0,18.0,21.0,6,False,full_season_no_playoff
2006/07,regular,22,22,M. Tel Aviv,3,3,37.0,18.0,19.0,6,False,full_season_no_playoff
2006/07,regular,22,22,Maccabi Netanya,4,4,36.0,18.0,18.0,6,False,full_season_no_playoff
2006/07,regular,22,22,FC Ashdod,5,5,34.0,18.0,16.0,6,False,full_season_no_playoff
2006/07,regular,22,22,Maccabi Haifa,6,6,32.0,18.0,14.0,6,False,full_season_no_playoff
2006/07,regular,22,22,M. Petah Tikva,7,7,31.0,18.0,13.0,6,False,full_season_no_playoff
2006/07,regular,22,22,H. Kfar Saba,8,8,27.0,18.0,9.0,6,False,full_season_no_playoff
2006/07,regular,22,22,Bnei Yehuda,9,9,25.0,18.0,7.0,6,False,full_season_no_playoff
2006/07,regular,22,22,Maccabi Herzlya,10,10,18.0,18.0,0.0,6,True,full_season_no_playoff
2006/07,regular,22,22,Hakoah Amidar,11,11,18.0,18.0,0.0,6,True,full_season_no_playoff
2006/07,regular,22,22,H. Petah Tikva,12,12,9.0,18.0,9.0,6,False,full_season_no_playoff
