season,stage,local_round,global_round,leader,leader_points,runner_up,runner_up_points,gap_1st_2nd,remaining_rounds,points_available,is_title_decided_after_round,title_decision_method
2006/07,regular,29,29,B. Jerusalem,58.0,M. Tel Aviv,48.0,10.0,4,12,False,full_season_no_playoff
2006/07,regular,30,30,B. Jerusalem,61.0,M. Tel Aviv,51.0,10.0,3,9,True,full_season_no_playoff
2006/07,regular,31,31,B. Jerusalem,64.0,M. Tel Aviv,54.0,10.0,2,6,True,full_season_no_playoff
2006/07,regular,32,32,B. Jerusalem,67.0,M. Tel Aviv,54.0,13.0,1,3,True,full_season_no_playoff
2006/07,regular,33,33,B. Jerusalem,67.0,Maccabi Netanya,57.0,10.0,0,0,True,full_season_no_playoff
2007/08,regular,1,1,B. Jerusalem,3.0,Kiryat Shmona,3.0,0.0,32,96,False,full_season_no_playoff
2007/08,regular,2,2,B. Jerusalem,6.0,Kiryat Shmona,4.0,2.0,31,93,False,full_season_no_playoff
2007/08,regular,3,3,B. Jerusalem,9.0,Kiryat Shmona,7.0,2.0,30,90,False,full_season_no_playoff
2007/08,regular,4,4,B. Jerusalem,10.0,M. Petah Tikva,9.0,1.0,29,87,False,full_season_no_playoff
2007/08,regular,5,5,B. Jerusalem,13.0,Maccabi Netanya,10.0,3.0,28,84,False,full_season_no_playoff
2007/08,regular,6,6,B. Jerusalem,16.0,Maccabi Netanya,13.0,3.0,27,81,False,full_season_no_playoff
2007/08,regular,7,7,B. Jerusalem,19.0,Maccabi Netanya,16.0,3.0,26,78,False,full_season_no_playoff
2007/08,regular,8,8,B. Jerusalem,20.0,Maccabi Netanya,17.0,3.0,25,75,False,full_season_no_playoff
2007/08,regular,9,9,B. Jerusalem,21.0,Bnei Sakhnin,18.0,3.0,24,72,False,full_season_no_playoff
2007/08,regular,10,10,B. Jerusalem,24.0,M. Petah Tikva,19.0,5.0,23,69,False,full_season_no_playoff
2007/08,regular,11,11,B. Jerusalem,27.0,M. Petah Tikva,22.0,5.0,22,66,False,full_season_no_playoff
2007/08,regular,12,12,B. Jerusalem,30.0,Maccabi Netanya,23.0,7.0,21,63,False,full_season_no_playoff
2007/08,regular,13,13,B. Jerusalem,33.0,Maccabi Netanya,24.0,9.0,20,60,False,full_season_no_playoff
2007/08,regular,14,14,B. Jerusalem,34.0,Maccabi Netanya,25.0,9.0,19,57,False,full_season_no_playoff
2007/08,regular,15,15,B. Jerusalem,34.0,Maccabi Netanya,28.0,6.0,18,54,False,full_season_no_playoff
2007/08,regular,16,16,B. Jerusalem,37.0,Maccabi Haifa,30.0,7.0,17,51,False,full_season_no_playoff
2007/08,regular,17,17,B. Jerusalem,40.0,Maccabi Netanya,32.0,8.0,16,48,False,full_season_no_playoff
2007/08,regular,18,18,B. Jerusalem,41.0,Maccabi Netanya,35.0,6.0,15,45,False,full_season_no_playoff
2007/08,regular,19,19,B. Jerusalem,44.0,Maccabi Netanya,36.0,8.0,14,42,False,full_season_no_playoff
2007/08,regular,20,20,B. Jerusalem,47.0,Maccabi Netanya,39.0,8.0,13,39,False,full_season_no_playoff
2007/08,regular,21,21,B. Jerusalem,50.0,Maccabi Netanya,39.0,11.0,12,36,False,full_season_no_playoff
2007/08,regular,22,22,B. Jerusalem,51.0,Maccabi Netanya,40.0,11.0,11,33,False,full_season_no_playoff
2007/08,regular,23,23,B. Jerusalem,54.0,Maccabi Netanya,41.0,13.0,10,30,False,full_season_no_playoff
2007/08,regular,24,24,B. Jerusalem,57.0,Maccabi Netanya,41.0,16.0,9,27,False,full_season_no_playoff
2007/08,regular,25,25,B. Jerusalem,60.0,Maccabi Netanya,44.0,16.0,8,24,False,full_season_no_playoff
2007/08,regular,26,26,B. Jerusalem,61.0,Maccabi Netanya,45.0,16.0,7,21,False,full_season_no_playoff
2007/08,regular,27,27,B. Jerusalem,61.0,Maccabi Netanya,46.0,15.0,6,18,False,full_season_no_playoff
2007/08,regular,28,28,B. Jerusalem,64.0,Maccabi Netanya,49.0,15.0,5,15,False,full_season_no_playoff
2007/08,regular,29,29,B. Jerusalem,64.0,Maccabi Netanya,52.0,12.0,4,12,False,full_season_no_playoff
2007/08,regular,30,30,B. Jerusalem,64.0,Maccabi Netanya,55.0,9.0,3,9,False,full_season_no_playoff
2007/08,regular,31,31,B. Jerusalem,67.0,Maccabi Netanya,55.0,12.0,2,6,True,full_season_no_playoff
2007/08,regular,32,32,B. Jerusalem,67.0,Maccabi Netanya,58.0,9.0,1,3,True,full_season_no_playoff
2007/08,regular,33,33,B. Jerusalem,67.0,Maccabi Netanya,58.0,9.0,0,0,True,full_season_no_playoff
2008/09,regular,1,1,Maccabi Haifa,3.0,M. Tel Aviv,3.0,0.0,32,96,False,full_season_no_playoff
2008/09,regular,2,2,Maccabi Netanya,4.0,Maccabi Haifa,4.0,0.0,31,93,False,full_season_no_playoff
2008/09,regular,3,3,Maccabi Netanya,7.0,Maccabi Haifa,7.0,0.0,30,90,False,full_season_no_playoff
2008/09,regular,4,4,Maccabi Netanya,10.0,Maccabi Haifa,8.0,2.0,29,87,False,full_season_no_playoff
2008/09,regular,5,5,Maccabi Netanya,13.0,Maccabi Haifa,11.0,2.0,28,84,False,full_season_no_playoff
2008/09,regular,6,6,Maccabi Haifa,14.0,Maccabi Netanya,14.0,0.0,27,81,False,full_season_no_playoff
2008/09,regular,7,7,Maccabi Haifa,17.0,Maccabi Netanya,17.0,0.0,26,78,False,full_season_no_playoff
2008/09,regular,8,8,Maccabi Haifa,20.0,Maccabi Netanya,18.0,2.0,25,75,False,full_season_no_playoff
2008/09,regular,9,9,Maccabi Netanya,21.0,Maccabi Haifa,20.0,1.0,24,72,False,full_season_no_playoff
2008/09,regular,10,10,Maccabi Haifa,21.0,Maccabi Netanya,21.0,0.0,23,69,False,full_season_no_playoff
2008/09,regular,11,11,Maccabi Haifa,24.0,Maccabi Netanya,24.0,0.0,22,66,False,full_season_no_playoff
2008/09,regular,12,12,Maccabi Haifa,27.0,Maccabi Netanya,25.0,2.0,21,63,False,full_season_no_playoff
2008/09,regular,13,13,Maccabi Haifa,28.0,Maccabi Netanya,26.0,2.0,20,60,False,full_season_no_playoff
2008/09,regular,14,14,Maccabi Haifa,31.0,Maccabi Netanya,27.0,4.0,19,57,False,full_season_no_playoff
2008/09,regular,15,15,Maccabi Haifa,32.0,Maccabi Netanya,28.0,4.0,18,54,False,full_season_no_playoff
2008/09,regular,16,16,Maccabi Haifa,32.0,Maccabi Netanya,31.0,1.0,17,51,False,full_season_no_playoff
2008/09,regular,17,17,Maccabi Haifa,35.0,Hapoel Tel Aviv,31.0,4.0,16,48,False,full_season_no_playoff
2008/09,regular,18,18,Maccabi Haifa,36.0,Maccabi Netanya,32.0,4.0,15,45,False,full_season_no_playoff
2008/09,regular,19,19,Maccabi Haifa,39.0,Hapoel Tel Aviv,34.0,5.0,14,42,False,full_season_no_playoff
2008/09,regular,20,20,Maccabi Haifa,39.0,Maccabi Netanya,36.0,3.0,13,39,False,full_season_no_playoff
2008/09,regular,21,21,Maccabi Haifa,39.0,Hapoel Tel Aviv,38.0,1.0,12,36,False,full_season_no_playoff
2008/09,regular,22,22,Maccabi Haifa,42.0,Hapoel Tel Aviv,41.0,1.0,11,33,False,full_season_no_playoff
2008/09,regular,23,23,Maccabi Haifa,45.0,Hapoel Tel Aviv,41.0,4.0,10,30,False,full_season_no_playoff
2008/09,regular,24,24,Maccabi Haifa,46.0,Hapoel Tel Aviv,44.0,2.0,9,27,False,full_season_no_playoff
2008/09,regular,25,25,Maccabi Haifa,49.0,Hapoel Tel Aviv,47.0,2.0,8,24,False,full_season_no_playoff
2008/09,regular,26,26,Maccabi Haifa,52.0,Hapoel Tel Aviv,50.0,2.0,7,21,False,full_season_no_playoff
2008/09,regular,27,27,Hapoel Tel Aviv,53.0,Maccabi Haifa,53.0,0.0,6,18,False,full_season_no_playoff
2008/09,regular,28,28,Maccabi Haifa,56.0,Hapoel Tel Aviv,54.0,2.0,5,15,False,full_season_no_playoff
2008/09,regular,29,29,Hapoel Tel Aviv,57.0,Maccabi Haifa,57.0,0.0,4,12,False,full_season_no_playoff
2008/09,regular,30,30,Maccabi Haifa,60.0,Hapoel Tel Aviv,58.0,2.0,3,9,False,full_season_no_playoff
2008/09,regular,31,31,Maccabi Haifa,63.0,Hapoel Tel Aviv,58.0,5.0,2,6,False,full_season_no_playoff
2008/09,regular,32,32,Maccabi Haifa,66.0,Hapoel Tel Aviv,61.0,5.0,1,3,True,full_season_no_playoff
2008/09,regular,33,33,Maccabi Haifa,67.0,Hapoel Tel Aviv,61.0,6.0,0,0,True,full_season_no_playoff
2009/10,regular,1,1,Bnei Yehuda,3.0,M. Tel Aviv,3.0,0.0,34,102,False,full_season_with_championship_playoff
2009/10,regular,2,2,Bnei Yehuda,6.0,M. Tel Aviv,6.0,0.0,33,99,False,full_season_with_championship_playoff
2009/10,regular,3,3,Maccabi Haifa,9.0,Bnei Yehuda,7.0,2.0,32,96,False,full_season_with_championship_playoff
2009/10,regular,4,4,Maccabi Haifa,12.0,Bnei Yehuda,10.0,2.0,31,93,False,full_season_with_championship_playoff
2009/10,regular,5,5,Maccabi Haifa,15.0,Hapoel Haifa,12.0,3.0,30,90,False,full_season_with_championship_playoff
2009/10,regular,6,6,Maccabi Haifa,18.0,Hapoel Haifa,12.0,6.0,29,87,False,full_season_with_championship_playoff
2009/10,regular,7,7,Maccabi Haifa,21.0,M. Tel Aviv,14.0,7.0,28,84,False,full_season_with_championship_playoff
2009/10,regular,8,8,Maccabi Haifa,24.0,Hapoel Tel Aviv,15.0,9.0,27,81,False,full_season_with_championship_playoff
2009/10,regular,9,9,Maccabi Haifa,27.0,Hapoel Tel Aviv,18.0,9.0,26,78,False,full_season_with_championship_playoff
2009/10,regular,10,10,Maccabi Haifa,30.0,Hapoel Tel Aviv,21.0,9.0,25,75,False,full_season_with_championship_playoff
2009/10,regular,11,11,Maccabi Haifa,30.0,Hapoel Tel Aviv,24.0,6.0,24,72,False,full_season_with_championship_playoff
2009/10,regular,12,12,Maccabi Haifa,33.0,Hapoel Tel Aviv,27.0,6.0,23,69,False,full_season_with_championship_playoff
2009/10,regular,13,13,Maccabi Haifa,36.0,Hapoel Tel Aviv,28.0,8.0,22,66,False,full_season_with_championship_playoff
2009/10,regular,14,14,Maccabi Haifa,39.0,Hapoel Tel Aviv,31.0,8.0,21,63,False,full_season_with_championship_playoff
2009/10,regular,15,15,Maccabi Haifa,42.0,Hapoel Tel Aviv,34.0,8.0,20,60,False,full_season_with_championship_playoff
2009/10,regular,16,16,Maccabi Haifa,45.0,Hapoel Tel Aviv,37.0,8.0,19,57,False,full_season_with_championship_playoff
2009/10,regular,17,17,Maccabi Haifa,48.0,Hapoel Tel Aviv,38.0,10.0,18,54,False,full_season_with_championship_playoff
2009/10,regular,18,18,Maccabi Haifa,51.0,Hapoel Tel Aviv,41.0,10.0,17,51,False,full_season_with_championship_playoff
2009/10,regular,19,19,Maccabi Haifa,52.0,Hapoel Tel Aviv,42.0,10.0,16,48,False,full_season_with_championship_playoff
2009/10,regular,20,20,Maccabi Haifa,55.0,Hapoel Tel Aviv,43.0,12.0,15,45,False,full_season_with_championship_playoff
2009/10,regular,21,21,Maccabi Haifa,58.0,Hapoel Tel Aviv,46.0,12.0,14,42,False,full_season_with_championship_playoff
2009/10,regular,22,22,Maccabi Haifa,61.0,Hapoel Tel Aviv,49.0,12.0,13,39,False,full_season_with_championship_playoff
2009/10,regular,23,23,Maccabi Haifa,61.0,Hapoel Tel Aviv,52.0,9.0,12,36,False,full_season_with_championship_playoff
2009/10,regular,24,24,Maccabi Haifa,64.0,Hapoel Tel Aviv,55.0,9.0,11,33,False,full_season_with_championship_playoff
2009/10,regular,25,25,Maccabi Haifa,67.0,Hapoel Tel Aviv,56.0,11.0,10,30,False,full_season_with_championship_playoff
2009/10,regular,26,26,Maccabi Haifa,70.0,Hapoel Tel Aviv,59.0,11.0,9,27,False,full_season_with_championship_playoff
2009/10,regular,27,27,Maccabi Haifa,70.0,Hapoel Tel Aviv,62.0,8.0,8,24,False,full_season_with_championship_playoff
2009/10,regular,28,28,Maccabi Haifa,73.0,Hapoel Tel Aviv,65.0,8.0,7,21,False,full_season_with_championship_playoff
2009/10,regular,29,29,Maccabi Haifa,76.0,Hapoel Tel Aviv,68.0,8.0,6,18,False,full_season_with_championship_playoff
2009/10,regular,30,30,Maccabi Haifa,77.0,Hapoel Tel Aviv,71.0,6.0,5,15,False,full_season_with_championship_playoff
2009/10,championship_playoff,1,31,Maccabi Haifa,42.0,Hapoel Tel Aviv,39.0,3.0,4,12,False,full_season_with_championship_playoff
2009/10,championship_playoff,2,32,Hapoel Tel Aviv,42.0,Maccabi Haifa,42.0,0.0,3,9,False,full_season_with_championship_playoff
2009/10,championship_playoff,3,33,Hapoel Tel Aviv,45.0,Maccabi Haifa,45.0,0.0,2,6,False,full_season_with_championship_playoff
2009/10,championship_playoff,4,34,Maccabi Haifa,48.0,Hapoel Tel Aviv,46.0,2.0,1,3,False,full_season_with_championship_playoff
2009/10,championship_playoff,5,35,Hapoel Tel Aviv,49.0,Maccabi Haifa,49.0,0.0,0,0,True,full_season_with_championship_playoff
2010/11,regular,1,1,Maccabi Netanya,3.0,H. Ashkelon,3.0,0.0,34,102,False,full_season_with_championship_playoff
2010/11,regular,2,2,Hapoel Haifa,6.0,Maccabi Haifa,6.0,0.0,33,99,False,full_season_with_championship_playoff
2010/11,regular,3,3,Hapoel Haifa,9.0,Maccabi Netanya,7.0,2.0,32,96,False,full_season_with_championship_playoff
2010/11,regular,4,4,Kiryat Shmona,10.0,Maccabi Haifa,10.0,0.0,31,93,False,full_season_with_championship_playoff
2010/11,regular,5,5,Kiryat Shmona,13.0,M. Tel Aviv,12.0,1.0,30,90,False,full_season_with_championship_playoff
2010/11,regular,6,6,Kiryat Shmona,16.0,Maccabi Haifa,14.0,2.0,29,87,False,full_season_with_championship_playoff
2010/11,regular,7,7,Kiryat Shmona,17.0,M. Tel Aviv,15.0,2.0,28,84,False,full_season_with_championship_playoff
2010/11,regular,8,8,Maccabi Haifa,18.0,Kiryat Shmona,17.0,1.0,27,81,False,full_season_with_championship_playoff
2010/11,regular,9,9,M. Tel Aviv,19.0,Hapoel Tel Aviv,19.0,0.0,26,78,False,full_season_with_championship_playoff
2010/11,regular,10,10,Kiryat Shmona,21.0,Maccabi Haifa,21.0,0.0,25,75,False,full_season_with_championship_playoff
2010/11,regular,11,11,Kiryat Shmona,24.0,Hapoel Tel Aviv,23.0,1.0,24,72,False,full_season_with_championship_playoff
2010/11,regular,12,12,Kiryat Shmona,25.0,Maccabi Haifa,25.0,0.0,23,69,False,full_season_with_championship_playoff
2010/11,regular,13,13,Maccabi Haifa,28.0,Hapoel Tel Aviv,26.0,2.0,22,66,False,full_season_with_championship_playoff
2010/11,regular,14,14,Maccabi Haifa,31.0,Hapoel Tel Aviv,29.0,2.0,21,63,False,full_season_with_championship_playoff
2010/11,regular,15,15,Maccabi Haifa,34.0,Hapoel Tel Aviv,32.0,2.0,20,60,False,full_season_with_championship_playoff
2010/11,regular,16,16,Maccabi Haifa,37.0,Hapoel Tel Aviv,35.0,2.0,19,57,False,full_season_with_championship_playoff
2010/11,regular,17,17,Maccabi Haifa,40.0,Hapoel Tel Aviv,38.0,2.0,18,54,False,full_season_with_championship_playoff
2010/11,regular,18,18,Hapoel Tel Aviv,41.0,Maccabi Haifa,41.0,0.0,17,51,False,full_season_with_championship_playoff
2010/11,regular,19,19,Maccabi Haifa,44.0,Hapoel Tel Aviv,42.0,2.0,16,48,False,full_season_with_championship_playoff
2010/11,regular,20,20,Hapoel Tel Aviv,45.0,Maccabi Haifa,45.0,0.0,15,45,False,full_season_with_championship_playoff
2010/11,regular,21,21,Maccabi Haifa,48.0,Hapoel Tel Aviv,46.0,2.0,14,42,False,full_season_with_championship_playoff
2010/11,regular,22,22,Maccabi Haifa,51.0,Hapoel Tel Aviv,49.0,2.0,13,39,False,full_season_with_championship_playoff
2010/11,regular,23,23,Maccabi Haifa,54.0,Hapoel Tel Aviv,52.0,2.0,12,36,False,full_season_with_championship_playoff
2010/11,regular,24,24,Hapoel Tel Aviv,55.0,Maccabi Haifa,54.0,1.0,11,33,False,full_season_with_championship_playoff
2010/11,regular,25,25,Maccabi Haifa,57.0,Hapoel Tel Aviv,55.0,2.0,10,30,False,full_season_with_championship_playoff
2010/11,regular,26,26,Maccabi Haifa,60.0,Hapoel Tel Aviv,58.0,2.0,9,27,False,full_season_with_championship_playoff
2010/11,regular,27,27,Maccabi Haifa,63.0,Hapoel Tel Aviv,59.0,4.0,8,24,False,full_season_with_championship_playoff
2010/11,regular,28,28,Maccabi Haifa,66.0,Hapoel Tel Aviv,62.0,4.0,7,21,False,full_season_with_championship_playoff
2010/11,regular,29,29,Maccabi Haifa,69.0,Hapoel Tel Aviv,62.0,7.0,6,18,False,full_season_with_championship_playoff
2010/11,regular,30,30,Maccabi Haifa,70.0,Hapoel Tel Aviv,65.0,5.0,5,15,False,full_season_with_championship_playoff
2010/11,championship_playoff,1,31,Hapoel Tel Aviv,36.0,Maccabi Haifa,35.0,1.0,4,12,False,full_season_with_championship_playoff
2010/11,championship_playoff,2,32,Maccabi Haifa,38.0,Hapoel Tel Aviv,36.0,2.0,3,9,False,full_season_with_championship_playoff
2010/11,championship_playoff,3,33,Maccabi Haifa,41.0,Hapoel Tel Aviv,37.0,4.0,2,6,False,full_season_with_championship_playoff
2010/11,championship_playoff,4,34,Maccabi Haifa,44.0,Hapoel Tel Aviv,38.0,6.0,1,3,True,full_season_with_championship_playoff
2010/11,championship_playoff,5,35,Maccabi Haifa,45.0,Hapoel Tel Aviv,38.0,7.0,0,0,True,full_season_with_championship_playoff
2011/12,regular,1,1,Maccabi Haifa,3.0,H Rishon leZion,3.0,0.0,36,108,False,full_season_with_championship_playoff
2011/12,regular,2,2,M. Tel Aviv,6.0,H Rishon leZion,6.0,0.0,35,105,False,full_season_with_championship_playoff
2011/12,regular,3,3,M. Tel Aviv,9.0,Hapoel Acre,6.0,3.0,34,102,False,full_season_with_championship_playoff
2011/12,regular,4,4,M. Tel Aviv,12.0,Hapoel Tel Aviv,7.0,5.0,33,99,False,full_season_with_championship_playoff
2011/12,regular,5,5,M. Tel Aviv,12.0,Hapoel Tel Aviv,10.0,2.0,32,96,False,full_season_with_championship_playoff
2011/12,regular,6,6,M. Tel Aviv,15.0,Hapoel Tel Aviv,11.0,4.0,31,93,False,full_season_with_championship_playoff
2011/12,regular,7,7,M. Tel Aviv,16.0,Bnei Yehuda,13.0,3.0,30,90,False,full_season_with_championship_playoff
2011/12,regular,8,8,M. Tel Aviv,16.0,Hapoel Tel Aviv,14.0,2.0,29,87,False,full_season_with_championship_playoff
2011/12,regular,9,9,M. Tel Aviv,19.0,Maccabi Netanya,17.0,2.0,28,84,False,full_season_with_championship_playoff
2011/12,regular,10,10,M. Tel Aviv,20.0,Kiryat Shmona,19.0,1.0,27,81,False,full_season_with_championship_playoff
2011/12,regular,11,11,Hapoel Tel Aviv,20.0,M. Tel Aviv,20.0,0.0,26,78,False,full_season_with_championship_playoff
2011/12,regular,12,12,Kiryat Shmona,23.0,Hapoel Tel Aviv,21.0,2.0,25,75,False,full_season_with_championship_playoff
2011/12,regular,13,13,Kiryat Shmona,26.0,Hapoel Tel Aviv,24.0,2.0,24,72,False,full_season_with_championship_playoff
2011/12,regular,14,14,Kiryat Shmona,29.0,Hapoel Tel Aviv,27.0,2.0,23,69,False,full_season_with_championship_playoff
2011/12,regular,15,15,Kiryat Shmona,32.0,FC Ashdod,30.0,2.0,22,66,False,full_season_with_championship_playoff
2011/12,regular,16,16,Kiryat Shmona,35.0,FC Ashdod,31.0,4.0,21,63,False,full_season_with_championship_playoff
2011/12,regular,17,17,Kiryat Shmona,38.0,FC Ashdod,34.0,4.0,20,60,False,full_season_with_championship_playoff
2011/12,regular,18,18,Kiryat Shmona,41.0,FC Ashdod,35.0,6.0,19,57,False,full_season_with_championship_playoff
2011/12,regular,19,19,Kiryat Shmona,42.0,FC Ashdod,36.0,6.0,18,54,False,full_season_with_championship_playoff
2011/12,regular,20,20,Kiryat Shmona,45.0,FC Ashdod,39.0,6.0,17,51,False,full_season_with_championship_playoff
2011/12,regular,21,21,Kiryat Shmona,48.0,FC Ashdod,40.0,8.0,16,48,False,full_season_with_championship_playoff
2011/12,regular,22,22,Kiryat Shmona,51.0,FC Ashdod,40.0,11.0,15,45,False,full_season_with_championship_playoff
2011/12,regular,23,23,Kiryat Shmona,52.0,FC Ashdod,41.0,11.0,14,42,False,full_season_with_championship_playoff
2011/12,regular,24,24,Kiryat Shmona,55.0,FC Ashdod,42.0,13.0,13,39,False,full_season_with_championship_playoff
2011/12,regular,25,25,Kiryat Shmona,56.0,FC Ashdod,45.0,11.0,12,36,False,full_season_with_championship_playoff
2011/12,regular,26,26,Kiryat Shmona,59.0,FC Ashdod,45.0,14.0,11,33,False,full_season_with_championship_playoff
2011/12,regular,27,27,Kiryat Shmona,62.0,FC Ashdod,46.0,16.0,10,30,False,full_season_with_championship_playoff
2011/12,regular,28,28,Kiryat Shmona,62.0,FC Ashdod,46.0,16.0,9,27,False,full_season_with_championship_playoff
2011/12,regular,29,29,Kiryat Shmona,65.0,Hapoel Tel Aviv,48.0,17.0,8,24,False,full_season_with_championship_playoff
2011/12,regular,30,30,Kiryat Shmona,66.0,Hapoel Tel Aviv,49.0,17.0,7,21,False,full_season_with_championship_playoff
2011/12,championship_playoff,1,31,Kiryat Shmona,66.0,Hapoel Tel Aviv,50.0,16.0,6,18,False,full_season_with_championship_playoff
2011/12,championship_playoff,2,32,Kiryat Shmona,67.0,Hapoel Tel Aviv,51.0,16.0,5,15,True,full_season_with_championship_playoff
2011/12,championship_playoff,3,33,Kiryat Shmona,67.0,Maccabi Netanya,53.0,14.0,4,12,True,full_season_with_championship_playoff
2011/12,championship_playoff,4,34,Kiryat Shmona,70.0,Hapoel Tel Aviv,55.0,15.0,3,9,True,full_season_with_championship_playoff
2011/12,championship_playoff,5,35,Kiryat Shmona,73.0,Hapoel Tel Aviv,58.0,15.0,2,6,True,full_season_with_championship_playoff
2011/12,championship_playoff,6,36,Kiryat Shmona,73.0,Bnei Yehuda,59.0,14.0,1,3,True,full_season_with_championship_playoff
2011/12,championship_playoff,7,37,Kiryat Shmona,73.0,Hapoel Tel Aviv,59.0,14.0,0,0,True,full_season_with_championship_playoff
2012/13,regular,1,1,FC Ashdod,3.0,Kiryat Shmona,3.0,0.0,35,105,False,full_season_with_championship_playoff
2012/13,regular,2,2,FC Ashdod,6.0,Kiryat Shmona,6.0,0.0,34,102,False,full_season_with_championship_playoff
2012/13,regular,3,3,FC Ashdod,9.0,Hapoel Tel Aviv,9.0,0.0,33,99,False,full_season_with_championship_playoff
2012/13,regular,4,4,M. Tel Aviv,12.0,FC Ashdod,12.0,0.0,32,96,False,full_season_with_championship_playoff
2012/13,regular,5,5,FC Ashdod,15.0,M. Tel Aviv,12.0,3.0,31,93,False,full_season_with_championship_playoff
2012/13,regular,6,6,FC Ashdod,15.0,M. Tel Aviv,15.0,0.0,30,90,False,full_season_with_championship_playoff
2012/13,regular,7,7,FC Ashdod,18.0,M. Tel Aviv,18.0,0.0,29,87,False,full_season_with_championship_playoff
2012/13,regular,8,8,M. Tel Aviv,21.0,FC Ashdod,19.0,2.0,28,84,False,full_season_with_championship_playoff
2012/13,regular,9,9,M. Tel Aviv,21.0,FC Ashdod,19.0,2.0,27,81,False,full_season_with_championship_playoff
2012/13,regular,10,10,FC Ashdod,22.0,M. Tel Aviv,21.0,1.0,26,78,False,full_season_with_championship_playoff
2012/13,regular,11,11,FC Ashdod,25.0,Hapoel Tel Aviv,24.0,1.0,25,75,False,full_season_with_championship_playoff
2012/13,regular,12,12,M. Tel Aviv,27.0,Hapoel Tel Aviv,27.0,0.0,24,72,False,full_season_with_championship_playoff
2012/13,regular,13,13,M. Tel Aviv,28.0,Hapoel Tel Aviv,28.0,0.0,23,69,False,full_season_with_championship_playoff
2012/13,regular,14,14,Hapoel Tel Aviv,29.0,M. Tel Aviv,28.0,1.0,22,66,False,full_season_with_championship_playoff
